"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,99632.23281096708,81849.21788378104,67958.78729641305,57119.992841109815,51057.02168667966,44567.384397860966,42267.46834692701,36955.234606682796,31644.994909993675,29216.779993354437,25500.25301247755,23006.653745663538
[4.0-4.5),,,,,,,108445.07124599795,88208.00010816248,71596.30998815852,63238.209692878954,51073.577385550576,43444.19480672267,39438.57743029718,37330.64302945739,32565.00275527627,28242.611630536492,25297.055161435175,21921.012576030167,20606.97325950609
[3.5-4.0),,,,,,121565.93047381338,94422.07712275047,77325.79278750687,63176.270136006795,54757.86917961392,46000.87045251578,38613.32059583927,32884.07531393411,32709.103532938934,28031.357212664774,25390.2798142149,21806.586001141037,18801.24365264699,17380.162903000615
[3.0-3.5),,,,,,102941.32450431712,81675.53546041889,67191.36482664617,55909.20658068575,45616.29595071529,38959.35097348736,33408.733226410826,29047.118472209368,27064.67259324404,23490.832294663054,21447.66901341232,18601.4159004471,16208.0936588009,14394.599313032662
[2.5-3.0),,,,,,78554.18773217702,67332.29741729044,56326.643240636346,45860.69376202239,37566.41594435993,32364.918009297835,27476.503151928508,24474.95289455043,22101.924831243083,19041.21392436202,17097.316868601407,14792.320545011406,12806.873451347305,11781.331087905153
[2.0-2.5),,,,,57669.17426330867,57940.29399290119,49356.984853096,42510.616887146156,36331.35893395352,31004.922490785488,25957.009645823993,21767.19444992463,18933.73045499427,16767.955569271973,15012.422661766384,12608.943162570627,11687.580900106424,10181.60472312766,9273.101712029005
[1.5-2.0),,,,34098.196623299875,34747.69864566336,36742.471327988955,33985.97660910171,29848.048042003953,26879.490209726173,22093.804891856435,19029.884823511722,15631.883183926519,13985.979256648483,12126.30419256213,10698.33222391942,9104.062226431299,8453.287626909709,7097.844399999701,6325.555295837474
[1.0-1.5),,,14979.310981877436,17533.71314771783,18043.291476491813,18777.329550217688,18664.162134288174,18323.00981973171,15666.979062664072,13019.226026585431,11558.321432537066,10311.899306158162,8857.062287757879,7493.345034055419,6625.317805124563,5719.0540153115435,4901.23369666126,4401.867692858662,3819.9697379279783
[0.5-1.0),,3385.5242481990226,5387.340388458944,6307.095093076322,6617.652560443825,6865.481138803834,7313.853229483863,7073.034296004301,6885.562383185361,6029.380033958122,5282.329246917123,4617.126937708403,4011.292543312003,3277.653507748303,2715.349743078175,2514.8707653281826,2164.434530428367,1902.707494058221,1674.8734846070847
[0.0-0.5),139.67486131696705,378.148234600387,605.2393514962273,712.8395923933126,754.7426371004789,749.9404728368315,800.4083016417036,845.6725747051973,936.1559763789763,782.0811880456022,730.9620632447128,604.1633947827036,541.3893938616862,421.2117713024484,405.0904961391618,311.9262285198597,283.97641292093937,231.01051124392745,217.80928673327097
