"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[4.5-5.0),,,,,,,,0.0006235409862124252,-0.0012408409987754053,-0.0003390714598369338,-0.0036425140822011655,-0.0032894978667145558,-0.008904135165592377,-0.004713518704815363,-0.003542052186670199,-0.001709440994365315,0.00047395009973239004,-0.0071307803755579985,-0.005652683527983422
[4.0-4.5),,,,,,,4.25052039800303e-05,-0.0016996532707415934,-2.8632134088812407e-05,0.00016241617559599326,-0.0004973122480321975,-0.0001315683381111554,-0.0018731957350484843,-0.00038709086273595736,-0.0014414872019571372,-0.0014396402914918238,0.0001426616427503365,-0.0020601423599562805,-0.005269220932895879
[3.5-4.0),,,,,,-0.0002328980679925172,0.0002782482883973422,4.6856865038374556e-05,2.4062833865049036e-05,-1.7390026553788185e-05,0.00023230250092709889,0.00018198614409767444,-0.00018102639515906894,0.00018554429379040213,0.00013551103332025882,-0.0017428032279102734,-0.00031703232425190194,-0.00010526927081955982,0.00025238499576364236
[3.0-3.5),,,,,,-0.0001609691441079799,0.0002634192232087779,7.034657440701969e-05,-0.00039272317771474395,-0.00014153667272234687,0.00025633648797436504,-0.00047312345339278663,0.0001930156945337817,-0.00021287831232528098,-5.7407860085841e-06,0.00012187850062563473,-0.00011608037240274021,-4.5585085251841256e-05,0.00016222522636340718
[2.5-3.0),,,,,,-5.2518057150965087e-05,-0.00047351796179128595,8.691688439255616e-05,-0.00015498342325858937,0.00045807318047243374,-0.00041022512152317863,0.00012559639482466865,0.00014277199825827336,6.124712055562387e-05,0.00010072352285369166,-0.00033631454675133317,0.00046165821449104574,0.00024320858978462602,0.0002351335586836352
[2.0-2.5),,,,,0.0002915322310261754,0.00011322404908065021,-5.6199573872395346e-05,-0.00012648580360076196,0.0004596496594170656,0.00015221336728328799,-0.00017869918891876856,0.00019142404394774994,-8.072864399402756e-05,0.0003550358616486597,-4.597673654457667e-05,-0.0003403487057309697,-0.0001069830149509744,-0.00020423200172288238,4.51716502212774e-05
[1.5-2.0),,,,-7.434704883861888e-05,3.202144525138025e-05,9.984933969492567e-05,6.567065510391958e-06,-0.0003539164551917839,-9.83322063217916e-06,-0.00022395701034577027,2.0225789205804773e-05,-7.182694274801828e-05,-3.0959748307189874e-05,-0.00020522509639678697,-0.00012278793217704824,-1.2958084216965042e-05,9.634683676807989e-05,-0.00011685303122369151,-0.00016166647361745383
[1.0-1.5),,,6.80143148844542e-06,-1.3862248214944814e-05,-8.359130535427362e-05,9.217517909673605e-05,-0.0002940579168402153,-2.3352731758289077e-05,0.0002276950438513673,5.363968165032085e-05,-0.00014339492661150587,0.0001407515951119769,-6.459152479481282e-05,7.638855261857795e-07,-5.289754566208985e-05,-5.253005452253424e-05,0.00019875096953837673,0.00016022694039402778,-0.00021484994923506113
[0.5-1.0),,1.4328135896627589e-05,9.890453294235228e-06,5.7348506990587086e-05,1.3344247560228139e-05,4.454497661169795e-05,4.771905838347622e-05,-1.5776444556118435e-05,-9.101177041629657e-05,1.727771791964415e-05,-2.409947479008502e-05,-0.00015144750545158906,-0.00016086660383919218,0.00011430781342436204,-0.0002489997947321805,5.340533804505383e-05,-6.754742638152093e-05,6.900783107378227e-05,0.00011014007054197184
[0.0-0.5),4.1862309532439885e-06,-3.005104783311711e-06,2.8544408045332707e-06,-1.5972509895773657e-05,2.4300999869050224e-05,7.075493120308923e-06,-1.8168613437391435e-05,3.107024580860517e-05,-3.791351928102996e-05,-1.994876650920564e-05,-3.069774377150685e-05,-6.222851196794612e-05,1.910861449853835e-05,-1.729214515523073e-05,2.1066568416885464e-05,-3.109545593063657e-05,-4.393368292902803e-05,-2.157510240919471e-08,3.0981807850751145e-05
