"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,85430.07432436885,107678.49261128172,91062.40810054941,87739.70358577797,82553.74296072639,89196.08983631157,73992.38356856546,88443.3718809695,68866.13517888945,74822.18779007695,64304.71917514798,68699.94234886035
[8.0-8.5),,,,,,,,,,127031.16316844922,84002.87549515496,93547.0550995151,82472.70863924354,75096.14714611595,78456.81693432214,74762.96312417334,67680.7697065877,82300.5046048963,62374.67398131761,76691.61254612572,63430.923460281076,63402.76586524719
[7.5-8.0),,,,,,,,,,106636.27482539207,76598.37398509207,76054.73127675115,89034.91925799735,71215.37576258731,79633.03282209778,77548.26186691424,66281.95883127078,81795.07580141694,52921.31897171032,74950.7141302154,59103.950379087575,66765.93537193828
[7.0-7.5),,,,,,,,,,76587.89006112682,76311.5355695703,82179.33443576381,79069.82581058484,67154.7421724964,73812.9151392231,63890.933547405686,75851.6652041645,68007.32334470472,62965.96026348144,64139.019172484346,55598.43309383643,56136.13060874355
[6.5-7.0),,,,,,,,,,103745.05188362373,82518.60433180163,68706.35745721176,74161.56500476849,61963.74980153221,60407.57135841548,55375.478835111295,55852.99733786983,56109.73663383482,54804.38461841931,64546.28694580532,53328.937423855095,59429.183211145995
[6.0-6.5),,,,,,,,,63683.34019614704,58571.766517081945,66778.54153114962,61852.25317134571,60740.04502735511,65756.02433362167,66415.32574234533,59969.420351518565,49455.319889204235,56857.092731159464,67032.4854197627,48936.511352582835,59612.09514657816,48816.90644486812
[5.5-6.0),,,,,,,,,70125.10142544543,59766.25569451413,78200.80791052486,54910.12462206079,59403.38204259945,56055.864456471405,56906.00886407595,46138.46201356283,50518.490072847366,48529.71095867045,54766.955639964195,47124.36264221856,55640.226619961606,52110.52975922644
[5.0-5.5),,,,,,,,49015.55282541719,56778.61943179863,55271.05842863815,58055.12064135275,50903.40389733297,53987.6467324664,47371.0128876315,44762.31582668734,46078.2978349334,37988.47778401255,43090.29333105929,44735.25050404221,38481.338309198094,40424.82094357221,41465.799075177674
[4.5-5.0),,,,,,,,48505.045049845496,47149.89009119152,48009.76641536596,44145.932845679985,45791.7547477478,49117.68126393651,43629.720612636025,47075.47133321271,39751.902829023464,40973.82957704015,36886.57321399077,43149.81855264865,39326.88783227505,37401.99766156652,41541.137223221405
[4.0-4.5),,,,,,,31452.8314351878,37433.77863762566,39923.1199473383,40300.13911114568,43140.89808188398,40235.24730656508,40145.98841380466,33081.59803714168,37206.517146026454,36598.36192729098,38214.45342243434,37542.5335271973,36237.50732249633,41963.45703244063,35477.17987458058,30879.672976013906
[3.5-4.0),,,,,,32749.878581559202,34681.7446713897,29015.5756623342,32574.101247879214,32975.96452218729,33668.80394150517,32351.57184891682,42629.36984371668,37950.13887939171,34147.90917178564,34480.64372791558,29000.17081534157,32600.28653881483,31240.48213977852,25628.54046509842,34754.23223473004,32025.48896369347
[3.0-3.5),,,,,,18037.53349429986,18992.358427075742,24726.07980407017,21826.788402284485,26680.600082525823,24597.237719681878,31984.28948389723,30316.416509127976,27432.461160213825,26692.820829319153,26154.63575748844,30686.03397611448,25443.64875338042,23402.75439926998,23651.659189233407,27717.244848210135,21829.75241977717
[2.5-3.0),,,,,,13950.986750580623,14569.813969329787,17426.494049689984,24190.993427616162,29175.27122376953,17468.609188163842,21374.376282213914,26708.042552942312,25173.76222325276,25547.44648264002,22058.250719815092,25719.8142434328,21984.29575323599,26564.38606635089,19767.656919775545,20202.808196016045,24955.870803183763
[2.0-2.5),,,,,8842.503417110109,9790.734900052745,13239.129171804447,10036.152676819083,16730.793752065536,19791.073140524128,20620.42912837957,19442.93572897985,18690.73994565488,21323.64292664615,18488.92172074796,17215.135728439913,21259.03542939744,18282.498046351804,19835.74817982614,15975.58339969856,18806.464587417708,14494.470888913396
[1.5-2.0),,,,5450.883188479145,5303.041222343231,5707.47145820995,7537.362748990108,9522.009067330115,10140.37507346636,11194.994352362759,11094.255184596146,13221.985860814553,14339.40559443775,13173.452572807106,13128.838765189405,13744.869858551618,12374.655791043397,13674.241160885935,15038.817233606904,15574.355960447305,12993.140372096048,13492.04221844632
[1.0-1.5),,,3241.4993076325245,3233.623666905322,4735.204686565915,4270.890053579576,3896.0126650838865,6329.7370033017105,6060.0754163363035,7690.088606876305,7096.170925198029,7992.9182822261555,10272.787364888965,8222.66969272466,9793.783375314732,8550.217621541322,9096.692213856939,9371.302788195762,8139.1188759547595,9060.443494156672,9730.191211528123,9276.554609101833
[0.5-1.0),,1989.1108861124658,2784.017545961416,2102.9969992413585,3344.71790523237,3869.4256774345454,3835.266268831599,4320.2701847379485,5409.43898910389,5031.534612095784,5408.378518677053,7719.930030446523,6106.005760318954,5275.4137094922835,4904.071982115433,4645.578165025834,5574.814564827686,5742.133371700326,5015.381945260186,4948.176655445628,6629.200248271436,5504.44969197842
[0.0-0.5),1734.9650900618508,2020.0063039367142,2183.156271385793,2399.8366032711456,2468.0964287211664,2462.274231833646,2810.4068762321754,2806.62384789897,2678.1283542392284,2787.003896516988,2791.701990924323,2838.4853928904977,2967.1052265393873,2643.7117950907673,2648.7020196796534,2607.7485303139233,3040.094019144742,2688.1250766328635,2639.9881055419673,2704.7002894964235,2601.3900177521064,2967.302438851777
