"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6.176161816575274,7.925568959947389,7.003171332611339,6.928191705385092,6.861743650789449,8.779892388244253,6.936215345242709,7.834839102795422,6.589649148194173,7.26518604009505,6.591546201652968,6.9035763085412905
[8.0-8.5),,,,,,,,,,7.4556802265317215,6.4553223039293055,7.591348089707057,6.033221838120682,6.259810554457001,7.353867184872856,7.043642237497798,6.591944655602274,8.207417752884039,7.063496730716452,8.024259545092852,7.468561661550472,7.960576840036475
[7.5-8.0),,,,,,,,,,6.579242340399551,6.435219158442442,5.910563683397432,7.509713834683717,6.979280537558631,7.857721839236744,8.172480664680068,7.522577975193783,9.28283747106939,6.3410004273375185,8.717305256266616,7.1724831695455755,7.530813857299846
[7.0-7.5),,,,,,,,,,6.016391305618837,6.49421763120884,7.491216011091884,6.477392107497396,6.763659879152741,6.918709206258256,7.074069651152951,8.126760827431507,8.194474252457239,7.065993521388035,8.588295094339228,8.38903568381465,7.7504673018672845
[6.5-7.0),,,,,,,,,,8.603642486166189,8.017271521961998,6.862550494639681,6.877312760157967,6.536156233523267,6.730851851561118,6.787761314606892,7.089125494940238,7.780709857403491,6.805019589669456,8.553822542484973,6.620971594737939,7.630285256607638
[6.0-6.5),,,,,,,,,6.532922657424328,6.089317731277098,7.069245643695855,6.483306826053613,6.416666791744573,7.784406642447195,8.471246411054674,7.7280157861348835,6.578501657001959,7.534236153680105,8.44534962102566,6.889366275866689,7.828215247435194,7.145066291464123
[5.5-6.0),,,,,,,,,7.799248985480969,6.947572656748554,8.915329954329161,6.342915552402614,6.8751842216420185,7.042274258849411,7.511029784398004,7.7917200234234185,7.369832501924168,7.227211689602357,8.171703313109667,7.675444517636341,8.928914956809173,8.026147614473848
[5.0-5.5),,,,,,,,6.102110090298547,7.5128607595494,6.831847389230616,7.23772677057484,6.0574518377909135,6.9135061719159125,7.142165773204075,6.775213721315135,7.605868268997453,6.1301781444551136,7.074889344213538,7.017004608935908,7.254447721660429,8.02201245026029,7.29228289052092
[4.5-5.0),,,,,,,,6.361462749286321,6.513920783092245,6.998946117498541,6.5590085184675555,6.565067354312309,6.938155190790709,5.991715704327254,7.08967417251936,6.883931935430504,7.579444105677395,7.388033244192685,8.113118700207824,7.323276693746233,7.174397102430289,8.483536558066891
[4.0-4.5),,,,,,,6.115269188283962,6.523511370918548,6.371964058901776,6.813152772873046,7.268159748751407,6.604174292601494,6.3246982051723215,6.614067967016393,7.453675411901623,7.262917900800497,7.717457060641397,7.952514635764315,7.759159769070173,8.547728885630622,7.752417505676111,6.936809188961908
[3.5-4.0),,,,,,8.24375987244503,7.616725996312748,6.623564694837991,5.996409181782789,6.101095708258178,5.869027870297662,6.449246501255344,7.6507750949534294,6.8463077074092125,8.01371222674665,7.780243483186954,7.109414639398151,7.966789859680385,6.67647515559698,6.498000573953919,8.477248000195882,8.040371641625763
[3.0-3.5),,,,,,6.643115856649748,6.092264457081276,5.898018856226507,6.448047614201287,6.545669949360913,5.989950894673593,7.798681202626785,6.441082933594388,7.096559275561051,7.135407234945184,6.477232454044398,7.913832829198196,6.532788062129067,6.640623757585738,7.318193958495933,7.975495983153936,7.822300023069801
[2.5-3.0),,,,,,7.266264954708045,6.577848228701235,6.737129415427689,7.226698744958525,6.497654538109284,5.932484939613495,6.345540090488478,7.07990303289641,7.148378902775564,6.158701491797852,6.958358095609968,8.013804750368907,8.17864926569123,8.370141232594998,7.08756538087544,6.676080847249062,8.415226284305957
[2.0-2.5),,,,,6.429324761423101,6.891538019346968,6.513950014846611,6.369358624843475,7.5732494126189565,7.36951220556802,7.942767494025152,6.634648368579866,5.889673121514806,8.246541997260984,6.693117610752032,8.118877133911102,9.064365381401633,7.312050780639622,8.940675885236484,6.442432439223637,7.792715901203395,6.5253400489100954
[1.5-2.0),,,,7.365846840134979,6.675483390598837,6.731062584414347,6.074404642462639,7.3439241046589,6.189333598318539,6.26438108757524,6.706070905805857,6.6042261426975255,6.621466231341795,6.958471370523172,7.4734376629430725,7.909996285273046,6.061287874304598,6.578678762872655,7.624714365794653,7.437030534570597,6.885719462486727,7.847345816552476
[1.0-1.5),,,8.087846100398552,7.085033217555201,7.48106604457028,7.8273288483598735,6.5866280000183135,6.455412965771447,6.4798217538411755,7.21002942945536,6.737790399520111,6.251484471224763,7.31516074197153,6.582671894234284,7.022937063315139,6.991003922546022,7.480738057105298,6.7190916487363435,5.688726874297091,6.581667984669829,7.049692888880389,7.24065388865762
[0.5-1.0),,10.3841247040255,8.30501757026238,8.47643711310266,7.065457885864316,6.9408148546528174,6.574976355102221,6.198322407140988,7.1285541201873235,5.769311993491354,6.484178804789803,7.237925093938414,6.569093563282843,7.213795885815012,7.037671950384254,6.825732518855817,6.340721989486307,5.852608470209598,6.540583038848424,6.437839791673385,7.203207403783716,7.428960003861555
[0.0-0.5),9.53181162706502,10.284587629362814,7.8938620592211075,6.8133590892569105,6.573613207186075,6.7958617956738845,6.725558398544863,7.2303706644839805,6.594946018925608,5.7386464962765045,5.839479289073337,6.621048188675826,6.2624208642066055,7.530112912444569,6.996281149612667,6.490188862221632,7.0052480234770504,7.041843976304203,6.4788138014745105,6.583662791674563,7.725717795917891,7.048970365944501
