"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Maximum [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,832036.2171144257,1038849.4455881007,930460.3814307902,888902.1875076466,819886.7497905199,981082.599503876,784137.8706053877,894541.9891692541,813745.564855693,852225.1321141619,764034.8715043204,733341.2705638732
[8.0-8.5),,,,,,,,,,1016469.9956557202,828436.2084764494,955543.1065083017,786560.7374693486,776934.3404044387,822444.4484375018,745313.2196172079,723120.6049508919,905685.8777658978,791830.7699954576,833431.6744155218,795311.8806734,817532.9875785236
[7.5-8.0),,,,,,,,,,817558.9285038639,769397.1585418878,704137.8561843846,941852.3255666082,793459.8652789629,837723.6142266474,799629.6548692608,764304.1662271341,944828.5340262731,640674.5456745273,857962.226509413,710341.3853021939,727924.1973075173
[7.0-7.5),,,,,,,,,,713271.5508449394,728434.5833923691,810114.8184237663,748995.1040110638,709931.4688602961,683249.7113513135,652558.774849481,771871.7348608281,789861.513675341,676554.9405786535,746458.9739408336,782151.7641766138,677233.780236697
[6.5-7.0),,,,,,,,,,959854.8993449522,846726.31932723,706700.3692014724,748667.2781718128,654986.240088416,630306.9158897757,594433.1969823046,659215.5851265776,693566.0456436515,613134.7331211892,762884.9096330648,608332.819454696,689907.0554417373
[6.0-6.5),,,,,,,,,677380.0363499735,639581.9667033551,697630.6452830657,626049.3488045121,649365.3825649662,761853.4176198439,730931.9465607209,625679.8035517923,545577.9856525252,617182.9583265355,734917.4497454846,544322.1071061181,651507.5289188934,548661.491236557
[5.5-6.0),,,,,,,,,752237.6717387632,701767.4643128472,807849.1069675733,570154.2435521978,641128.6868729867,612823.4266726819,602562.9265159526,572398.0561307425,562230.2372378648,552431.2789468638,646989.6291208613,591638.078602299,636176.8788723169,601453.1047613312
[5.0-5.5),,,,,,,,542362.5416146411,659016.4806295786,606281.6569382454,615869.083591728,500550.2384317663,591658.3318361022,562565.2571822525,503232.2575469462,504448.9105659391,422170.5645837944,504996.08344235056,511441.74157306657,490542.089860951,561775.3795467681,468312.7285112954
[4.5-5.0),,,,,,,,514368.6400771381,523498.3647225843,568957.7886633999,499914.0168970201,506704.145994172,543350.5911463689,444131.19573535456,484895.35137918254,417083.7399382325,489850.9514793554,462563.7266750752,531268.2594366542,448612.5339631712,420329.6776335838,528982.4794631774
[4.0-4.5),,,,,,,435098.23834486527,467538.0585135919,465350.0976940375,511370.30965584307,505003.31831771997,454422.9061299057,460865.46031176887,438980.6501528434,453757.38967099146,412142.18120205816,440863.80884017807,453225.2309788277,463691.6883646465,481354.2012276944,416543.8785251165,383350.570408417
[3.5-4.0),,,,,,482218.4687360359,485454.69334510306,420104.4261477622,377703.4600052901,406989.397198072,368382.4072230671,392008.6619080909,485611.651181353,414659.84299827536,428328.56609642674,398866.8494468322,365668.89773814427,400492.2211344749,360489.45667145663,317271.40066210355,431112.1642608373,370374.71640333196
[3.0-3.5),,,,,,342464.2920492489,343770.8681611013,329422.891886758,352044.7090365084,371298.14647895953,323698.4058202215,412789.827896307,358253.72304740583,366271.5761856844,339397.1268193685,287780.72468098305,361706.4195665559,292111.73492795695,291733.72627602954,307237.8729082284,339197.19453607616,336276.91623690113
[2.5-3.0),,,,,,312825.55504941475,312570.12148171925,318871.20397852623,347972.3603790563,312914.5189800267,274611.6731385962,284437.75639759086,344178.5665557143,313112.25575348805,246660.18741696727,255404.41325173186,309986.4428838619,300263.09075140674,333910.70989172946,277059.1430918893,239304.56756812017,295194.58507305296
[2.0-2.5),,,,,211708.6413590962,247326.92998681613,251709.97559458233,247249.39094739823,292916.1080143939,302282.4062964033,305537.3128166427,252567.040079979,233089.22184380132,294716.1413914881,224969.89229448928,245583.62572236385,284049.5633575954,224005.40041672255,293419.6764323408,200417.05340805402,236866.49419505938,196397.06013273462
[1.5-2.0),,,,157281.69504224646,172381.21513342598,189779.71972069278,185283.59769776525,223551.77340015655,193121.83487097966,200058.841579801,199037.48689168127,187075.08641727862,208135.81579999966,197899.71506333075,198669.6587900425,188892.54461662125,156790.5076093677,164344.02421650972,195650.11109743683,180026.90967402313,162881.15129317495,178093.5214942715
[1.0-1.5),,,87403.08839775097,109489.0175344589,139584.09334967437,159059.95054825055,144625.9234452206,143828.14610044574,140951.8086747162,159765.5299980303,142856.09783396265,133450.66851399522,167204.08567018577,136572.60322804592,133083.43366321176,125762.51430580327,134844.96811986016,122249.83619859813,104905.08901896903,112489.67629673384,126305.78152627933,120948.55826887678
[0.5-1.0),,33259.6506667123,54387.69750948992,80602.54214393506,79810.15097452031,85627.73628672466,88033.88057269763,83092.38673658091,95376.7315935701,79064.52858853531,83016.84402805718,93232.53484739998,88946.64062797172,89263.65291595044,80346.40505412008,74871.60416842182,71905.24693091545,64750.618984093926,74312.73903192283,67569.83637850478,75159.8868263358,79525.10165282682
[0.0-0.5),2238.4802733862794,10947.83021135751,17716.169194351183,21771.109158943513,25791.004458033567,28803.188307063454,30759.67438359299,33143.762370569384,30740.780053786904,26762.831808475927,25424.203434625542,28254.10279966765,28249.63238046973,31690.78990019311,27553.644681991485,23146.39704835517,25937.639430030147,26060.027198490927,25413.499351483304,24401.12784125261,27849.47122959311,25981.13699456088
