"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Energy Flux [kW/m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,513.753515625,558.427734375,603.101953125,647.776171875,692.450390625,737.1246093750001,781.798828125,826.473046875,871.1472656249999
[8.0-8.5),,,,,,,,,,417.00192187500005,456.71639062500003,496.430859375,536.145328125,575.859796875,615.574265625,655.2887343750001,695.003203125,734.7176718750001,774.432140625
[7.5-8.0),,,,,,,,,,367.98792187500004,403.034390625,438.080859375,473.127328125,508.17379687500005,543.220265625,578.266734375,613.313203125,648.359671875,683.4061406249999
[7.0-7.5),,,,,,,,,,322.03729687500004,352.70751562500004,383.377734375,414.047953125,444.71817187500005,475.388390625,506.05860937500006,536.728828125,567.3990468750001,598.069265625
[6.5-7.0),,,,,,,,,,279.15004687500004,305.735765625,332.321484375,358.907203125,385.49292187500004,412.078640625,438.664359375,465.25007812499996,491.835796875,518.421515625
[6.0-6.5),,,,,,,,,216.53320312500003,239.326171875,262.119140625,284.912109375,307.705078125,330.49804687500006,353.291015625,376.083984375,398.876953125,421.669921875,444.462890625
[5.5-6.0),,,,,,,,,183.27370312500003,202.56567187500002,221.85764062500002,241.149609375,260.441578125,279.733546875,299.02551562499997,318.31748437500005,337.609453125,356.90142187500004,376.193390625
[5.0-5.5),,,,,,,,136.70310937500003,152.78582812500002,168.86854687500002,184.95126562500002,201.03398437500002,217.11670312500002,233.199421875,249.282140625,265.36485937500004,281.447578125,297.53029687500003,313.613015625
[4.5-5.0),,,,,,,,111.90435937500001,125.069578125,138.234796875,151.400015625,164.56523437500002,177.730453125,190.89567187500003,204.06089062499998,217.22610937500002,230.391328125,243.556546875,256.721765625
[4.0-4.5),,,,,,,79.046015625,89.58548437500001,100.124953125,110.664421875,121.203890625,131.743359375,142.282828125,152.822296875,163.361765625,173.901234375,184.440703125,194.980171875,205.519640625
[3.5-4.0),,,,,,53.335546875000006,61.541015625,69.74648437500001,77.951953125,86.15742187500001,94.362890625,102.568359375,110.773828125,118.97929687500002,127.184765625,135.390234375,143.595703125,151.801171875,160.006640625
[3.0-3.5),,,,,,40.060921875000005,46.224140625,52.387359375,58.550578125,64.713796875,70.877015625,77.040234375,83.203453125,89.36667187500001,95.529890625,101.693109375,107.85632812499999,114.019546875,120.182765625
[2.5-3.0),,,,,,28.682671875,33.095390625,37.508109375000004,41.920828125,46.333546875,50.746265625,55.158984375,59.571703125,63.98442187500001,68.397140625,72.809859375,77.222578125,81.63529687500001,86.04801562499999
[2.0-2.5),,,,,16.246828125,19.200796875,22.154765625,25.108734375000004,28.062703125000002,31.016671875,33.970640625,36.924609375,39.878578125,42.832546875000006,45.786515625,48.740484375,51.694453124999995,54.648421875000004,57.602390625
[1.5-2.0),,,,8.041359375,9.828328125,11.615296875,13.402265625,15.189234375000002,16.976203125,18.763171875,20.550140625,22.337109375,24.124078125,25.911046875000004,27.698015625,29.484984375000003,31.271953125,33.058921875,34.845890624999996
[1.0-1.5),,,3.1910156250000004,4.102734375,5.014453125,5.9261718750000005,6.837890625,7.749609375000001,8.661328125,9.573046875000001,10.484765625,11.396484375,12.308203125,13.219921875,14.131640625,15.043359375000001,15.955078125,16.866796875000002,17.778515625
[0.5-1.0),,0.820546875,1.148765625,1.476984375,1.805203125,2.1334218750000002,2.461640625,2.7898593750000003,3.1180781250000003,3.4462968750000003,3.7745156250000003,4.102734375,4.430953125,4.759171875000001,5.087390625,5.415609375000001,5.743828125,6.072046875,6.400265624999999
[0.0-0.5),0.054703125000000005,0.091171875,0.127640625,0.164109375,0.200578125,0.23704687500000002,0.273515625,0.30998437500000003,0.34645312500000003,0.382921875,0.419390625,0.455859375,0.492328125,0.528796875,0.565265625,0.601734375,0.638203125,0.674671875,0.711140625
