"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-7.13749039547768,-7.087529575457029,-7.704411579999345,-8.436089502084752,-7.461734078818854,-9.796045884042057,-6.269547280988492,-7.8833235419809355,-8.769116089748483
[8.0-8.5),,,,,,,,,,-8.627948703684899,-6.824594736927974,-6.135219756733506,-6.816398898697017,-7.365149466193919,-6.823924873983657,-6.649071683337849,-6.739082228500258,-7.74061698230301,-7.516961442057007
[7.5-8.0),,,,,,,,,,-8.329538471877909,-6.73233346625444,-6.235371563949746,-5.912681623609355,-5.8454578215042785,-6.801644278881576,-7.17303164053798,-7.4561163384740174,-7.815690394622224,-7.09276022766656
[7.0-7.5),,,,,,,,,,-6.147895290927691,-6.400299512349767,-5.769121161070572,-6.728518336078381,-5.66681111493694,-6.40776886999782,-5.83999862906027,-7.007239395534879,-7.519542493945145,-6.271745344667464
[6.5-7.0),,,,,,,,,,-5.7415520128480795,-6.092005007627543,-5.70422501391242,-5.776074428196625,-5.861507752343869,-5.491175199856772,-5.6602850085267375,-5.81505780049016,-5.431195075445785,-5.484090496582928
[6.0-6.5),,,,,,,,,-6.182743467649855,-5.552162552879745,-6.247404655258387,-6.110648940495751,-5.565514874140907,-5.119637905662536,-7.114843413735126,-5.314904704889535,-4.419746643016706,-4.92200600846162,-6.603806027391966
[5.5-6.0),,,,,,,,,-6.14782249798522,-5.2887236617808835,-5.859571145950834,-5.104426829108129,-5.029101014261286,-5.319850972890521,-5.357736192884698,-4.908018605421514,-4.6932319103385005,-5.120197437731693,-5.24108186452057
[5.0-5.5),,,,,,,,-4.7655178664607725,-5.0033127145041165,-4.648489825424694,-5.822645616871486,-4.69370868794349,-4.643158641304267,-4.384400012170019,-4.025105114555637,-4.281107605779412,-4.205774981262831,-4.453744642155594,-3.9593884737164298
[4.5-5.0),,,,,,,,-4.420862033294684,-4.951756799515082,-3.88838055004342,-3.908182611522363,-4.411145066982073,-4.354855744506479,-4.0437908571911425,-4.179683648263487,-4.053483467379216,-3.353353362640527,-4.031712871550208,-3.8303700553801114
[4.0-4.5),,,,,,,-3.5884117027288647,-4.216229255470383,-3.775728386046082,-3.8125756046694907,-3.911888763413106,-3.6951529169817783,-3.8558504721058235,-3.554429766128711,-4.333329682757472,-3.688911714697727,-3.7907408584741127,-3.753497484200396,-3.7370703678192423
[3.5-4.0),,,,,,-4.3230699834410995,-3.7464430755222713,-3.068607265989711,-3.32617002143389,-3.2971026611170773,-3.385048374253394,-3.31338431383816,-3.2015685791117034,-3.4303985785625706,-3.086457305235498,-3.7158139073231764,-3.0190606613211304,-2.81420029932599,-3.1942486400597656
[3.0-3.5),,,,,,-3.199899190770976,-2.9661705155102234,-2.7605069324900477,-2.9267516730508687,-2.525899070850508,-2.5399193990399755,-2.885302511087606,-2.8598604202493036,-2.6366560093688847,-2.858581683917238,-2.5689378460690144,-3.2355593028954392,-2.5113610472629753,-2.466779405154085
[2.5-3.0),,,,,,-2.6877825225272995,-2.525977959990151,-2.923383050799346,-2.7669722786382733,-2.8284540648087977,-2.163217691057004,-2.6040442811867504,-2.604337730986595,-2.4344904334325266,-2.5454507371207615,-2.5206427226603956,-2.443202601812765,-2.462051081503036,-2.4143022158388647
[2.0-2.5),,,,,-2.061482031661405,-2.0671254448264733,-2.338046267531453,-1.7791361425903942,-2.6742679590292386,-2.225994559268898,-2.5144991241851202,-2.065548825483467,-1.7733803065109968,-1.96128365701442,-1.8571344063274458,-1.8959865792238466,-1.9537195507920946,-1.9519043120799489,-2.3473355261940467
[1.5-2.0),,,,-2.054993772421892,-1.5617524700675987,-1.5650685120482073,-1.572987262576302,-1.679482583995356,-1.9135218348636773,-1.7290039312402457,-1.6827153449975332,-1.3830480826129652,-1.6479447659332818,-1.649011465534514,-1.7248802767528153,-1.5043658472092203,-1.3468115229935862,-1.6817250394713503,-1.3867248859334695
[1.0-1.5),,,-1.1739029592340084,-1.0291903869906638,-1.2016858390712797,-1.4531574678858388,-1.218258144428175,-1.1690735939045225,-1.1772634929509966,-1.1530447305503215,-1.1066850691382537,-1.0383816665680357,-1.4422986166458363,-0.9912721252114763,-1.1079939364593727,-1.0013506550773412,-0.9232983835127928,-1.075432085292019,-0.8818267364758893
[0.5-1.0),,-0.8466282887208951,-0.7096797509051642,-0.8339421993092107,-0.7343568132775399,-0.7696778902105412,-0.7057420541994163,-0.6435699490469721,-0.7095180247513808,-0.6629511052499201,-0.6304812567899929,-0.8897678023001683,-0.6338933536537502,-0.7786514764120183,-0.6419607701898445,-0.5724489901601071,-0.6920802191506978,-0.686366556237753,-0.5626220135447596
[0.0-0.5),-0.25000824776074565,-0.2535219972331086,-0.25896317416873527,-0.23419451050034223,-0.2372579878565234,-0.23681563884000445,-0.23423732914694007,-0.22131355824345733,-0.22557631950301354,-0.23241320071232677,-0.2116143144200479,-0.20077889434879326,-0.21301198157426968,-0.18355778839099962,-0.24734089442378487,-0.20237640303221055,-0.21930434431481516,-0.2177122761789498,-0.18456515109760047
