"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.014098714157034392,0.011111355654573293,0.008113929658496995,0.007027768966166817,0.005959530267205268,0.004858917467722887,0.0033396599904819122,0.0029734687898684046,0.0024793341799353055,0.002298597795793157,0.0017558232639439274,0.0013261005320120882
[8.0-8.5),,,,,,,,,,0.01959763488921846,0.014480110006080738,0.01149343693386476,0.008452541977665123,0.007238033152256262,0.005438293914388021,0.004248732661951608,0.0033598617056795703,0.0030489261949911903,0.0023405096894640737,0.0017629300270929783,0.0015714322992920104,0.0013024652963958025
[7.5-8.0),,,,,,,,,,0.0184882912118098,0.014075565539662823,0.011255474786815774,0.00854974373291958,0.006398280811297385,0.005146801247141056,0.004229729674385161,0.0034026721867910508,0.002821628228082733,0.0020408069205124493,0.001771001030217275,0.0015591707804696131,0.0012752662890801434
[7.0-7.5),,,,,,,,,,0.01848061335098898,0.013308918373974552,0.010617060042581032,0.008201197294028338,0.00624361313412179,0.0049310008317442,0.003929922381404982,0.003226751425264721,0.0027496568959126263,0.001909237514659685,0.0015689735677600614,0.0014010754858439778,0.0011189265386254569
[6.5-7.0),,,,,,,,,,0.018030806392641013,0.013807045028613772,0.010350430612819666,0.008173328615941966,0.005955399759968931,0.005136458409889326,0.0037825970816758175,0.003167804595860131,0.0024517933185282765,0.0019282115360657855,0.0016346970856338703,0.001456908097653855,0.0012544168769882498
[6.0-6.5),,,,,,,,,0.025056097210419112,0.017380659818343365,0.013465433582609838,0.010238584097268313,0.007448850858454058,0.006181378817311571,0.004902038458529545,0.0038115930490179415,0.0027684489575453015,0.002312069716375919,0.0018886402153402637,0.00147522207205875,0.0013916716491577147,0.00098095924736802
[5.5-6.0),,,,,,,,,0.024683501361960895,0.018564029686826855,0.013026826677493171,0.009548674678042875,0.007231592977155932,0.0056423460081790975,0.004423907796777713,0.003530720064138627,0.0025121687085266496,0.0021405191019050447,0.0017409369228183775,0.0015665223356048235,0.001168106859970134,0.0009544440910458032
[5.0-5.5),,,,,,,,0.03496442063544578,0.02441191144021404,0.017738578682776826,0.012720487159999787,0.009163184980565092,0.007156003250311471,0.005332934960359306,0.004161692848356354,0.003106371855609499,0.0023849899667699255,0.002000004563947094,0.0015369468535160226,0.0012713484083587145,0.0011129829731346347,0.0007336901919939228
[4.5-5.0),,,,,,,,0.03500821812106869,0.023471462460544393,0.01602132058934658,0.012119707001040366,0.00904467789389842,0.006614853007225291,0.005096483502199315,0.004030089918185565,0.00294331339418958,0.0024068002007045014,0.0018078782025520174,0.0014045156377486636,0.001157732629738566,0.0008864256280708523,0.0008729669652162259
[4.0-4.5),,,,,,,0.05148595079075597,0.034208455565487315,0.024410876282731826,0.01607484661145777,0.01191743381100629,0.008807916068330228,0.006391876546159028,0.004813225261668937,0.003867108765609632,0.0027992033481555553,0.0021982279582056907,0.0016680843058470495,0.0014870286687779979,0.0011024393894208829,0.0008245750668984327,0.0007517179475585767
[3.5-4.0),,,,,,0.07735274990117062,0.05062813528015251,0.03365785500527602,0.021951605860721375,0.01629706486404623,0.01160886829792805,0.008361297835932393,0.006076909526716912,0.004736882365355217,0.003377406344807786,0.0027029097314849775,0.0020624363722388387,0.0015587692546446873,0.001320805402318196,0.0009439231507105665,0.0008712679394449734,0.0006046226416855774
[3.0-3.5),,,,,,0.07821216225831719,0.0515478016184729,0.033503389037180004,0.022269468436853502,0.015281931267417543,0.010626405272344545,0.007497098595901594,0.005736007414238326,0.00429849349222189,0.0031638605324019195,0.0024792666319555404,0.0019462738275114971,0.0014135714419012042,0.0010569353005379712,0.0008877593695062081,0.0006804771145929907,0.0005806706327163475
[2.5-3.0),,,,,,0.0787227972693811,0.05035379891314238,0.03325245890208897,0.022936501583650373,0.014638123769883361,0.010384875196431836,0.007364034997029798,0.005352481896261029,0.004004498208816969,0.002840029208692659,0.0021949807261784104,0.0017223494581700605,0.0012293872321199487,0.0010242882695609401,0.000891292304162657,0.0006191804247868178,0.0005094607396299917
[2.0-2.5),,,,,0.12728605660421455,0.07971386279066349,0.050529324020133375,0.03198088218076013,0.02166698158312481,0.015108839818190096,0.009993340022316837,0.006912744481934124,0.0048161647977932875,0.0035893410993684746,0.0026142581649848595,0.0019929179895746547,0.0015150633115993885,0.001085046288584968,0.0008830334210168623,0.0007215865675634065,0.0005901659340845045,0.0004481762546884813
[1.5-2.0),,,,0.19687326122877724,0.1315563140992908,0.08130748107790582,0.049705835901534275,0.03231195946204053,0.021681343997316905,0.014095424507141905,0.009348501416324,0.006375132514986702,0.004655267617100825,0.0033256216397955117,0.0024972433211431656,0.0018233001448869207,0.0013231288961930395,0.0010345519775858396,0.0007897551431524332,0.0006074765710403974,0.00046022504230380323,0.0003734674949240134
[1.0-1.5),,,0.26443854521350457,0.2070060808490528,0.13646117120586268,0.08619133372684964,0.052433088448752184,0.03245456744358298,0.020833406174135184,0.013619449869092663,0.009038217311364132,0.006240862124571426,0.004494841277000301,0.003102784964258543,0.0021983317682097523,0.001655716949887684,0.001224347193859986,0.0009151586242441281,0.0006891816691676375,0.0005111254125923828,0.00041612204888007213,0.0003081571108531613
