"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,3.221173754492419,4.530638779665327,3.125954060844396,3.6358484254898564,3.4922388856688285,5.401266187820319,3.078400883746293,4.081541576006186,3.2879584762532557,3.363444717658299,3.439354637848168,2.7880762005867386
[8.0-8.5),,,,,,,,,,4.159870058866609,3.441889487893881,3.8820492039247463,2.9088496063659597,3.0873171732897733,3.508946027896795,2.288782923646356,2.5917372506051644,3.673270824505141,2.8055128221632044,3.131464017148195,3.283900139299557,3.5648316110964693
[7.5-8.0),,,,,,,,,,2.7057042514735308,3.2792838867470837,2.922016179910479,3.216601144601187,3.161501307086893,3.4313930396163106,3.2404078561936847,2.805249984211188,4.147754427782841,2.3016348140398883,3.9212242640000654,3.600912438589178,2.3482302557207335
[7.0-7.5),,,,,,,,,,2.509824015071349,2.390160049285457,2.9159815787361665,2.9692139153860104,2.829591485752337,2.956597411511622,4.066392216576831,3.4713867559762788,2.969658309367749,2.2567851928489624,3.019407912040589,2.888910804898033,2.623270952824452
[6.5-7.0),,,,,,,,,,3.4801251687639296,2.4526744749523117,2.635053385053893,2.53819069424929,2.2564279657971857,2.4387330924815585,2.3820771311681046,2.229713651834822,2.50538988079393,2.2453602938970687,2.980198607119843,2.2084176635529915,2.3699735996871514
[6.0-6.5),,,,,,,,,2.2765330295172057,2.87429610186589,2.0967567336822737,2.2017884369821314,1.9071730393076711,3.0368248669296,3.0278405150098884,2.415885496283486,2.366576537021812,2.156740968861363,2.723255688240182,2.1127576252609477,2.57053492590509,2.0367926713141897
[5.5-6.0),,,,,,,,,1.939335877753964,2.336531003666606,2.5211258715656273,1.701457183844471,1.8643324541142374,1.871195806106212,2.123623007556426,1.774833123077692,2.186449238327065,1.8322339682628879,2.010270989674276,2.1607087473134095,2.4888712578634906,1.8185468369535476
[5.0-5.5),,,,,,,,1.8034805279635897,2.2368037641666194,1.719679057913915,2.1247870741189314,1.808797041877471,1.8611164202519006,1.7079745816194807,1.911672764591816,1.7253389948085776,1.1687763986046948,1.9103082374382934,1.4727187233300418,1.4824990579040913,1.6845373103412145,1.4502073254483145
[4.5-5.0),,,,,,,,1.7306581452915895,1.5258102001830527,1.741800079001668,1.5999501980484592,1.5620473995279434,1.443774476638552,1.349762094268678,1.5893548288516146,1.2519880150685156,1.7496795693124005,1.4815536059772778,1.1432879425436853,1.3493336543913141,1.2999638250353152,1.5585771240980169
[4.0-4.5),,,,,,,1.769205284393554,1.6041201425806333,1.438519241342113,1.4428976160879465,1.2209091216091739,1.2849438791383778,1.0867816832586197,1.1968716315017187,1.2358686392196707,1.1892557342435643,1.2443990760349364,1.4795462449474248,1.1843714685195288,1.6013516094228126,1.3653968590478482,1.0672667621068626
[3.5-4.0),,,,,,1.4740965930371464,1.606067510308617,1.1639410142446864,1.1515332541536036,1.2628714745237022,1.0288934869672852,1.2286942127603588,1.3676279775650417,1.0803585577675068,1.157707331321137,1.0925101878433283,1.0605662554060495,1.3516714518499198,0.8760430889564036,0.8995478158250416,1.400108724632501,1.0891672583545244
[3.0-3.5),,,,,,1.078668979323927,1.0884131093042602,0.9493007988967295,1.0341595401848016,1.0139307547745968,0.9238170455406898,0.9529517871440686,0.9121120248728912,0.9927401939866887,0.8244835057137083,0.8207154950038463,0.9387703072382207,0.7134633872640798,0.6371556440492017,0.8267752290349142,0.9733822359154152,0.7989580840418475
[2.5-3.0),,,,,,0.9516708333897528,0.900346686398295,0.9102631248310187,0.8495443835031938,1.0732707710907083,0.7563813930096681,0.665406975077673,0.6776944426882343,0.7790566093598039,0.6231350801892955,0.5604292613155907,0.772544685391652,0.6670954974354425,0.6687179533794637,0.6996759567970804,0.4970589669219276,0.6547809438128122
[2.0-2.5),,,,,0.7679006494743974,0.7831939728585136,0.7127660782569213,0.648509991043392,0.8101763728239103,0.7114235298028518,0.5639080583296483,0.5144984434818636,0.5748096540790286,0.5786434453309963,0.4023660419273759,0.5131954053914055,0.6786561210200908,0.44744273008074176,0.4884137157381092,0.4385505507127188,0.5495830082236833,0.365718012689629
[1.5-2.0),,,,0.6914394444102995,0.6267661132356801,0.6068743844106875,0.5674855111447361,0.5378068388374931,0.5395949955137068,0.45127711506481266,0.4168639269661992,0.32273852178973406,0.4361142788296357,0.3458421307817995,0.30486988104430474,0.35380063537784184,0.287367413149081,0.267120488414633,0.34174209164047575,0.3350417428700958,0.24742672397286788,0.35021153733844157
[1.0-1.5),,,0.5285058877938488,0.47906096515052365,0.4655970128372408,0.3912575380941641,0.34790271818796914,0.3152424761417847,0.3211921758982389,0.3476409876647533,0.2541832327685211,0.23891268340423194,0.225921874031078,0.2443894589731411,0.21221327661826506,0.23218562037228677,0.1828672661604617,0.15911623079366558,0.15705562587736502,0.14769603011483748,0.1667495392239602,0.14001031734637076
[0.5-1.0),,0.2628109401971254,0.3302999559265516,0.2928356805863903,0.2645918283161466,0.24594442811271885,0.19832551481686583,0.1788523382224834,0.1863758052316423,0.15361539541228322,0.11878031305888292,0.13947355409791218,0.12243877223830799,0.09410591770217437,0.09521849653907133,0.08343548807854166,0.07609008985906951,0.07772675802916051,0.07927404264050933,0.06924752272077979,0.06708043188084042,0.09288879629286005
[0.0-0.5),0.0495957224371048,0.09461445338918822,0.10115090513318357,0.10371529871452158,0.08703164096408568,0.10213647412688291,0.07749107113153608,0.06430279793344294,0.06220806531982806,0.04653326328649734,0.041570781197064824,0.03845065261071358,0.029108336317510895,0.028516902712300323,0.031143056842025965,0.023078519572175292,0.023588943297647796,0.022370071616893642,0.01708139399706968,0.017290130825837267,0.015623033657485996,0.020181814244017784
