"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2540.2512850032313,1854.5015008151108,7412.788299165706,7608.293789496993,5323.256628263534,6109.373133006162,3235.71487652219,2153.1780761577297,3566.371736810238,975.6081631411306,1142.0900686718526,1056.9355665538528
[8.0-8.5),,,,,,,,,,8110.980714144327,1903.6434440861976,1170.5792507625174,5413.069859446994,6004.684137462587,4532.094908669146,3198.275329879454,2114.242975230486,1487.69554343109,3880.3404237543273,436.9462172128007,663.620181370546,1098.8327152132165
[7.5-8.0),,,,,,,,,,5818.09379137955,2647.891650761999,1419.0006991864939,6828.449753700734,4699.108922894983,5275.51724897813,4115.93740208908,3257.0471449824345,1877.4038750484801,423.4687092395413,2724.792736935902,1157.4050599875907,200.51315258376837
[7.0-7.5),,,,,,,,,,2428.6085866282174,862.6998055194234,760.5729822534881,7544.416694381302,5314.617232977318,4559.783944917226,1116.1601667177727,3481.100201510567,2055.2930966414983,425.2454220617162,222.88243634569326,1102.8252158153855,257.18392465317845
[6.5-7.0),,,,,,,,,,1691.1112655884317,881.5625238440623,630.5431722837112,4784.506129509047,3661.207818239933,1440.3145924240575,547.1967030528995,589.2643171666368,969.564072198875,238.3858123447617,281.323934567613,265.3342199072368,264.96429974560755
[6.0-6.5),,,,,,,,,3473.633266249472,1112.336711489584,843.073487814286,600.8342583868957,1543.1443194502265,849.9662471202837,4452.121132196855,671.7130249785866,345.7632478461728,244.2505631971222,379.2426798269963,203.32080122729923,208.89142685755616,159.35947456444853
[5.5-6.0),,,,,,,,,2066.9363862523023,969.5068828093353,605.1960476295046,385.4692185096677,1271.323441237639,2056.011021697719,710.0526567449895,455.8552345317252,411.59419392449485,229.04428817672024,222.10012618892728,185.2048475057038,161.9160222443845,161.3940233790536
[5.0-5.5),,,,,,,,2780.83968665852,1807.6370331194728,719.7192951166734,419.4307343928507,415.28800032901154,959.2897069480082,588.7814125936708,459.2235795858336,354.38965029727115,218.2569061174405,348.01260689472934,182.03115685016445,138.98992591710442,130.48618425401406,137.97201926954853
[4.5-5.0),,,,,,,,1487.7632880856395,1260.7269962935707,611.5495193501852,431.43321304216045,364.22132513067885,720.3884033966231,635.0819737218933,312.1791301197724,374.8719655374848,211.89393771232793,225.27698812027262,145.6490173031189,151.4295045247732,135.38085630321166,119.18215802194139
[4.0-4.5),,,,,,,1341.82672212115,1715.8127070313517,1190.4708119062334,521.4145753237163,338.7937789747634,303.09841707937846,706.882328956996,325.7696843324653,299.9238237007638,227.01917986854497,229.1244711704595,165.93699932682154,144.60563420493406,122.01354752897387,129.21501891915977,110.3808280577029
[3.5-4.0),,,,,,3180.544877956694,1961.079715586106,903.4417774110332,565.8745158954941,426.2677526484024,299.7849219802404,238.831435803461,427.69908286180015,277.0739004753089,386.62551620158723,197.15803902266035,162.22435597557782,144.44283769332873,127.71719980614884,102.26846996861764,98.61152486387216,85.78366178560135
[3.0-3.5),,,,,,1299.2618511566784,1005.4928597620699,710.970690234978,555.533571766238,343.297750257007,263.34029913615177,209.07847240192834,242.06582296386648,226.2921995368227,180.8415891830047,160.3625424342717,131.11998806481844,110.13676422752434,102.1193189658543,88.5700148011152,77.25609828098004,84.90649863244693
[2.5-3.0),,,,,,1052.0576062450166,765.2603954962761,553.8347882743928,447.0407444248378,273.0601997192567,243.89462260430045,174.3792629603018,205.04231640343764,182.40798026735774,201.42498024892987,122.78652422008184,107.02984355117081,98.81886482309363,85.94284125098682,86.15175718252796,72.36365305124674,70.34293619658804
[2.0-2.5),,,,,1206.6079969035673,785.624157512701,519.255959708976,407.14526928155215,342.13379276971557,217.92629245792756,200.2701236378017,145.58400261113619,159.5103540911935,145.7828797116104,115.09917766540536,104.6224623837444,105.29855654743159,95.23119456763621,68.43042532922206,70.23038593494373,59.215982189375474,56.388094129836965
[1.5-2.0),,,,1733.2614595574678,891.7820037531584,545.9276365792515,437.91672226509644,313.98709733064237,246.4562067133394,172.59576015521097,151.9636685453382,107.95796482882862,130.08014642718757,108.3759488231589,90.14779241757583,70.09225676710896,70.25912733240285,64.96733639770211,54.652245678727574,60.11600290008493,51.06439011532239,46.14957476000908
[1.0-1.5),,,1388.405072102827,907.5382071431977,693.9557206450904,420.0152366772835,291.07236365900815,261.0247802753339,156.21706453610167,124.57141066199405,89.8074081444443,81.29981598372996,101.3752803623508,78.37259683357088,77.06325424719738,57.1142411662543,57.89765852464499,47.80266246570111,46.406311781990745,33.05526793102945,34.808917628920184,34.258293702613386
[0.5-1.0),,1540.3837782697183,774.2959950102165,499.3900384850772,355.4757369602938,243.5375292642736,168.19922338195894,131.93741719261806,98.70723524973879,80.76636280178302,56.80783399851682,46.058279469400965,48.116001792947195,48.93023782669262,43.52916288806991,31.987575836358783,29.058301305112664,28.1401450782462,28.351200457861147,19.49209321686616,19.802874258699468,18.56589814339592
[0.0-0.5),562.6980903815308,464.8883568629877,248.60783738204694,170.91994283256787,117.26235556738428,90.215403671196,60.58983153222151,43.04477855576127,34.17251467564755,24.56903277315491,20.559129565792393,16.791601821259228,20.717985253649385,14.301754484834246,13.426345023224643,10.85410573897242,9.624445566664235,9.959549856136436,7.389064899213333,7.817501262841728,6.144922244364622,6.249128414247165
