"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,8.233877943022467,6.770862152737879,16.81771151484533,20.55938728747199,21.749076034864075,20.334674718438364,21.21071132148801,22.36406009205905,34.41469087385567,16.07263031682596,13.102460326795674,18.64536800555125
[8.0-8.5),,,,,,,,,,9.682830122385333,5.958232165042974,5.207227154745659,20.521402631457953,21.842790932788226,22.177971389978467,23.232968339271903,14.796030699669817,24.4366638016218,31.5969385219707,9.142759597653376,11.159937147985392,17.982237953518883
[7.5-8.0),,,,,,,,,,8.405949672252083,8.128264355468211,8.042766822905495,19.830574057183355,22.60919393717213,27.631167589227502,26.721530685689807,30.787385220883614,19.823464201977657,6.747826122938198,35.0974238310033,17.337124583126617,6.247015100618499
[7.0-7.5),,,,,,,,,,5.410190580600194,5.099472653062366,4.987970120135195,19.4678998982682,22.168490379677728,32.1345320726785,14.133290849558591,29.726274867420013,24.086151638690822,6.543484844832976,6.210933648883076,16.73374556304531,8.118514405814954
[6.5-7.0),,,,,,,,,,5.214971468212114,5.094545524310923,4.707069554729705,17.481326555495997,23.74246334027623,14.114039171294833,7.839989334666831,10.266991917772463,16.86208496733248,7.767577855079599,7.953607830787719,8.040773494182782,7.357635564337508
[6.0-6.5),,,,,,,,,4.706988598339051,4.663382747198333,4.826043841100748,5.308423200966995,10.171937781003864,10.057361001819913,28.97117428748629,8.904369596742526,7.645424327132646,7.041951796026564,8.783935562021446,6.336376375076837,4.94135910081536,6.145794152649148
[5.5-6.0),,,,,,,,,5.551939481601058,4.4275035478028135,4.309497275562089,5.002672505457514,11.529334665361228,18.56909873988402,9.2700611804371,7.98773450826031,6.94809518214179,6.121937603694205,7.9258315716056105,6.717392418144989,5.367214922188187,7.704655522697766
[5.0-5.5),,,,,,,,5.304777967307493,4.57548460779816,4.130266231052352,4.6366933934109005,5.192219773244844,8.254140300824824,8.143721529185573,7.0143858139771105,7.804590432874742,5.551021185336496,10.000537155358362,6.13299130894887,5.082850354214114,4.901599312659973,4.886728480857704
[4.5-5.0),,,,,,,,5.228411820787155,4.983921775004141,4.622063604037501,4.641086677108869,4.161669842527733,6.9500539322456385,8.686729551117754,5.715739471018429,6.969768515895364,5.14022805391763,5.742314468845421,5.649346018138816,5.667428769024914,6.367703100456972,5.491293487181816
[4.0-4.5),,,,,,,4.914450525138768,5.015446624081475,4.786529465720837,4.769421647967194,3.9205734030572224,4.0900679349093485,8.869536788124867,4.9759466286360885,6.06642367674788,5.622294036010202,6.059632951617916,5.1677262092717475,4.766028021831327,5.5355469472693,5.0668019870215915,4.4061080531270305
[3.5-4.0),,,,,,5.209834284862382,4.721564596927251,4.5661094513775335,4.3708426545816215,4.533954416153584,4.337876515730374,4.1941402536058146,5.799760777458544,5.257276283930236,7.633647661823793,5.44270006183136,6.074815481132409,5.456166639372451,4.997768336264946,4.506898395759107,4.962011618106406,4.861970615924801
[3.0-3.5),,,,,,5.513678174347789,5.68566552242224,5.421607690628797,4.775831613641934,4.394838088984497,4.518083258000258,4.4248999719627315,5.137839416045446,5.697407543287611,4.63967921478728,5.519653749664755,5.085164573345848,5.684350422734888,4.568692378872251,4.438546722125896,4.898614753995616,4.847804483673075
[2.5-3.0),,,,,,5.201598218812827,4.632727086251201,4.338017929443759,4.817561591814952,4.030117184358249,4.334534418962666,4.140547506056355,4.498319392306955,5.235558599277775,5.612085396183449,4.949173319346872,5.405609711729569,5.325840046509862,4.614159239601599,4.550034346328646,5.243487429171597,4.912701108711649
[2.0-2.5),,,,,5.826273149318194,4.912078491040474,4.505696285161331,4.4307799519462385,4.182790940100969,3.9160244749914725,4.2336201238179205,3.6328612439720778,5.2531845053482344,5.4961022654884415,5.306191602640746,4.993059191562242,4.886839569449724,5.263161719933172,4.824139764478786,5.274411349257035,4.962427839921456,4.948616637820164
[1.5-2.0),,,,5.323550892162525,5.297730033694766,4.719750350745297,5.060754916171504,4.88214927988883,4.4469434743367655,4.099230890215712,4.231978883109867,3.9245390199634866,4.838466653444729,5.23160209310007,5.0514924193808834,4.391206866344827,4.581639368525711,4.792225106295367,4.462799950795419,5.127001267695171,5.643966047303838,5.0067059743515765
[1.0-1.5),,,5.504214411590831,5.096630237017047,5.805278243472027,4.690772405722156,4.572106198424394,4.640723511642238,4.003815775289895,4.119144236637055,4.04743878984767,4.208984895702154,4.931713736021899,5.092469834216262,4.920573147179455,4.179101523092988,4.773069991629291,4.455923704243458,4.777131155852455,4.457184106805852,5.025707983518086,5.287929879261184
[0.5-1.0),,4.964466687195651,4.877737802220684,4.747489280239585,5.494868946062092,4.983102472568741,4.428306584938255,4.296146605927714,3.9008188159103727,4.198252809861052,3.9948788157790296,4.506613080792734,4.479256409198057,4.770811902149976,4.647068561531157,5.0238794994586256,4.258577102221031,4.34594349465712,4.374629711153756,4.373630268601667,5.1572863827157285,4.57593202895092
[0.0-0.5),5.057944550080592,5.43668504739654,5.023184323904817,5.084724063616171,4.939119663817358,5.392244888160115,4.576311279819103,4.250457325133484,4.240049309665238,3.9187688608059443,4.577082691324644,4.4372506897586215,4.526512505005396,4.419144141782578,5.04772334919195,4.575109811753351,4.986626553183177,5.217201212637454,4.387022222797095,4.719906233397725,4.8456517847498235,4.393312041817368
