"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,44.73546147613262,30.650757016984723,115.98283141716176,169.07325872522708,164.56378629144737,138.67433778903,186.2865209587248,221.17975014563953,464.8862946426008,132.19490497931812,91.50555479998152,183.69151247546748
[8.0-8.5),,,,,,,,,,61.33100504907562,23.888474983439526,18.352707316070198,171.25691772909207,181.17457965031096,214.55242231766147,209.7250913778668,110.34988505789359,300.04790878137226,411.331912788256,48.175239236485346,69.25315789863323,174.12023699948108
[7.5-8.0),,,,,,,,,,47.38982734442712,44.36099412172781,43.49331637241048,169.26162233462344,217.88653330303882,331.18297160234164,285.8537706414101,392.83416578352103,204.54645100374032,27.56819504770221,514.4502791926438,159.56755682481062,23.160261872285787
[7.0-7.5),,,,,,,,,,20.009110343616268,16.98430512311274,16.55719235860728,166.45375973848678,226.1189907054618,462.38736747099716,109.33856857228143,350.59918968666045,285.0204315484013,25.92520502784765,23.787931875073255,157.44341470372584,39.72604663043025
[6.5-7.0),,,,,,,,,,18.677806664342732,17.811672892409536,14.573108630249871,157.25123895852118,294.15923569784974,112.12693166003001,37.04189232662468,62.38742566827566,156.39918517936493,36.51627228799137,38.70716714418242,38.85271651899371,32.790466805524495
[6.0-6.5),,,,,,,,,14.562932400886343,14.397482936707853,16.076982346252443,19.363005332799624,60.368408410936894,60.270233933579,435.02495855651347,47.70776301117674,35.60589726591924,29.958504101527,47.29566756817303,24.71454870231018,15.538522611144321,23.547147473478848
[5.5-6.0),,,,,,,,,20.082184176137204,12.896234097410252,12.667153309255223,16.48198093489466,79.23893406973649,201.27578854139767,52.11976769210245,39.351070907678825,30.2192990836463,23.652412244888893,38.7227306611588,28.07112794260556,18.14018699300477,36.67128016105186
[5.0-5.5),,,,,,,,18.124996142067513,13.688118080291297,11.364193521000459,14.242977753075337,18.540314180720756,41.12979301229181,40.82919372724519,30.54102098718922,38.03952317076692,19.58034713888079,62.81125050057259,23.63971599160249,16.31199312455534,15.335190692141925,15.019989748413904
[4.5-5.0),,,,,,,,17.75010696962512,16.362820630212845,14.049683750430821,14.175983405806198,11.464940274017136,30.625631114706,46.926473301842506,20.706963356510794,30.742926272878613,16.60603086650368,20.73133549871348,20.446878093891883,19.78384987983457,25.993599866135433,19.06013255255818
[4.0-4.5),,,,,,,15.761012420226722,16.38935654510941,15.082413282567034,15.040419700360543,10.202776886598143,11.07327934900665,49.017539067192885,16.04872685011022,23.31509815032644,19.855625203075295,23.19493481794976,16.804963292617455,14.626372601083382,19.46141077251472,16.233717996897987,12.415333432675448
[3.5-4.0),,,,,,17.366955378643233,14.576863780934067,13.593836103453244,12.65568779233091,13.666849951049223,12.47839627029616,11.625032903644948,21.48944421438972,17.771608505183476,36.99780385407031,19.273355769739815,23.85947560960298,18.93684613842024,16.08510358192168,13.085944559202034,15.66554140779167,15.074989468038998
[3.0-3.5),,,,,,19.20650699611702,21.12351218539576,19.139761389598426,15.049713188871763,12.766892857350133,13.620050668366977,13.017577354297883,16.94989013126936,20.55691550282785,13.800322305576527,19.61188297173708,16.332643524996694,20.780698266249054,13.433913096169517,12.712913687373728,15.354577123150701,15.007796751662454
[2.5-3.0),,,,,,17.310465059018995,13.954654309319492,12.329979784689241,15.29284966449085,10.670515642970653,12.42400654872707,11.296056841354906,13.236039512914285,17.619378653602016,20.179679914012958,15.946961707153253,18.676923053828776,18.20303032688243,13.709325711711719,13.35793294434147,17.60309205541436,15.024161977465841
[2.0-2.5),,,,,22.207499465099442,15.59973725412194,13.162292134158672,12.849997278262403,11.5522872731331,10.220343609474455,11.859346849683101,8.862389402816016,17.73345229441127,19.85385992190517,18.246068886103046,15.982453552118336,15.3800843134633,17.6128573495231,14.955485374606576,17.620712207471374,15.631134106378095,15.668509361767502
[1.5-2.0),,,,18.186522165320493,17.820879398852302,14.2595535392612,16.683784582119774,15.489995305538464,13.016348304656683,11.143772144945759,11.785198333513657,10.150016621003424,15.063014867755456,17.644793679998095,16.571052642204496,12.184327702405758,13.43567979450576,14.904181395685862,12.680047999245447,16.671286531711907,20.36093577807538,15.95780894670449
[1.0-1.5),,,19.32921975349259,16.526716410780278,21.911564119813036,14.268982836080916,13.501442650635232,14.046166447275382,10.604157043896185,11.23853860642073,10.815795817739417,11.663829447718104,15.47134933209077,16.700333642125244,15.544115604824936,11.268663374077697,14.533601478722135,12.73055260874055,14.586681364406022,12.81181939666781,16.098208371058988,18.026678536576142
[0.5-1.0),,15.58650388849328,15.377310761798077,14.68648328108834,19.32752649223856,15.950359186469997,12.62051067732547,12.06875304009771,10.04641413708654,11.629524458780901,10.612673157794884,13.305769326379915,12.956666561960812,14.616208416704845,13.784302899847475,16.00813597381322,11.621611208581587,11.948372845121156,12.365962106829995,12.172765008365031,16.944234638043557,13.400536606459651
[0.0-0.5),16.49469311379725,18.678135592163343,15.999542198791216,16.534207615420936,15.637487061297065,18.78331414357415,13.385523422567038,11.698224703987425,11.80241494265954,10.1475294276721,13.729617311084311,13.086688951365257,13.138932017316508,12.620026004511084,16.347354257487464,13.3908575140038,15.734088352221798,17.50184870868844,12.470560434622302,14.222251732907125,14.847469261682754,12.384174220629054
