"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.1693059930548671,-0.14709613127269341,-0.6979966670257421,-0.6791521415848485,-0.6557380559946046,-0.34157365764811304,-0.3085966410052439,-0.35813807302369266,-0.27344637780709236,-0.1889209917513853,-0.18243599455815773,-0.19093139360317213
[8.0-8.5),,,,,,,,,,-0.24402839635385154,-0.1640857644879002,-0.15407601685024933,-0.7250888855691062,-0.5447710880374538,-0.4760621240198285,-0.2983760115020003,-0.3387818644357819,-0.2765260423720421,-0.26939143376273994,-0.18849238473147256,-0.18057850183626747,-0.19411642146354494
[7.5-8.0),,,,,,,,,,-0.26671066595754683,-0.18389776225440058,-0.1428550531029682,-0.5899274536778703,-0.5626170261166353,-0.3626201500856881,-0.26589227296115825,-0.2734815283982098,-0.23920625148973879,-0.20911870871468619,-0.18323387323037346,-0.17476622875361564,-0.15974133464487
[7.0-7.5),,,,,,,,,,-0.20099977405502145,-0.16885293460735099,-0.12577672042724253,-0.6549497973760036,-0.5729268976845835,-0.451953762051098,-0.2850784795664435,-0.3080017706509151,-0.2183428519337158,-0.22785397232161575,-0.17284178013192933,-0.13636715751169223,-0.17032958731115264
[6.5-7.0),,,,,,,,,,-0.22150007080454615,-0.15809480079040186,-0.11901087003173966,-0.5988766608992478,-0.6517478022615033,-0.36243477935159135,-0.2789186386470383,-0.2485521391547611,-0.20401006985187764,-0.19072910705360716,-0.16442714498243677,-0.1440560677774297,-0.16392080334094355
[6.0-6.5),,,,,,,,,-0.315201748774023,-0.21700420428925712,-0.13984212288715595,-0.11937875769152378,-0.45128193830431007,-0.3743111360498203,-0.36104415640975923,-0.2580826092589125,-0.2662614066495745,-0.22138319922977023,-0.1670095900384615,-0.14498688195227336,-0.14252619108073447,-0.11718146059512764
[5.5-6.0),,,,,,,,,-0.3019794102119701,-0.19038921986081705,-0.14363719148141113,-0.10873036195146481,-0.5183489459287007,-0.3488196031756521,-0.32490053037345074,-0.24727189785226622,-0.20928989174122214,-0.16310935174293942,-0.18820163112184762,-0.1314293415880954,-0.11347641456579857,-0.14143727784162372
[5.0-5.5),,,,,,,,-0.3508389671149323,-0.24245285537218186,-0.16943256128698805,-0.12671304307923797,-0.088497544446614,-0.36136518424577496,-0.3098781074619654,-0.32450549092529746,-0.18882332664225462,-0.1768312064789346,-0.17110030159039102,-0.15068923380394364,-0.10490903461554833,-0.12165437753379803,-0.10106256304600642
[4.5-5.0),,,,,,,,-0.32096381049373474,-0.23999340761679855,-0.17436213084076646,-0.1320574235875039,-0.08901888681819695,-0.29938398265720456,-0.2756491621479107,-0.2626700277081132,-0.18078990105465692,-0.14874850649656404,-0.1447848778679887,-0.13510314542754384,-0.11299028978882783,-0.10112767014618894,-0.0980862204213451
[4.0-4.5),,,,,,,-0.3146774549821697,-0.276936834646873,-0.1999655279835139,-0.16748838685114076,-0.09859804932929714,-0.08820704500715429,-0.2822778864287168,-0.25349772346581134,-0.2213751049330847,-0.1870307818743904,-0.17444884001564023,-0.14287508555757455,-0.12225539810666486,-0.09664260817558379,-0.11033267924381883,-0.08408982002683148
[3.5-4.0),,,,,,-0.3343419054284334,-0.2810774378476871,-0.23033030127646945,-0.2030730964742857,-0.153291048287812,-0.09442098199170851,-0.06946916270553172,-0.28014153149982496,-0.19575701536067552,-0.20096727603722386,-0.15196855752283808,-0.15450961275497765,-0.15004241802373663,-0.11773283264405787,-0.0830469682428651,-0.0806155898228727,-0.07055392587252393
[3.0-3.5),,,,,,-0.34608729807823524,-0.26733517745405727,-0.2699678245108787,-0.1764600188608215,-0.1222143810305534,-0.08150733791735607,-0.05774933625566654,-0.21715092526781044,-0.1821818984764458,-0.17854037627058833,-0.13085514405166315,-0.11765096841026033,-0.10916660026578773,-0.09715007078755722,-0.07031408880377808,-0.06276973355667832,-0.06556557976490551
[2.5-3.0),,,,,,-0.263542880946807,-0.24166526625040968,-0.18652037928591977,-0.16880180489281388,-0.1016877771508236,-0.08030421834957298,-0.057217724631837615,-0.18737099471554752,-0.1575571151608854,-0.13383887530983338,-0.09939980543214309,-0.09569452192610345,-0.08833984736369124,-0.07163706822047637,-0.06619146043570007,-0.06605170202412203,-0.06304760121177057
[2.0-2.5),,,,,-0.30333054918411423,-0.2218261199219322,-0.17004488253274727,-0.15816524937912593,-0.13384838985505235,-0.08148528351790119,-0.06710337184355754,-0.04911508196728131,-0.14747388254698188,-0.12865491061692666,-0.11375315890133361,-0.093339075989822,-0.08031083940182421,-0.06804512873386703,-0.058517765497620604,-0.062134574502882234,-0.05279499539936618,-0.050077793299042675
[1.5-2.0),,,,-0.27959235596077214,-0.24467903417112383,-0.1786027386569467,-0.15086771740470878,-0.1242449428891873,-0.10094269865414267,-0.061963301814233554,-0.0530782733266262,-0.03762273541244629,-0.12435200901166875,-0.10406970775744341,-0.08070913866082995,-0.06713370328897057,-0.06389306777205209,-0.061841044978845995,-0.04932205670018234,-0.05354437132500656,-0.045681040654888615,-0.04631946524637835
[1.0-1.5),,,-0.2882658569370623,-0.20777626287677464,-0.2009941419449403,-0.13429647461420843,-0.10917937254941674,-0.09528777338694285,-0.06801588450395103,-0.047359547758227635,-0.03102109609179462,-0.02613895800648594,-0.09276344125046013,-0.06970924323659518,-0.0702512041080499,-0.05596757719385429,-0.044194454578922855,-0.03832471390637286,-0.041725394381520516,-0.029474823783519115,-0.026972789889818903,-0.023312746051842057
[0.5-1.0),,-0.2726099114612968,-0.196812443355839,-0.12867427375792467,-0.1069586295153369,-0.08689895370877929,-0.06329903230953014,-0.05292982596444602,-0.03844178388380524,-0.026486556855934464,-0.020261798055458604,-0.016786134202610253,-0.04992600002654072,-0.047717928189851794,-0.03706581343495644,-0.028699855250933076,-0.024600140141408697,-0.02402237706375436,-0.02258181936195783,-0.018262226181173607,-0.016640335791043827,-0.016699857439754474
[0.0-0.5),-0.12242179665830294,-0.10730108770031586,-0.08412732683628096,-0.059444190711726276,-0.04380765292822086,-0.03249534525093425,-0.0213905431537104,-0.017495911764048726,-0.014281188287615855,-0.009695794558177331,-0.006986229789584522,-0.005828954216192888,-0.015351921044720622,-0.015103701972865723,-0.01248397897341839,-0.009323684967235246,-0.008592642220261286,-0.009159278643256262,-0.0072054250371901924,-0.006719867721918133,-0.0050048800409928365,-0.00551467134018794
