"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,773.588176763734,274.92908747214875,1123.594631702591,1294.036872011677,1249.6476331927654,687.3332317527068,341.0976263372136,237.74122608266202,547.4701368256342,80.3387165034754,34.1114202492823,59.2813507907221
[8.0-8.5),,,,,,,,,,1888.1611775117865,529.7223071669762,221.1188223373884,1932.9038316072326,1857.0735258986465,658.872808981163,459.83190721496686,115.0471988775012,226.36296824179192,407.06541430105074,20.73453197850433,27.182136862102652,48.72009037347591
[7.5-8.0),,,,,,,,,,1177.5986201735966,580.1073277121599,295.92010491630907,1304.0707074687743,962.8611469591149,1140.3743685017396,551.0945573934354,511.633810626343,154.02640274144568,17.753244988399686,246.72845852851657,56.028269807564584,8.63991594542593
[7.0-7.5),,,,,,,,,,600.956797588186,355.6425984750322,191.36861828690212,790.0514460307613,768.9894984771998,1263.4006541901717,98.94356510698064,427.33988780479626,166.80222080879145,17.27489071492896,10.599801013112184,41.899442827933676,8.689198105963696
[6.5-7.0),,,,,,,,,,568.7908884267938,275.8835554246257,146.54241031164077,424.6727101665182,633.9068030587979,136.64676563818887,63.77766469504132,40.57593558028325,69.50992717828859,15.284412410772545,14.655321060035687,12.268620595789134,9.01293035963601
[6.0-6.5),,,,,,,,,804.0949597295192,425.2996450388076,204.93422265891064,127.07905200686547,129.92060755301534,100.4859560377822,527.8385943940941,33.086235579861835,24.854205597814346,13.942255249489353,18.317907576663366,7.916387301417339,5.167269434599921,5.638611225800562
[5.5-6.0),,,,,,,,,939.2398688552759,321.415496446904,161.94180195499592,120.01134891134923,114.71550620105806,227.79058140162616,51.228554997339685,29.077813557323413,15.635407726356846,11.808714067236249,14.557644797541942,8.68446358296184,5.258848353381082,7.2703335277617605
[5.0-5.5),,,,,,,,1214.5288059815384,540.0661813384972,237.08974945579848,155.91508201584276,94.6783364435699,89.57886620086983,48.04772508376636,34.66635957967038,22.619773088092202,9.871043483176868,22.701457373882082,7.39371142990569,5.219518007401759,3.6454614190367156,3.073448493061466
[4.5-5.0),,,,,,,,974.9495513858864,525.6614110976769,241.3400589524054,127.45198910078187,57.08988175943589,48.419160965337554,42.53552080302983,17.548963330696687,13.470100434702104,8.989794067144146,6.468393010629016,4.7723141930025905,4.740922738720748,4.763704673452189,2.6516048127799134
[4.0-4.5),,,,,,,1137.6975742402044,726.727379334622,391.1042870199177,206.29370344868875,73.72639312901906,44.37192824373407,58.06839635241081,23.181260642249228,15.82418424467026,11.40816991416193,11.291261391774848,5.969573623369734,3.9941898428436184,3.950685734284884,2.6520758494214274,1.5558419707601918
[3.5-4.0),,,,,,1884.0987666498818,796.7254752955062,476.21946606431766,253.8871125414809,146.73576571828022,70.53069577856698,36.20725064464995,37.636640126159385,17.33380555463119,16.6176470257787,9.021935093139502,8.088535210487654,4.6816262855868604,3.3248471065648992,2.063186501697497,2.0138295880024155,1.4919811624377861
[3.0-3.5),,,,,,1586.296753429472,915.962477636045,505.9153223260752,230.42060134557084,103.69116922355235,57.598439062711364,30.50586158760038,25.08967701152685,18.00325889351348,7.566937965362559,8.003343852066058,4.994384277461076,3.1139660341687847,2.03044931299607,1.5637837871834572,1.4932116427229785,1.0680953162741487
[2.5-3.0),,,,,,1027.5303631885074,453.91816357557514,235.31048690020015,169.53987711657615,62.22449500700208,37.89955563898321,19.062684968133897,15.030405865748655,10.817831266591217,7.951625291578924,4.691055185923768,3.7881439654896853,2.7698347506836445,1.4626363256633437,1.299287090311588,1.022509521771362,0.8328428463920597
[2.0-2.5),,,,,1490.6626650365913,628.3186187146792,289.54539039327204,165.79388141824796,86.30177447750546,40.07546026204981,24.193157990269267,10.02259619963972,11.327822678412764,7.348611555097405,4.894505984212883,3.2824997837996213,2.259478843834589,1.7816425715410176,1.0960327479990044,1.0863473484209867,0.7648233584570032,0.565459390412941
