"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,243.17273446847403,191.3402594924467,49.69255328006994,40.13073510046295,32.82776213718546,34.76986904862194,27.198944368518465,22.877904496979692,19.612876176816243,20.122994345995636,17.600373133524062,15.22786485478273
[8.0-8.5),,,,,,,,,,278.4135249759245,230.95554156415997,180.1063909100969,46.51407871949934,37.45108327566428,29.209951137583346,30.88257250148758,24.768706921363272,21.009319793868762,18.27289471663786,18.036879770289186,16.018745873618354,14.291473574006282
[7.5-8.0),,,,,,,,,,263.2551725153948,216.87596165353375,169.8463556508176,42.93257838802137,33.89481820445785,26.72520094841233,28.55047902730511,23.664632199269068,19.810407997124102,16.384792733845774,17.398061897819282,15.276709504031883,13.438944827511738
[7.0-7.5),,,,,,,,,,244.3085077059148,201.62122737237766,159.56885728352964,39.457820518944615,30.913455730291037,24.69459295142503,25.703435973683586,22.03324111912987,18.404541244094084,15.349581931605192,15.90797700465856,14.241198563531901,12.440967539194723
[6.5-7.0),,,,,,,,,,227.87340039959733,188.3252977898242,147.96795342766367,35.922899874721374,28.102708139273243,22.776718984809868,23.555080173779736,19.80256747998814,16.846643011629997,14.431252209873351,14.904993909806338,13.165387889185602,11.75442877097272
[6.0-6.5),,,,,,,,,254.85620014771192,211.92615762060117,174.73847462129794,136.63537744676782,32.33829916988412,25.785076866914896,20.864276377329144,22.11111839211312,18.232932603011022,15.39173099404719,13.270790243278876,13.687912687129785,12.357907317539988,10.700799803982731
[5.5-6.0),,,,,,,,,233.52222292689794,194.04953375050323,160.99319051774648,125.9927928593668,29.86418225892844,23.560861116347215,18.902283744392705,20.24748399583494,16.75906345965225,14.251566076541113,12.250908014070614,12.769426808890028,11.1953886560101,9.85354298783096
[5.0-5.5),,,,,,,,264.47621977224736,214.8676691492946,178.65552765056188,146.821723923258,115.00690235452777,26.95848307818882,21.28705993693442,17.12006210024317,18.295189288113853,15.383460850823592,13.002239163039595,11.055788503543155,11.588557400673164,10.286927103672921,8.94439541200031
[4.5-5.0),,,,,,,,240.4203439006351,194.61060868637415,161.07083325249678,132.619767878939,104.45964989893123,24.49726003681866,19.20059841313317,15.591013086437975,16.591253478112538,13.91066201974567,11.74427258658028,10.073966153962488,10.383037071492295,9.19627101038243,8.274924382109793
[4.0-4.5),,,,,,,295.89323578315657,216.38446517407692,174.78744396269752,144.31629915611757,119.40335738245145,93.70445670566703,21.840031095724598,17.29961664060065,13.938502633877759,14.80629471234292,12.429456759824918,10.453137091670687,9.18208314842349,9.448114509891745,8.180792558475494,7.372312580396802
[3.5-4.0),,,,,,352.4622450551445,262.07888641750696,192.40093774333917,154.2196934466394,128.03507420563886,105.55201611290313,82.54512745415505,19.301793292850096,15.300649148180105,12.2394737034167,13.220302016154443,11.073330079615666,9.324342973297687,8.05618701306537,8.363337182455195,7.328535165131421,6.4379762017595565
[3.0-3.5),,,,,,305.58742878307214,227.40316647795163,167.0170304648151,134.4609968958667,111.03659147982707,91.5810801033241,71.81659456377926,16.779637524251594,13.178884147339891,10.603857647716929,11.531589648842228,9.547817306439855,8.135272404165809,6.920317802430452,7.211780222699203,6.325799561104052,5.664137215681307
[2.5-3.0),,,,,,260.7025076198166,194.552467807582,142.35713157138193,114.33872268009112,93.79963136958783,77.43356191354056,60.66956500542864,14.134594968952946,11.22824963245116,8.969124321646868,9.6872585463875,8.109502631282641,6.81071951165053,5.93588392678899,6.171563781108303,5.406042076458891,4.73069048570455
[2.0-2.5),,,,,301.5912954576876,215.87847759673943,159.7647976452621,116.99141601597977,93.95683612384524,77.46971845159185,63.341599779137944,50.13926044829569,11.596135929840512,9.249456813989614,7.355731165041185,7.921555755749102,6.614222886719514,5.567919834468433,4.837928207239627,5.026148600160857,4.433812952168757,3.955727970513252
[1.5-2.0),,,,351.21856877250445,233.62978602612196,168.44215309817494,125.24442875956537,91.15471135017344,73.27040804813464,60.28417023107193,49.233723513023165,38.63466939802287,9.031778454647126,7.12719287378018,5.763314997955149,6.1663069590216475,5.1661209495058085,4.423357908264382,3.761924720614612,3.8705310317836212,3.4211497387501146,3.0450354942134203
[1.0-1.5),,,384.8804835501341,252.43057507704324,169.38222124504918,121.72364741446434,89.56597835526503,65.56604734940983,52.59372091070151,43.12611950542095,35.3143054548645,27.69605633705003,6.437296847433205,5.109635651408473,4.098216295470789,4.409830552345452,3.6843313639065896,3.114363413513707,2.6895193418350125,2.781370065986778,2.4627148391015314,2.193585580782661
[0.5-1.0),,350.62370677105827,236.0975679064853,155.67477003569633,101.82166432684949,73.15802698565678,53.891698995630875,39.64023280576077,31.67241265047446,25.88564520767471,21.282350731673848,16.56825444196913,3.886612581183308,3.058717143969313,2.452085072110556,2.646703714373883,2.2237280453008563,1.8694239385879106,1.6141114112254484,1.6713878157622275,1.4616018299613451,1.3133152097966385
[0.0-0.5),112.45698326099028,119.54635791739315,80.0829082065379,52.19083378135447,34.517749521373226,24.704666836668757,18.043556129874776,13.231842524102245,10.589161934792372,8.648010063313741,7.032364362554267,5.55016888246174,1.2977828205417388,1.0241170996038458,0.8217458195776591,0.8858141604471933,0.7368906460909252,0.625538244879309,0.5378617939109704,0.5626704498161198,0.48582569180783364,0.43424962258116373
