"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1516.385230340322,953.9968986670887,549.7346735339917,589.9587244969238,579.7517762207871,548.6388185462641,386.493513996638,322.6674155807797,489.64697831036125,220.81052967624146,143.8822550688665,189.67774612863323
[8.0-8.5),,,,,,,,,,2082.3687972270905,1254.8122936669458,855.5580341546254,721.0301511352235,706.7451743369752,420.96801049949033,448.74788335415053,224.46099620817816,314.85134405099143,422.2162692116587,112.17716327028485,128.43965559788643,171.95364156466968
[7.5-8.0),,,,,,,,,,1644.510912551851,1313.1332843135178,989.7462243870756,592.2415489930357,508.8972847476061,553.8243240169952,491.26511133717315,473.35010717644315,259.7170419711023,88.17424194851762,386.9607870226241,184.4000101553158,72.41225859248827
[7.0-7.5),,,,,,,,,,1174.78864892097,1028.1619352623093,795.9246922343631,460.9735305079494,454.78748686733775,582.9332812915699,208.1596930789249,432.6030503152982,270.2736929721714,86.97822004022295,80.20587686584948,159.46356126537376,72.61848502796845
[6.5-7.0),,,,,,,,,,1142.9163116739996,905.5606470218198,696.4954486550185,337.96792029456867,412.9153317177006,191.71141854161166,167.1233636473188,133.3021434328016,174.47221645869334,81.8139263115439,94.30940470465178,86.28895371944293,73.9588828755065
[6.0-6.5),,,,,,,,,1199.6052283112951,988.2927871279461,780.480179191169,648.5950065375818,186.93358021182556,164.39968716879176,376.78957066401153,120.37229487979843,104.32846193008889,78.13927478823658,89.56550795148627,69.31398239419617,55.99998215792776,58.49832227894554
[5.5-6.0),,,,,,,,,1296.5012492990884,859.1549991298348,693.7997159202769,630.300680723358,175.6545344162064,247.52335556347586,117.38277042389106,112.84536752412757,82.74799260503647,71.91246322700867,79.84512787778658,72.5986983497183,56.49404332942668,66.42544954972453
[5.0-5.5),,,,,,,,1402.9876235245922,983.1237129060651,737.8948928459555,680.7673173241694,559.8374240174002,155.22121659622843,113.68017078376867,96.56114816644263,99.52839106623537,65.74827970382144,99.70793705623655,56.902861924209006,56.282390499641814,47.03634727162352,43.188717187950274
[4.5-5.0),,,,,,,,1257.0165680077935,969.9240502788302,744.4796360483587,615.4998378242145,434.7265747453872,114.11873059859902,106.96068602023067,68.70273647600096,76.80478512407771,62.74479911204914,53.22320962311283,45.7159107031499,53.64000057904715,53.768726409970824,40.115456091278055
[4.0-4.5),,,,,,,1426.9149758768415,1085.2647353609996,836.6252507654813,688.3052813496968,468.12962718937536,383.25759372995,124.97358224962424,78.96176137188046,65.23925122417195,70.68232913581737,70.31922768286915,51.12984991473471,41.823195595231994,48.96588147969196,40.1190190299405,30.728409120584935
[3.5-4.0),,,,,,1836.2698884078584,1194.0954182377723,878.5237402837614,674.0700142930733,580.5051901172081,457.8716118841565,346.2058417944942,100.61291357852684,68.28027516613324,66.85487287867083,62.8568641309355,59.51655729441242,45.27945938622422,38.15827214215776,35.38560121637045,34.95978021553779,30.09116519380503
[3.0-3.5),,,,,,1684.9107364362842,1280.3347163294063,905.5008168340255,642.1630797770902,487.9878415065555,413.77094476440914,317.7812472717257,82.14778119233935,69.58631934744297,45.113693971865914,59.202302763123285,46.767465969763144,36.92834096852591,29.819402544403456,30.806736082937338,30.103571166273795,25.46023103507671
[2.5-3.0),,,,,,1356.0696992752753,901.3084873091999,617.547789140839,550.8338388407882,378.023506269045,335.63843929711817,251.20521607675144,63.581922651245364,53.940926781514165,46.24622156954186,45.32503337436505,40.73015842808026,34.828100690580044,25.308770005075495,28.080827174600667,24.91099160748397,22.48220299711434
[2.0-2.5),,,,,1633.3316101780633,1060.4120264815067,719.8516552498093,518.3632206334053,393.00180289937134,303.37331352713215,268.16427149977915,182.14897608403547,55.19776884909313,44.458105086955186,36.28296203019875,37.9144896577654,31.456253869022436,27.932715128205494,21.908600027345077,25.67684676379398,21.544573769876013,18.524992690461364
[1.5-2.0),,,,1869.7299251329114,1217.3601731549086,772.6708802194086,633.8313585680621,445.03090837672346,325.82936293164437,247.11873280223253,208.35607824398377,151.62326757593,39.13200193216869,33.43089718139928,25.939135545257244,25.87504268982087,22.85164988867874,20.642328870858645,16.31928699008328,18.458470447527674,17.866436805775997,14.503500912140874
[1.0-1.5),,,1920.7207555929037,1277.4552065161172,983.3109238248493,570.9779264156224,409.5051648060524,304.27389749985446,210.5755694634607,177.6427066092756,142.93248973454774,116.5722827931595,29.800089203164042,24.37051919199162,18.87605030297269,18.429129577888872,15.80615729473359,13.877365757904297,12.630071038204713,11.384430757178862,12.182971041144686,10.687319018355977
[0.5-1.0),,1740.659712005975,1151.6220319898284,726.4783825280738,559.4967013459635,343.07234621397555,238.64896553586254,170.30025162665353,123.5483432122485,108.67448272818663,85.02041208794319,74.6667121940804,15.925019956590784,13.198080578844761,10.833973494744265,11.788810474963833,9.253415295309853,7.8397367846216275,6.995560391510608,7.201050953577963,7.28641147616902,5.753043287238083
[0.0-0.5),568.8011856034301,645.2683443273397,402.2712091157896,265.3759884282448,170.4872954117367,133.21361346372584,82.57292944519504,56.24138198158311,44.89856875154982,33.88955254405033,32.1877132029354,24.627490701980197,5.555625851825646,4.022822603841291,3.8511953596330426,3.6923032099969233,3.4814942325255576,3.034443747136573,2.26266310624661,2.5015454585815307,2.3433211133078715,1.768962756226578
