"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2025604.5544072755,3333519.7494738675,2091013.3158591972,3098172.7984261503,1710085.3036747302,1545194.440004998,1002230.1457287286,1335718.9705476554,1255705.6832583454,874341.7909410002,759502.2566014342,775364.9334819188
[8.0-8.5),,,,,,,,,,2587876.8937100084,1753327.172461271,1461622.8301222816,1189525.6166182205,1943844.723316954,1367371.3643208588,1004151.7095515958,1122862.6654825886,1385944.0740637842,904876.4860004947,814376.2193490178,835852.5108800983,934255.9710276298
[7.5-8.0),,,,,,,,,,1937591.1568479529,1885872.4848933837,1335923.3922081017,1440405.192923215,1134706.0270719985,1836540.4086854425,1089297.9519411374,924621.6377790635,961659.0782937419,759345.1035964702,783344.8625252801,690730.5609581029,804736.0278395833
[7.0-7.5),,,,,,,,,,1252097.6396653072,1360476.134559664,1255873.436519719,1547526.0172461579,1282959.9846451064,1601427.945508228,1010604.3542487673,1073983.2954070969,821152.0678856126,891046.2006795561,948847.7597039891,943229.5032658583,629913.3124393165
[6.5-7.0),,,,,,,,,,1421616.9856202381,1878020.4008700596,1432405.7465449348,1251748.2468008818,1148202.0206940807,1157381.6648549612,820161.5026536316,782029.6644769029,890170.4704045835,822403.2938639721,832391.9032571954,606812.4947705008,780725.1244251734
[6.0-6.5),,,,,,,,,1195761.0925409351,903806.294431115,1180799.3439010999,1087848.512440936,722305.144835251,898277.4268410624,1191272.9246049891,644623.1730826303,881302.5409202866,941253.7818752957,957296.4576977096,559095.3650754679,606741.2167532922,796485.3891212833
[5.5-6.0),,,,,,,,,1105606.6399943663,888725.0992089087,1385214.0876812802,1043521.7410039235,550116.1560707055,1058607.5494704517,929089.5335818274,631975.6168455924,671959.5950363036,679762.4209997108,755231.4621232358,621908.8297743449,609877.9566319067,610686.2015279679
[5.0-5.5),,,,,,,,479375.89843370207,698507.856693962,506456.6906081111,1011343.0431695271,570850.9506323137,1007884.6989507308,526879.4437451669,522978.6782772335,617339.5248210604,471297.29211896757,534226.9111198493,470949.4100600941,484201.37952269876,553212.4993213594,480640.79008353024
[4.5-5.0),,,,,,,,451250.1578752965,569386.9607655389,527251.2588958809,503811.6574999256,492209.5745024543,494028.186330942,466308.8069362605,482015.83487377415,479578.6526151763,502093.9302884584,497021.1647055365,482812.15425476147,502531.52121476264,503259.2167921808,520964.7230356082
[4.0-4.5),,,,,,,408391.6922989157,440798.14445221634,444263.0074049313,458839.82584494137,464576.4765732317,442013.05434285215,461185.47347066796,453769.7010706015,467920.52178291045,486681.73362234555,441254.6295686826,467715.12773994287,450693.54064797756,474921.6123872688,476898.78181809804,428658.61864827026
[3.5-4.0),,,,,,369704.24861913,421546.35668570537,387650.45859732386,414904.14401478774,461224.73150354234,431589.606751791,452591.1053702221,493804.7909764699,419502.8410518995,432661.8414225223,453346.22226746153,421284.22602068196,434626.2411578223,423821.15969078953,409277.2484206528,488054.495392864,395286.77092264383
[3.0-3.5),,,,,,319091.2514741489,336628.9958604002,392512.7063359523,411348.2934313619,406520.10175262793,418657.8225497301,457204.24005805113,412100.892081716,385837.23748199636,381300.7272848688,408192.8748375463,409070.43069244194,366677.51745147136,372972.68119170575,411887.93299992126,391515.0748011583,397625.9519312652
[2.5-3.0),,,,,,300648.725903052,310474.4854789996,344741.4519552529,393088.5752506739,384632.0724967513,374822.29785179347,359670.09095999296,367738.56921648135,391038.69877683336,355806.2396283577,361822.0582034082,391667.73263505433,393223.9463411592,361272.283379108,369164.41430352355,329303.871189729,354181.30546610156
[2.0-2.5),,,,,264943.24856436456,269647.0236263804,286705.0968964898,299185.909244087,341415.55517861835,372983.4952204083,355781.631469624,337969.02021352283,327785.3764331664,365548.6998857092,333139.75896131614,346415.67781989696,363858.23155707406,339016.1411724332,333679.7704555634,314163.1175330874,334713.0267917432,300324.80300456187
[1.5-2.0),,,,235043.07306234262,242691.7392002201,244250.2778670748,249764.10746014825,273118.6991898307,292895.5172732056,304143.88266968663,302358.247394314,298874.6938099456,308383.67483637773,322205.6654861515,302729.167746533,304834.05508584133,291086.0507763783,275350.57221563155,297351.58602002217,285617.1577470519,279141.80743646674,275447.14005663444
[1.0-1.5),,,193395.88945389967,202505.32565776666,219980.7660900884,226632.81581068243,233286.60843424633,244173.4737001768,246844.8346004427,267319.47450311633,265992.542897599,271073.64771126973,259364.07431960994,276678.4828715497,260054.14194851418,273605.1608376649,268000.85673060606,256383.58986228195,244025.5918691897,244035.3852068187,249008.45425481087,233870.9001170833
[0.5-1.0),,170459.95329126445,181964.50204811565,188302.92505167908,192285.96332253236,198672.25740899122,207937.29576129123,204297.10678449224,216045.69160021227,212240.5929593537,221035.05293776168,231297.59998326987,223449.87634228455,223503.62924693638,220620.59676706046,222274.89736278582,216229.0860883061,206990.22780514168,213516.19394397552,202260.82969506845,210274.48382679254,215298.8593165654
[0.0-0.5),161783.5874734688,164655.44599401279,167883.94999086246,169858.48096507002,171247.17011588623,172065.30979341394,174754.89089558704,175655.02731391488,176499.07646428092,176808.6693560451,176583.14887326726,176108.88064616013,179157.1452370205,178373.98753040814,178238.18723219735,175846.3903308378,176770.7535036237,177891.1452461944,176969.95279962564,174407.99538208294,179919.5400695007,176904.87423506667
