"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,12.823672997022973,16.003973028769057,14.489677834876746,21.212844972706268,16.172280379103718,21.391230630108076,14.049444824194453,16.608793303361544,21.820789620345842,18.25577013129534,14.448565273399392,16.473310369716376
[8.0-8.5),,,,,,,,,,13.549473714210247,12.43431144567997,13.78376619954056,14.256773454901099,15.395021977244076,14.702599921597262,14.415744360979495,14.277272153638407,18.42392276877827,18.79273860864497,15.726337037750866,12.260335934825813,21.081387507149486
[7.5-8.0),,,,,,,,,,15.204103411343729,12.474088214187816,10.443698639093062,14.671107684331506,13.75399050713398,17.46118948367013,16.112379811134296,17.620325273334252,18.472311930667367,14.793824056274891,14.715021653175473,12.46057936361836,15.652753936102535
[7.0-7.5),,,,,,,,,,9.790250519749277,12.793259640413595,12.770424037825784,14.33314254157155,12.726719652074792,15.448181501376327,11.974495061589773,16.44783293101441,19.037290954187874,14.148657836970612,12.26948195593825,11.983250054994098,15.013206592929754
[6.5-7.0),,,,,,,,,,12.138374306002815,13.755058134845422,11.544873168157842,11.30986730051867,14.708519177220008,12.710252676558468,11.123958997257061,14.131059771125148,13.973947842670174,13.117331546682534,14.95043757665107,12.728544685984593,16.010562892439925
[6.0-6.5),,,,,,,,,10.31697838788162,5.680768640256912,12.40692093165269,11.435589964252234,10.761729827545098,11.361224538572076,17.304770357688597,11.503868063794572,11.782368844087724,12.152002643895347,16.027957561544,9.828742326186255,12.754556943192712,10.664714272469688
[5.5-6.0),,,,,,,,,10.543162823338038,7.868923697211688,13.198024759038045,10.457679270426935,5.316391406402535,12.4570420089621,12.032238283999373,8.525944360160592,8.420886864249175,13.02683319337128,12.946639147991638,13.505240824616351,13.655301922224227,13.234795122858477
[5.0-5.5),,,,,,,,5.230107088946477,4.895320625986486,4.914234384959047,11.360232895384309,5.1217928144597185,11.146120286648287,4.690806366417241,4.810419931208011,7.19720997276914,4.715856847086425,5.113488973944649,4.891032918011262,4.521550001199055,10.616550640595735,5.080744237308952
[4.5-5.0),,,,,,,,4.489614849963414,5.416822409012159,5.253021451439958,4.838681863367175,4.540782316464805,4.8014754984432875,4.6451565026261825,5.215055612389647,4.916453808690031,4.221945139372996,4.427865031018632,6.357242747716612,4.550042803431769,4.8524104545758195,10.814763883171931
[4.0-4.5),,,,,,,4.699098567427918,5.118328904437192,4.7483985694900435,5.151806068907869,5.3779389859519,4.225950507469732,4.570237470866168,4.501791371079272,5.346718149449423,5.072296885735723,4.367974920831665,4.96837344052883,4.847585658885739,4.5306856488354725,3.90354485499087,4.535626900421979
[3.5-4.0),,,,,,5.16623398878952,5.383561890179619,4.378961776036942,4.603207005352175,4.597815766911761,4.253600119733711,4.479199430440674,4.782375114825091,4.785463110589806,4.030289760866597,4.195628518014032,4.731990278801634,4.891900280651517,4.822251543428437,3.9430391563618037,4.319029574974924,4.4709509323185515
[3.0-3.5),,,,,,4.442983530913541,4.829247452451583,4.778202030420128,4.924224527175217,4.408085908695435,3.943081213524903,4.107183148946062,3.7864736795936844,4.115218326989412,4.395676965694275,4.155600747459577,3.880564259526374,4.532381145901,4.322611803778567,4.434400774999817,5.336344844176999,4.115230732643764
[2.5-3.0),,,,,,5.348750485442558,5.111148904102997,4.888403078167185,4.709861517115282,4.24368966365615,4.032043666365257,3.9665885203372304,4.228606778266361,4.6329097316833385,4.544244149360322,4.465650312278858,4.097078912793902,4.080596692640768,4.224455951930304,4.547221412039327,4.484150020823412,4.793577266113911
[2.0-2.5),,,,,4.4819514309321455,4.7900150798666505,5.001316048802659,4.869201366603665,5.208536573417188,4.1510176649548285,5.19713613357657,4.387450345995298,4.1465672527720185,3.860878808308172,4.036358395076805,4.142229548853373,4.724593292094706,4.704169645800725,4.525330662923006,4.434860122764768,4.77947853622269,4.145424771418128
[1.5-2.0),,,,5.080427780986519,5.191297460990466,4.789075556648858,4.581126755059735,5.550945152175494,5.683354176612145,4.172961789162086,4.028635792619172,3.988504322618858,4.197529032509535,4.0192654357093325,5.0527826779509555,4.083491362475319,3.8684969589448692,4.388086247622112,4.349946552323347,4.439508283000531,4.468752618890564,4.6901508419782765
[1.0-1.5),,,4.798556848053205,4.7926744335951605,4.849925638460161,5.2191928377970385,5.0535445445762965,4.912462957996553,4.8840862796336175,5.064295111263381,4.7312140441709625,3.8201162057187217,4.621245134151667,4.084237776160531,4.32300133205739,4.264847402660963,4.395029599521303,4.659226589676851,4.0298455263446185,4.115483469509173,4.140964877200025,4.200814426693657
[0.5-1.0),,5.459590110409967,5.417419607966483,5.478413923973999,5.131012918221714,5.6778689185197475,5.738319962280124,4.601834515007689,4.994649754861299,4.1536434748091455,4.516006253360109,5.042267062081188,3.985417873063867,4.807727129290469,4.661335015266487,4.861074400356887,4.359733552222835,4.076010828587481,3.980867692433715,4.1087741974823775,4.75559976141946,4.782123309540995
[0.0-0.5),5.407047942004436,4.940163999274227,5.167926022865848,4.805438204184109,5.7713563437369055,5.169549971095873,5.009481284155901,5.41203783880821,4.821146530782462,4.619278141561739,4.654468938469245,5.164106758502373,5.389949927139675,4.848748123637498,5.09023478879335,4.408302502736446,4.744220094037384,4.764994057318212,4.264373629439646,5.0558495612010255,4.613943884666744,5.184917147714438
