"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,197.59234996447213,179.75375996792943,128.46277967619253,203.98288227158383,210.3751706024084,203.6813818330504,141.16219851309816,216.2962938226528,247.75553511538038,247.63998278486503,209.93266660748802,140.70544891759803
[8.0-8.5),,,,,,,,,,170.32686399091568,179.28682250890284,141.16202945830796,109.68432265892113,153.60856986568893,153.77607824589867,103.45005817028247,134.78271246630817,153.66754356105344,122.06991693217057,97.00908581630131,134.24942089971742,140.49200929508046
[7.5-8.0),,,,,,,,,,65.76427857081094,121.9518080470297,90.8636910628453,97.11357712048888,72.14448018471084,59.491632557404635,115.83928201995926,103.32631620271172,116.21817078089155,65.68738029500477,109.02486058084327,115.70817070974273,90.89718753628443
[7.0-7.5),,,,,,,,,,59.62685609784036,15.613463139662548,59.523043345434814,71.83291547368498,78.41875916684677,59.443219037714265,90.7547622475977,59.370877528867524,53.04313226939796,53.1129365980195,47.02632156530297,40.69213113540989,65.44912150527922
[6.5-7.0),,,,,,,,,,17.18922652511317,28.087667485653725,53.20244908183416,53.182714398493786,46.757558733391804,59.94181848736508,46.886655455242064,53.07188623780239,34.35031945250706,31.82474888285533,28.77107584025428,15.333615854727148,90.62984692803236
[6.0-6.5),,,,,,,,,9.363971412115362,9.487574865607055,21.844239527347113,28.20389073624074,21.67528588145488,15.666197680681357,21.763842755656288,22.691067952490723,9.127707228847816,46.61652347239116,34.34055863519174,15.215220591068933,34.86989387808454,8.963999551745113
[5.5-6.0),,,,,,,,,15.446836869154307,9.307777008222374,15.562377471755354,9.20019232242554,2.9797971736550855,9.45290783149527,15.489673845785543,9.121079747362266,8.97348989870398,15.330898202842254,15.27443811024357,24.894941107424938,15.531247373729485,15.052889492709644
[5.0-5.5),,,,,,,,2.7995318860472245,9.105290425114452,3.1056693783497993,9.220744324683222,9.220535945820025,9.177189388367937,2.936001465503254,2.946800028004458,9.07803582637018,2.809263322154137,2.7790141268707202,2.7692475077270324,2.638650846051433,8.88818339661712,2.64325057052496
[4.5-5.0),,,,,,,,2.6447554522199908,9.155377737099592,3.0119712060835337,2.943694667924012,2.946789383333283,2.8887173652460447,2.8951494674444826,2.8866292730354575,2.780966633294339,2.7342140513969966,2.737366461395874,2.732497759214727,2.5634932104321293,2.5453999518947334,8.886994259475008
[4.0-4.5),,,,,,,2.373957200764405,2.623053123340932,2.828412813879339,2.9572767206986255,2.9691283381358495,2.8467918081177217,2.8307995926145044,2.798738955953137,2.8709283286229312,2.778241770031661,2.7020169656224766,2.6879764256608585,2.6473961643078434,2.5696122219748574,2.4299907244059185,2.431841139362212
[3.5-4.0),,,,,,1.8760499255911158,2.3644753744407194,2.350957877403053,2.716305683718078,2.8866671071198393,2.7919041477344564,2.733134078463058,2.802216485875135,2.8235842491656116,2.6767176045655727,2.621261994383511,2.639778749011996,2.6710197749271316,2.5235550183891835,2.4040437072244023,2.3960671628188175,2.356404337309262
[3.0-3.5),,,,,,1.598709904197459,1.9720735647271304,2.3025673943559166,2.618176941432207,2.7975815524030336,2.6682813106733754,2.7254683572637504,2.5895562492411663,2.6999813668530073,2.6278072252045943,2.504920618849261,2.54084588644226,2.4674493098065975,2.4267697155665395,2.2947163590912982,2.445314188644337,2.220097369130249
[2.5-3.0),,,,,,1.3907955298568906,1.8153674796566759,2.1914775132670226,2.5810396996571345,2.7119701033780768,2.645101315002088,2.55246511520906,2.563212289476101,2.634319990965845,2.5422790489811278,2.403649365642972,2.4091282416917528,2.293744585829199,2.3460714214415903,2.266306568010762,2.081234983856911,2.1634620419459334
[2.0-2.5),,,,,0.9837511652451971,1.1396209615018549,1.5125026142344433,1.799578976685128,2.479233978017212,2.5549348431857277,2.662101597062536,2.4166743189111504,2.326909819879034,2.4620852170988616,2.3219306510797826,2.2429647616239743,2.338122649268989,2.1564882189150074,2.27252752118844,2.03030889709807,2.0492983461882757,1.857655988671603
[1.5-2.0),,,,0.6516890234913908,0.8370900703625374,0.9122744919414598,1.1696280130064145,1.5478485279400194,2.104608191742802,2.365731050216907,2.234603423867289,2.1925607118587447,2.2154919554524786,2.281517973337665,2.288202292625496,1.9485778376623668,1.8752045392747463,2.0353097153691753,1.957330796917414,1.8244293151058266,1.6574496880045575,1.7155332019318539
[1.0-1.5),,,0.3107084589181758,0.4115122866226666,0.5666183180181878,0.7361457685300846,0.9622533134123068,1.1971341660490311,1.5571903277842525,1.834818942046094,1.8671941964221204,1.8670349348250195,2.008638300285555,1.8071682400168059,1.779975662258086,1.7410452576474604,1.673119951694561,1.532907991482778,1.4058499480256255,1.3025019379606575,1.3470114825982922,1.2510535216351515
[0.5-1.0),,0.13188597520023773,0.2069130438610582,0.2793259779810894,0.3530988236321508,0.46898664721109545,0.6206663759191182,0.6983442174302248,1.111948572382368,1.1765071364166104,1.2818070751723716,1.542242222160188,1.2212485063522234,1.4372702569863742,1.3084830524706395,1.1642394047114175,1.075038887707973,1.02465522885915,1.0180511880834058,0.9562199750562805,0.8688397400943952,0.9738376269645028
