"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-196.1604279358367,-178.4004547717361,-127.11375794863395,-202.55124002142628,-208.9376812924858,-202.63468264259083,-139.96171043654897,-215.15093999917116,-246.45558007419567,-246.39061581302698,-208.73232254085434,-139.6001991896862
[8.0-8.5),,,,,,,,,,-168.94370255974374,-177.91481841742743,-139.89000770987343,-108.38873330449091,-152.24324475150883,-152.40004622361286,-102.16357958200588,-133.49140505413757,-152.36452948130858,-120.83674721023127,-95.76266089956607,-133.05285074622472,-139.36812307088562
[7.5-8.0),,,,,,,,,,-64.35059631111854,-120.589633682432,-89.60634193017496,-95.86274101765945,-70.78733172566665,-58.163688023603946,-114.63643698016674,-102.05858163148439,-114.90370191671705,-64.48413011519341,-107.77640760084414,-114.48416359602807,-89.82181722241044
[7.0-7.5),,,,,,,,,,-58.24505491868328,-14.294197636846187,-58.153878910946176,-70.70704770895668,-77.04036984291295,-58.049994094461546,-89.43314227823161,-58.038812923243555,-51.78612386580416,-51.78430947941033,-45.91735153743132,-39.506966248024725,-64.26091896614693
[6.5-7.0),,,,,,,,,,-15.753059819073634,-26.702529898400638,-51.810306481139264,-51.84049088865169,-45.516800363807675,-58.59155166929896,-45.58557352536988,-51.798442073380244,-33.112368603955346,-30.578573647953764,-27.57943701767304,-14.094259683702784,-89.5578155542692
[6.0-6.5),,,,,,,,,-8.033357849245334,-8.078166703924976,-20.49401218236938,-26.871868007535376,-20.348461851485414,-14.244222652880046,-20.389562386666807,-21.41872849548331,-7.833641088922774,-45.437221230197316,-33.090419302046826,-14.11818517148518,-33.716365421614235,-7.789145303160222
[5.5-6.0),,,,,,,,,-14.122426361776332,-7.940709446018992,-14.16407963757406,-7.85885107351181,-1.6207104083607622,-8.056267096298038,-14.140827371200185,-7.82226257973199,-7.661699058444518,-14.050362079027924,-14.05558175733562,-23.729746558917153,-14.342397117620513,-13.910451317710901
[5.0-5.5),,,,,,,,-1.5795599008066226,-7.802934493656299,-1.7166685327486841,-7.873534622275965,-7.901781672924537,-7.87973001776996,-1.5852843108435455,-1.59089797448939,-7.785615011807178,-1.5240980920551084,-1.5241827096320688,-1.5079665486062057,-1.434245898990827,-7.719766836007642,-1.481019730732063
[4.5-5.0),,,,,,,,-1.457100340892126,-7.883623654252277,-1.6169051622462618,-1.5999066794193109,-1.5873590093333563,-1.5924058862064336,-1.5668093581971636,-1.5764341906126074,-1.5270090165176977,-1.462909739087276,-1.5001397015635745,-1.5208759128842324,-1.3810608574175487,-1.376838532082772,-7.721535072190991
[4.0-4.5),,,,,,,-1.336078407187736,-1.493584289966707,-1.567896747363418,-1.6385646500884783,-1.6461143198139776,-1.5453269874815412,-1.5516260050105433,-1.51422758554654,-1.5764690987991132,-1.537540473002371,-1.4800733504681851,-1.4406889545181838,-1.4387357618975045,-1.3962886012541307,-1.340076437304266,-1.3279456683991329
[3.5-4.0),,,,,,-0.9195769099318876,-1.2797984297511658,-1.3296775944712276,-1.5214169331955694,-1.565898187358122,-1.515804250505528,-1.4420225972194556,-1.5397766151339214,-1.5298426966746017,-1.4618991047981083,-1.4417808448929954,-1.4125631221278379,-1.429872717185073,-1.404969445326428,-1.314464650723102,-1.2741203495247007,-1.2519675638078245
[3.0-3.5),,,,,,-0.8369820825236716,-1.0645176092407433,-1.2630435969541984,-1.448192500674121,-1.508087328531316,-1.4630380024564271,-1.4657996812590792,-1.4158616553803838,-1.4500205190834712,-1.3964792084978024,-1.3817249417165818,-1.3576034152637941,-1.3395726855688868,-1.3365916276756091,-1.280737083972515,-1.3559917933536934,-1.2140031823573474
[2.5-3.0),,,,,,-0.7096644205014118,-1.010669288488806,-1.2399209907417061,-1.4376339826469946,-1.427746370133235,-1.4332959954868814,-1.4092133008720735,-1.3908344999658202,-1.4348083445466313,-1.4001048620342185,-1.3003357871637438,-1.283840886881043,-1.2554903955970587,-1.2686283854594473,-1.2602750599446284,-1.1251483302613663,-1.1809385110158832
[2.0-2.5),,,,,-0.5016274680849544,-0.5612390477842389,-0.8176235189910689,-0.9695598642283066,-1.41890871140658,-1.3722351634339194,-1.4703890273638691,-1.3066502734768037,-1.2413671037080505,-1.3114546869239532,-1.2714094056845948,-1.1879982946773575,-1.2291148469562274,-1.2111559449722002,-1.2958588395896231,-1.137187168835115,-1.1171640690641005,-1.032792194934255
[1.5-2.0),,,,-0.31330150076328483,-0.43215912927032324,-0.47485547946318385,-0.6329875912002535,-0.8289172025971041,-1.2575020630513103,-1.3148776230776307,-1.2466689197510823,-1.1982787886519506,-1.2166948871631376,-1.2473957211726197,-1.2935898007639395,-0.995830147672962,-1.0420198215511722,-1.147535147698688,-1.0430514952528513,-1.0266100967572034,-0.8972435698724031,-0.9177490059817184
[1.0-1.5),,,-0.1521234214758377,-0.21157369595605457,-0.26419543043786675,-0.3820837310665917,-0.5244722502338549,-0.6272172594894093,-0.8496173192545077,-0.9429493633477668,-1.0028781514753475,-1.0270600614983918,-1.1304634036851646,-0.9655852192735246,-0.9280096293563665,-0.9295640584101723,-0.9018356302824293,-0.8236014316828608,-0.7487685987749685,-0.7133296773584291,-0.7134211263842622,-0.6598310758666363
[0.5-1.0),,-0.06578896521582442,-0.10570235338422959,-0.1554393393913985,-0.18885517272238042,-0.2522428074374099,-0.3205329377003956,-0.3708727406666233,-0.6060696905869952,-0.6576629005239517,-0.6848182541495701,-0.8629027874155563,-0.6547865962144487,-0.7726861110553125,-0.6802814874628403,-0.6192394470051388,-0.5527387085744566,-0.5578874834269683,-0.5336922757859472,-0.5081118574808271,-0.4520065414791788,-0.51696842109136
[0.0-0.5),-0.009598197124232738,-0.02270888098110858,-0.0346213299974193,-0.042004091345312494,-0.05603739175295133,-0.07025105151245872,-0.09208209303860847,-0.1224382995226657,-0.1818238779385446,-0.2306844636407002,-0.2584774401436862,-0.2187949533830457,-0.2307751927540499,-0.24745792421723042,-0.28169457945615084,-0.2249514560511612,-0.20990287248689918,-0.23671823721157384,-0.1887262096789236,-0.1908300328491103,-0.20318479450428817,-0.1716817627412268
