"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Maximum [N·m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4240763.157174908,4833077.270974832,4156823.598461064,5051957.704232732,3680022.5832533953,5028735.329087801,3101673.18100648,3512810.6565081654,4464217.08925434
[8.0-8.5),,,,,,,,,,4696753.100290202,4014374.604042592,4039352.242298483,3954643.7374000726,3584183.0434056544,3191701.231050669,3300466.109013598,3083195.967336435,3775689.91657933,3721445.4723168863
[7.5-8.0),,,,,,,,,,5082874.584202295,3908619.232958934,3015363.3779719584,3962804.884872656,3064675.4745854926,3690086.5576818916,3582543.3328045956,3670984.7850199468,3739523.077919356,2742132.4830014287
[7.0-7.5),,,,,,,,,,3173807.0475946977,3848762.1238131984,3524093.2706703907,3740214.7601637864,2751423.82561671,3198704.9921563645,2619285.204980712,3342219.4449703614,3671634.2779290946,2562525.3790538525
[6.5-7.0),,,,,,,,,,3805154.533290242,3948266.2089468194,3068737.988887706,2812437.3256618897,3095139.2616496473,2498796.7303971695,2317182.113957665,2765114.929182433,2554496.119821751,2261170.0783221773
[6.0-6.5),,,,,,,,,4186610.2860430456,1694356.250321646,3462614.4284410616,2934480.2576260776,2625720.793988822,2333533.64745694,3285958.0929291295,2270957.733756006,2200205.243770952,2148519.818090978,2669966.432630516
[5.5-6.0),,,,,,,,,4064876.246992385,2340364.1918456727,3465250.4877563985,2582219.2059385,1239498.3871007487,2446878.270048598,2199009.0408404507,1629610.079163813,1517136.9171803745,2208560.8123020427,2080229.6786914265
[5.0-5.5),,,,,,,,2512084.9703525035,1797184.7748584799,1343008.2262101949,2915557.5921523543,1230388.572781487,2432611.4975754134,875120.4116784178,846891.6827887817,1311496.5342069094,794952.745031027,835375.1154278254,741360.4954759463
[4.5-5.0),,,,,,,,2004775.8349266415,1871377.1202904598,1385813.737927073,1160641.0958926175,1037508.4686655718,1013028.4144918952,823966.5159868464,866772.5360967001,831037.4868764027,693856.1907661746,666388.2743902104,902584.6452331003
[4.0-4.5),,,,,,,2219880.755387152,2052791.1356861729,1518802.5619699839,1282042.7337348897,1223345.9001365872,900313.4246170089,922959.7783466729,760885.4500069247,839204.5109984148,819222.8392584735,658924.83264484,693925.9856462484,653400.3659279238
[3.5-4.0),,,,,,2542470.1894749124,2261407.4707106873,1583350.1384649584,1328658.8818834368,1061252.5067274915,912271.8026884272,881830.5282783315,870016.0605231175,762713.6020229973,593787.899054429,635358.2050929337,659934.4922796584,636325.1571283902,601618.817471679
[3.0-3.5),,,,,,1931561.8196178668,1800877.312463395,1524814.5386448612,1261625.9238345867,906422.6279194255,758111.8918165709,742834.725311535,640644.4031258796,588515.348085236,588223.1129876103,579676.4166905604,506466.53570648923,546634.316904271,490226.9401956756
[2.5-3.0),,,,,,1939784.6733662223,1620388.2149086003,1352010.0815096647,1076353.6208738869,763164.0106782309,695571.2878940778,624557.1929818753,641020.3025985518,589339.0294805065,544259.8385953936,543987.1935540092,471285.7878072999,430115.77226894227,435790.8102851529
[2.0-2.5),,,,,1487279.7106103676,1444886.3599546454,1298855.1744107304,1110915.0256851034,989065.0325821929,661363.9606607575,761447.7317163693,608193.5998656198,538294.0381711269,425439.1247363274,428859.19098041503,424153.4935249254,470092.2474335483,435488.71651957714,405590.1411551269
[1.5-2.0),,,,1422882.6064104903,1344906.3244929123,1129058.1032515694,942751.5853156168,1000821.2287568576,881338.1147744078,525599.5622506923,477303.01344682014,435358.19748459785,444253.7448855612,366638.2658579794,435962.2800499811,349282.0374196209,323500.2441144916,340102.88584233157,319461.8702443331
[1.0-1.5),,,903348.045467097,961969.0574551402,905361.0523732023,882469.21890067,738700.6908270725,645829.3012820289,526580.1391119245,465696.645774409,416188.69990932103,324308.5388711722,377351.1141262597,288179.33102166175,287194.9754010939,283131.5523963232,272379.3619745737,270455.59748242516,219982.2275006394
[0.5-1.0),,421863.6104854133,606948.6610787649,660447.8807053198,570829.518872103,572651.278493939,511918.79240929504,363497.50029608613,342385.0287732332,243783.5293203283,250279.7499118694,268368.11469143676,200666.64445191016,217261.59527071897,193761.87431166027,201893.4985322508,171618.37348755982,150280.12205746977,137996.116414247
[0.0-0.5),71311.31286020832,126700.29745299522,195786.4815688295,192717.19239405126,217308.60316098054,176743.90232447305,149276.31179226493,144483.01382540126,113160.51540411943,92475.90145816236,88833.49595496437,90271.85016368113,91674.64176256703,74946.2417055365,76986.16200308297,62586.27342289403,63442.85843799916,59130.76087367551,51196.00214831965
