"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,6.329497249514787,7.213548165634077,6.204214326061289,8.78601339866562,6.400039275223296,7.505575118041495,4.62936295672609,5.243000979862933,6.663010580976627
[8.0-8.5),,,,,,,,,,7.01007925416448,5.991603886630735,6.028883943729079,5.902453339403094,6.2333618146185295,5.550784749653338,4.92606881942328,4.601785025875276,5.635358084446761,5.5543962273386365
[7.5-8.0),,,,,,,,,,7.586379976421337,5.833760049192438,4.500542355182027,5.914634156526352,5.329870390583466,6.417541839446768,5.347079601200889,5.479081768686488,5.581377728237845,4.092735049255864
[7.0-7.5),,,,,,,,,,4.7370254441711905,5.744421080318206,5.25984070249312,5.582410089796696,4.785084914116017,5.562965203750199,3.9093809029562863,4.988387231299047,5.480051161088201,3.8246647448564963
[6.5-7.0),,,,,,,,,,5.679335124313794,5.892934640219133,4.58020595356374,4.197667650241627,5.382850889825473,4.3457334441689905,3.4584807671009923,4.127037207734975,3.8126807758533596,3.3748807139136976
[6.0-6.5),,,,,,,,,4.38388511627544,2.528889925853203,5.168081236479196,4.379821280038922,3.918986259684809,4.058319386881634,5.714709726833268,3.389489154859711,3.2838884235387344,3.2067459971507133,3.985024526314203
[5.5-6.0),,,,,,,,,4.256414918316634,3.49308088335175,5.172015653367759,3.854058516326119,1.8499975926876848,4.255440469649735,3.8243635492877406,2.4322538494982284,2.264383458478171,3.2963594213463323,3.104820415957353
[5.0-5.5),,,,,,,,1.7567027764702823,1.881868874197361,2.0044898898659627,4.3515784957497825,1.8364008548977417,3.6307634292170348,1.5219485420494223,1.472855100502229,1.9574575137416557,1.1864966343746672,1.2468285304892917,1.106508202202905
[4.5-5.0),,,,,,,,1.4019411433053437,1.9595571940214238,2.0683787133239893,1.7323001431233098,1.548520102485928,1.5119827081968586,1.4329852451945155,1.5074304975594786,1.2403544580244816,1.0356062548748874,0.9946093647615081,1.3471412615419407
[4.0-4.5),,,,,,,1.226453456015001,1.4355182767036174,1.5903691748376794,1.9134966175147605,1.825889403188936,1.3437513800253864,1.3775519079801088,1.323279043490304,1.4594861060841997,1.222720655609662,0.9834698994699104,1.0357104263376842,0.9752244267580953
[3.5-4.0),,,,,,1.05015073043529,1.2493963926578382,1.1072378590664045,1.3912658449041224,1.5839589652649126,1.3615997055051152,1.3161649675795992,1.2985314336165934,1.3264584383008649,1.032674607051181,0.9482958284969161,0.9849768541487439,0.9497390404901346,0.8979385335398193
[3.0-3.5),,,,,,0.797819012450858,0.9949598411399972,1.0663038731782246,1.321074265795379,1.3528695939095903,1.1315102862933895,1.108708545241097,0.9561856763072829,1.0235049531917149,1.0229967182393223,0.865188681627702,0.7559202025469989,0.815872114782494,0.7316820002920531
[2.5-3.0),,,,,,0.8012154085643092,0.8952421076843096,0.9454615954613039,1.1270718543182061,1.1390507622063148,1.0381661013344445,0.9321749148983214,0.9567467202963461,1.024937442574794,0.9465388497311192,0.8119211844089689,0.7034116235929849,0.6419638392073765,0.6504340452017208
[2.0-2.5),,,,,0.5233021203999442,0.5968008878073535,0.7175995438733317,0.7768636543252471,1.0356701911855424,0.9871103890459068,1.1364891518154765,0.9077516415904773,0.803423937568846,0.7398941299762215,0.745842071270287,0.6330649157088438,0.7016302200500721,0.6499831589844435,0.6053584196345178
[1.5-2.0),,,,0.4096177200272624,0.47320778084009874,0.4663500861256482,0.5208572294561419,0.6998749851446556,0.9228671358894323,0.7844769585831228,0.7123925573833136,0.6497883544546237,0.6630652908739719,0.6376317667095295,0.758195269652141,0.5213164737606282,0.48283618524550986,0.507616247525868,0.47680876155870616
[1.0-1.5),,,0.24519446948392631,0.2769304862370858,0.31855296287205265,0.3644981556328854,0.4081219286337417,0.4516288820154048,0.5513928158240047,0.6950696205588194,0.6211771640437628,0.4840425953301077,0.563210618098895,0.5011814452550639,0.4994695224366851,0.4225844065616764,0.40653636115608016,0.40366507086929126,0.3283316828367752
[0.5-1.0),,0.14843349257820096,0.16474320800709333,0.19012893535456177,0.20084742330685104,0.23652987589967042,0.2828280621045829,0.2541940561511092,0.35851835473636984,0.36385601391093775,0.3735518655401036,0.40054942491259216,0.29950245440583606,0.37784625264472865,0.3369771727159309,0.30133357989888176,0.25614682610083556,0.22429868963801458,0.20596435285708506
[0.0-0.5),0.032259879627237094,0.044579734289016834,0.05314204499725372,0.05547919174980264,0.07646043444553019,0.07300291617749974,0.08247310043771543,0.1010370726051757,0.11849268628703606,0.1380237335196453,0.1325873073954692,0.13473410472191213,0.13682782352621944,0.13034128992267216,0.13388897739666603,0.09341234839237915,0.09469083348955099,0.08825486697563509,0.0764119435049547
