"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Force Average [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,209577.12556722164,211072.50691423388,180027.99559505563,184975.38615321802,192789.7007067131,163042.2005215423,161383.43000004385,186892.70747616424,175593.82034793892
[8.0-8.5),,,,,,,,,,203162.17362691555,199090.79611061286,204084.5712180336,176153.34317480947,180234.5740657155,180822.6935219108,154782.65502699537,156582.92298775568,179935.81837049878,158798.77437208785
[7.5-8.0),,,,,,,,,,185896.5435115345,186232.26312331943,193570.44817080407,170597.25997736922,164683.01511251967,172633.41922450517,143406.32971494642,146107.07568786913,167379.213483622,144196.61197881194
[7.0-7.5),,,,,,,,,,177437.17694967016,176355.3417010924,175973.13421005692,157482.306257985,153467.564007618,160727.46187802326,135568.59979825304,136042.46988490186,158557.94119081937,137664.69760399553
[6.5-7.0),,,,,,,,,,168213.97520830302,165963.26494660246,168364.72951634115,148819.89865661217,147003.22346165206,151906.2328036432,129645.99305824257,133602.8558153438,146218.2223754535,128607.5218703673
[6.0-6.5),,,,,,,,,168326.9965618784,158173.45140859706,155255.0700678456,159115.11404369626,139469.04127259465,143153.20890232438,141023.3196245712,120627.01128486803,120284.38030008331,135410.74646428545,123706.4983977157
[5.5-6.0),,,,,,,,,156666.8651444612,152547.81211503746,142857.02719993234,148129.77710515689,129331.19756167203,128192.89653278989,130837.53527799294,109709.6861055041,111048.07587930266,126244.06123643027,113477.4260375581
[5.0-5.5),,,,,,,,134537.28070513115,142376.91970956343,133583.92735758235,134601.1864943517,136582.49669119593,117889.63431660301,116870.98850386117,122205.12259393815,99831.48700516419,100135.00914525284,117385.71213833788,104935.44445148339
[4.5-5.0),,,,,,,,121891.73244632222,130425.34485701505,122731.02405089846,120633.55134346914,128013.20227967309,108628.85993458492,110080.29835886235,113071.80760375634,90905.05850253986,94332.08141743937,104649.67774072454,94431.90747147957
[4.0-4.5),,,,,,,104521.53016003099,107733.93152299548,118557.39806610375,112927.00592405707,109936.16120312443,114449.50189616533,101095.90145428633,99289.0171118727,100922.87358425061,85440.8504945654,83737.61235906705,95180.80255628256,86704.43704314805
[3.5-4.0),,,,,,87802.82943832589,93453.9408219731,95109.03612980984,102086.95960970076,100136.3308151283,99271.00596183763,101628.02171912014,88403.81574903398,90328.95697470933,89064.74277722543,77025.44488115345,75574.585518653,83889.30331443615,78085.5325877607
[3.0-3.5),,,,,,77445.00368315015,82634.91640221012,83717.6876199266,88284.27985944244,85151.63033475255,85565.76804622036,88383.20563924473,77471.0229300854,77384.42674527493,79423.87154541057,67659.05136445593,67649.23207381222,74774.52225444846,64253.83702025965
[2.5-3.0),,,,,,64621.83036171497,69603.62259124567,70971.51052539604,78018.19533135726,71959.5047119072,73249.05145853198,74692.642757506,67309.32364808068,65947.52774737768,66952.73059934589,56070.56130344971,57449.121187160876,61639.09201723644,58735.10365171789
[2.0-2.5),,,,,46953.70320985021,53861.74023561018,56525.49202902363,58153.653807795075,62760.88116089369,61264.64606453277,60688.31752897437,63508.233407612024,54565.58094253702,53677.76616952077,56273.53228419796,46054.71491966492,46534.61704259591,51487.449125481435,48146.19649064166
[1.5-2.0),,,,27240.05882449238,36729.27347311854,42236.16435399832,44641.65621455211,45508.37809277969,50661.37438568914,47609.176943097744,47008.08725304542,47250.50692221925,43175.319150489726,42400.5795738675,44754.112852763654,36185.67641730135,38363.03275893026,42002.34373773858,37997.36115947659
[1.0-1.5),,,13896.061073326937,19673.68269863184,26490.847564162857,30445.45103036224,32077.1240725617,33385.54546650044,35024.21587141044,33030.60829254656,33378.142903935695,35636.70683544452,31253.725665389,30693.07773289331,31884.624799349112,27288.66214787727,26715.066092012188,30742.036680855726,27233.744653465597
[0.5-1.0),,3684.3391939111402,8425.991488131549,12099.231505888069,16015.567581912925,18456.761549167015,19597.491338516575,20104.528593859122,21720.28342065607,20445.366117777514,20192.98007200145,21406.768121566096,18549.693932020662,18193.62632744737,19263.279649179574,16551.041747356005,16851.50248020679,18772.015301148847,16808.28815852815
[0.0-0.5),2215.4284362953667,1266.6858615000688,2924.4149345452342,4091.763943807028,5603.510438339585,6390.805365760605,6740.548014246689,6972.554031359536,7614.017363073521,7069.564379063776,6948.461395205015,7086.272305552327,6200.687182132947,6285.709209920464,6771.040853982701,5523.555923131941,5715.007173175257,6583.825877255202,5923.547012713411
