"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Maximum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2.411553894491111,2.457148833877656,3.2178483815068666,3.4667914661733694,3.005639937475728,5.54533519077251,3.3054280414824695,3.060175516978999,3.782864220657824
[8.0-8.5),,,,,,,,,,2.9338875295849682,3.255442487420045,2.8406135823860486,2.9029692777688036,3.0445805783128,2.697445379139883,3.3170538441140485,3.461613566001822,2.995557313017142,3.3855618684124646
[7.5-8.0),,,,,,,,,,2.3434960573733092,2.3685675284666723,2.1864967364326793,2.834653740193845,2.571487203711939,2.6229139550097607,3.916774206958325,3.4492107310392646,3.2752670989935977,3.7846735897579227
[7.0-7.5),,,,,,,,,,2.196799762291584,1.8893792815739878,2.2249128733416352,3.206455410340681,2.4884390116524897,2.763777616619197,2.990295559728809,3.4687869192507947,2.8007702339560354,2.809835349467558
[6.5-7.0),,,,,,,,,,2.1623926341722037,2.3208528682270457,1.8868453576762698,2.9651975275239826,2.5716307965798353,2.5373563847631355,3.6375531506662,2.796819703167187,2.622194081775792,2.530046881851625
[6.0-6.5),,,,,,,,,1.7880310802463755,1.9144691502598026,1.8733811745959628,2.1961271814770833,2.621193660560625,2.5078844992349474,2.6152861426198832,2.9215897264124306,2.5728886699125884,2.04277980202749,2.6947578166678627
[5.5-6.0),,,,,,,,,2.067603912765215,1.7435538892212477,1.9872153542272786,1.5532168627052294,2.350109932008412,2.172135753283006,2.4969358191938147,2.8295703801081418,2.4134630415490745,1.8914712163455312,2.5441262491505805
[5.0-5.5),,,,,,,,1.5048788064491878,1.5873688546494005,1.8123761148641002,2.0686374378431767,1.639153736263735,2.0868398521950637,1.7900511510665837,1.7873470382403804,2.215339517157799,2.3369826148332433,1.9153949295441743,1.9493122255107251
[4.5-5.0),,,,,,,,1.3177273215322403,1.6372135037986542,1.3603849469636902,1.5705149108138514,1.4968300934196572,1.7770202576794543,1.6312337676272222,1.6752488920490474,2.206310416993899,1.905753713955692,1.6978555281536403,1.8084244707839188
[4.0-4.5),,,,,,,1.1859895201688058,1.57188306946813,0.9545537173160432,1.3792361581384105,1.4726242358366726,1.405098136228717,1.4895696626412231,1.645017508128102,1.5917379599674888,1.8640090114925496,1.8405135566123234,1.5169131479169138,1.82610304923928
[3.5-4.0),,,,,,0.9074343223649577,0.9688431308178063,1.0471923410327801,0.8314696456106203,1.3756796678892143,1.3098749953106823,1.1169195160648497,2.0002821064749363,1.4299134437567447,1.391889015141524,2.0630405457916736,1.6177425936621401,1.2732230247789014,1.9524422394409806
[3.0-3.5),,,,,,0.7205018885054139,0.7748649632783096,1.093719131743381,0.9989921367106395,0.9122426792766017,1.1737879250928307,1.076469995395645,1.5134259423526142,1.1302067602740469,0.931594181273892,1.400386723223981,1.4259023317923685,1.1267493490600309,1.3387825617094156
[2.5-3.0),,,,,,0.7028453617951119,0.8259014285235584,0.7871405641748667,0.7280860418207987,0.9290120683972843,0.8258404169463806,0.8454326025493665,1.1237447293102512,1.140843448578653,0.9120813869970624,1.107934190672479,1.3204739524466136,1.1048700432190623,1.1323210062991016
[2.0-2.5),,,,,0.4829464582857768,0.582609226767913,0.5548186021158339,0.6184744166886651,0.7134644991113003,0.8778341560957951,0.8258089978732027,0.6532232279245935,0.8796459808692576,0.7634651416551967,0.6879079600943198,1.0331165458760407,0.9777122973699481,0.8711521142066022,0.9529646070430636
[1.5-2.0),,,,0.5068926979229778,0.5440945882454605,0.38396518762565907,0.4382201334591259,0.49577938551007084,0.5349547391927995,0.51595164229794,0.5394618178096277,0.5400524945453996,0.6877655281794273,0.744920492548335,0.5781284704284149,0.8339350466735768,0.8469371039267807,0.6094774701686203,0.6969015683889667
[1.0-1.5),,,0.35061233225238947,0.3692502204368505,0.3239254732526014,0.30985719142680085,0.3603679800379058,0.3111693937890998,0.34584063792403014,0.4119176236519387,0.38590697908986055,0.3155111158253596,0.4607787884746186,0.5218732247622071,0.44959366450428834,0.6797878225738165,0.6227220338878344,0.5005287810474855,0.5503734642229579
[0.5-1.0),,0.20372853355798415,0.22002984285123534,0.20024297966767213,0.23784604433330753,0.2332156023269275,0.21396974817005585,0.21991634971294302,0.21992206240886797,0.2094703718867525,0.23964588266520878,0.25019473768684675,0.2904844055901691,0.3047343848724109,0.2535015223466735,0.35383660203038725,0.3481321383792066,0.26908559312605546,0.33389240366959294
[0.0-0.5),0.03703922881073473,0.11570537686389952,0.10628554487556939,0.12300524139583303,0.10108698480001171,0.09571002902205276,0.11100457122332749,0.0991351927822794,0.09367663089527578,0.1094415220733072,0.09382598380619171,0.08703572039368014,0.10259305302584003,0.1317688271316809,0.10052013425246709,0.14612253321480873,0.14098161477937562,0.10466154260708362,0.1290334703040823
