"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-2.604316479481353,-2.9677567517156587,-3.5400661105781164,-2.8591785644047905,-3.065554538161998,-2.637939806934709,-2.408072895857706,-2.978128132050363,-3.4927811122552828,-3.729976433495442,-2.4430078099582566,-3.0830476025595823
[8.0-8.5),,,,,,,,,,-2.47664753136569,-2.271681550723205,-2.3590384720132347,-2.615139663251219,-2.3874360514851927,-2.052307813908799,-2.504013626073552,-2.644998899354273,-2.5632202699106594,-2.771771569054841,-2.406443782183783,-2.3339618337265535,-2.7583103163999985
[7.5-8.0),,,,,,,,,,-2.3868714744772395,-2.221912140483708,-2.587940207111646,-2.3462767454058566,-2.6579681050011987,-2.024279675503487,-2.63212944412815,-2.4519659964406144,-2.688709185887483,-2.6467293865706716,-2.3503504716920554,-2.406939503462575,-2.568050159121315
[7.0-7.5),,,,,,,,,,-2.9951371145898817,-2.1832510401655028,-2.1388226738950866,-2.313363524150807,-2.582010956422923,-2.229943914963603,-2.2339305707141706,-2.546556296911674,-2.6424255669646413,-1.8329990175767823,-1.5538126593954376,-2.8035880779095725,-2.1987701271665747
[6.5-7.0),,,,,,,,,,-2.1549437265843503,-2.0998681693359718,-1.7374095584979765,-1.816892909442554,-2.072592449457196,-1.9938719211595595,-1.6910999654143202,-1.9174771321455055,-2.0319356169242493,-1.6460517131660537,-2.0503787709901156,-1.7659152546602777,-2.1741064120607154
[6.0-6.5),,,,,,,,,-1.8306633035925817,-1.8683815730826667,-2.1329914080331815,-2.0336185005257548,-1.9462124738117192,-1.3610400367179214,-2.211897761903176,-1.7160013522178896,-1.2690877729094938,-1.4587363853063104,-2.6654371892529634,-2.0019779934442794,-1.8639670945252433,-1.3408570578819041
[5.5-6.0),,,,,,,,,-1.4220819855491638,-1.5304110625130272,-1.9371134719891123,-1.9053202785274708,-1.6526346088159583,-1.9152195536727388,-1.8022113611869748,-1.7261050918872278,-1.3807850512994662,-1.6163922982666135,-1.5586431602970372,-2.307768753841433,-1.7591475486368007,-1.286062368954993
[5.0-5.5),,,,,,,,-1.467453551762646,-1.503790686783624,-1.6403598598264357,-1.656924119419001,-1.374685177316458,-1.432231061737318,-1.4306967146712708,-1.546376650305932,-1.3338017771474453,-1.1054587869332615,-1.384410601151872,-1.088410555466306,-1.1819363642977978,-1.4445379197381856,-1.5408277182561336
[4.5-5.0),,,,,,,,-1.4787849414008127,-1.9653383389006194,-1.3067620894171197,-1.2164438926107204,-1.522655735119018,-1.2845261691349963,-0.9368528315160377,-1.3148811460747576,-1.2377245368918788,-1.1192318054079724,-1.077926375428645,-1.0945055023625818,-1.0129573191674268,-1.037248563799636,-1.5422364885238835
[4.0-4.5),,,,,,,-1.175343357956033,-1.4291906144219446,-1.2457078408577305,-0.9750496533035793,-1.3876932005705533,-1.2917227331212444,-1.3136811735037868,-0.9418324882506706,-1.3831861743874478,-1.0582158808044366,-0.9506673301038729,-1.1320065626219704,-0.9555833265265591,-0.8888303555385378,-0.7728108519404723,-0.8611174679207484
[3.5-4.0),,,,,,-1.3183027707993646,-1.2759025411311273,-1.0541575232379834,-0.9054311495886231,-0.9658240926722137,-0.8536503976989218,-0.9173532246553517,-0.8701503287492176,-1.0779813239612877,-1.3064821452049293,-1.0813776278075597,-0.8307100033250868,-0.7437021901101166,-0.8304581789765544,-0.6295764239727494,-0.7735783860657198,-0.6109813538438933
[3.0-3.5),,,,,,-1.0520848777958525,-0.9983932448561471,-1.0346281055678073,-1.1096196752509015,-0.9842431352950055,-0.7402822737750732,-0.8446567361326711,-0.8451915500096636,-0.8494778419012743,-0.6778119132308394,-0.7113093464013134,-0.6981331945171908,-0.5445349697710063,-0.6723952401907113,-0.6701390996297684,-0.865149790552603,-0.5691356761469587
[2.5-3.0),,,,,,-0.9487138187033387,-0.7743662020936373,-0.8808252081302302,-0.8387934220023295,-0.6376214382440997,-0.6811578711097809,-0.7062428438971184,-0.6895661346505724,-0.6447643740257616,-0.5579914088350548,-0.5540989200481828,-0.5386264603286439,-0.5134568506371939,-0.545425545742742,-0.7113672987802967,-0.4001101226525952,-0.4738448420858311
[2.0-2.5),,,,,-0.7900887163775108,-0.7247383224086319,-0.7423081724526766,-0.7373809576801776,-0.6585875319066882,-0.555482349336419,-0.8430300065450713,-0.5245616735073243,-0.39279795980754906,-0.5757848151171447,-0.4231375894924497,-0.36406936921554034,-0.4494438860552648,-0.3745617905242388,-0.4749248594482732,-0.44723886790863676,-0.40881746121871365,-0.31324351522263233
[1.5-2.0),,,,-0.6393026717208969,-0.6265847522695035,-0.6336858068564833,-0.48134381768599993,-0.5231747790047397,-0.618463047733883,-0.37754652450899645,-0.33818049094438785,-0.35392027453992664,-0.38878720048002635,-0.33987706453215794,-0.44045937371130406,-0.2134704740340857,-0.2310467790391869,-0.3163508005033756,-0.26584982720418093,-0.3348183508736497,-0.21305800373386663,-0.20613020829380635
[1.0-1.5),,,-0.5090356876059119,-0.454248696164286,-0.48314163527815535,-0.3926213213778122,-0.4139897255282483,-0.3185394634415101,-0.30638040802256394,-0.2836012711257929,-0.24640396718728927,-0.22588421146686682,-0.3097771494465283,-0.1812714860475856,-0.16628098008802444,-0.19824455890267795,-0.1834263199932023,-0.15427239951219374,-0.1344142982278759,-0.1343815936201206,-0.12375071424229826,-0.12179100069076594
[0.5-1.0),,-0.25058993022449044,-0.3054394200842411,-0.2986698156714881,-0.2600554526852028,-0.2300496635750864,-0.26064637046533506,-0.2066122173969276,-0.17197808632487419,-0.13609205064467714,-0.14077513386801696,-0.14817896001073047,-0.10219490138045215,-0.09918726890683939,-0.07764501049598564,-0.08932698954735989,-0.0724727110050859,-0.06400540369183837,-0.0758341071814344,-0.06616353623925052,-0.05236255571475666,-0.07076087368890609
[0.0-0.5),-0.029633321713542164,-0.09758892142249956,-0.09945440529574212,-0.10667178156117559,-0.08753094906044445,-0.09365464729296437,-0.07897642820602771,-0.06950553335660391,-0.058082557139482974,-0.052594257668623245,-0.05200697358480286,-0.039891259792643755,-0.03677721979151774,-0.028797589568544214,-0.027790622448124896,-0.025331896394650024,-0.023186309739853177,-0.01981739272005615,-0.017583947603216674,-0.01842502701839939,-0.01705614865930857,-0.017203586799577925
