"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Average [m/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.0001607689449901854,9.605768565022257e-05,-0.00030771931946967784,-3.347746327194505e-05,2.9461312693474786e-05,9.493815231845137e-05,-0.00025394419383755,-0.0001251230059516684,-9.514567049017902e-06,-0.00013595076708941274,0.00010850678237469039,-0.00019154032264958562
[8.0-8.5),,,,,,,,,,3.832634104019623e-06,-0.00011756711293985736,0.00015560242300815286,0.00019175066814452985,0.0002558225004988037,2.912380246996003e-05,0.0002922829080949412,0.00021316939752266564,-2.5225761468213252e-05,0.00030233942889485935,-0.00019063268681335932,-0.0002756784970621889,-9.896349643726782e-05
[7.5-8.0),,,,,,,,,,-0.0003102601091990122,-0.00022255311207578575,-0.0003360397252001016,0.0002618392017833687,-0.00020939297918281635,-0.00025696964231762364,-2.01063608201601e-06,0.00016717834205415792,-2.5596384078020883e-05,-0.00019700354928346882,-0.00020703002922169858,-4.442224887335614e-05,-6.361219744012163e-05
[7.0-7.5),,,,,,,,,,-2.1347822939545946e-05,-0.00016198840748898923,-0.0003175292073853239,4.329138433208981e-05,7.821268248267438e-05,0.00010289296712027536,-0.00018895485757063562,-0.00023055457486030517,0.0001013963220524515,-0.0001934898382994759,-0.000378940140375209,0.0002798940760363492,1.0164932079139351e-05
[6.5-7.0),,,,,,,,,,-0.0002344690646078836,0.0001942719205342869,0.00011726051220064614,-0.00012729580050720776,-0.00014596833051872313,-0.00010177200862077818,1.555965024623096e-05,0.0002130629184803487,4.6328413176193245e-05,0.00039383492964180117,0.000230476673737828,-1.5392061385378221e-06,0.00037444511134276275
[6.0-6.5),,,,,,,,,1.9262545878094235e-05,3.517042678971432e-05,0.00043620943930723454,-0.00012882196004439272,9.331104577373668e-05,3.183965108676591e-05,-1.0828724230378995e-05,-8.797539517257757e-05,-5.9322809725464724e-05,0.00016389681703059017,0.00013733594986737875,0.00031813031354741516,-0.00011508577115780668,-3.2591520621686855e-05
[5.5-6.0),,,,,,,,,-0.00023010799878709577,0.00011258352364617955,0.00024188591604656307,-0.00010524171819474248,0.00018185725398346802,-0.0002529340917270177,-0.00015238841148192185,-1.062356067235083e-05,-0.00010783809990929593,-8.645724620122114e-06,-6.804487605249471e-05,-0.00011299174864493388,2.209549290914493e-05,-0.00016561276698089707
[5.0-5.5),,,,,,,,-0.00012773800827606057,-7.41686381777789e-05,-4.82887692142891e-05,0.0003282842376441599,1.5887207160917007e-05,0.00035290433279994626,4.1690298554374185e-05,0.00010782700091740325,1.644452423334628e-05,-9.934120495129566e-05,0.00022465092017525895,0.0004228206219150807,7.175396037360034e-05,7.644495042204409e-05,-1.3410496691695647e-05
[4.5-5.0),,,,,,,,0.00013682742027107812,0.00023869887206165924,-2.991374606339468e-06,-5.487541471763099e-05,6.223759567458489e-05,-4.425962215807771e-05,4.835283068706153e-05,-2.478561850167689e-05,2.2500662614541277e-05,7.308934549288273e-05,0.0001002048466071838,8.419251311296422e-05,-6.347359235108465e-05,1.3523393615521478e-05,5.190713141927411e-06
[4.0-4.5),,,,,,,0.0002520249008819995,0.00024151623217254255,0.00011036839920316346,-1.335855331544947e-05,3.0811090741671684e-05,1.1313863098251963e-05,-3.567351562544563e-05,4.1523700097647215e-05,5.974867766568696e-05,-2.2829493039391643e-05,7.926697510089269e-05,-0.00023873411052756108,-0.0001042003228434885,2.436760737985397e-05,1.1468816401411256e-05,-3.366246762689787e-05
