"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,639058.3310388959,925404.227181398,681201.1363110256,522417.06828143424,311125.87049740803,549481.9062165893,269857.91664749733,281539.13992195635,259535.1710577105,286951.277626029,124130.28117745197,177826.3351694859
[8.0-8.5),,,,,,,,,,894061.0027206726,570368.0868040832,689756.9561540484,395999.1001903469,402048.78286842507,285769.7860198823,288598.8624978734,230064.80471451677,410899.18072212965,226135.02554448645,216035.7856999521,112104.15399181299,174730.62399506796
[7.5-8.0),,,,,,,,,,880335.4256644263,503117.6232399232,452031.5493687358,416730.18935289583,370575.6344249672,482323.4407608824,300059.68234829773,200936.5838728157,207713.3294990577,185837.36170414754,204288.5285557243,172660.95327853403,118602.59172515881
[7.0-7.5),,,,,,,,,,642737.6888861556,501544.4256078212,321216.3715319356,390213.4841652758,413024.7673155753,317918.03795535956,186043.84038408528,223744.29815102706,197974.5416358679,126468.32033282032,136879.3990110573,117651.68119931039,109260.84171440825
[6.5-7.0),,,,,,,,,,501581.89863625006,564728.0497158582,291415.9373851778,243165.46882016733,278095.1571315297,191676.3725323617,180338.39621992203,128440.8664794697,142046.70285063674,103968.28288722826,155532.72133019805,66185.32172541821,88923.55273523867
[6.0-6.5),,,,,,,,,390197.49027269817,416908.1457539604,389084.1268814389,294673.564553819,233700.71279146968,214462.65619014922,277368.42046240217,138092.0929245578,157455.26373853357,95310.71349736152,181561.8932486288,91767.34032832447,74677.17330852167,65935.62541729739
[5.5-6.0),,,,,,,,,325644.5917909827,339099.2114628623,469050.9570152145,210814.88641792367,197916.77705503418,170540.7813848991,175344.86310615705,149897.18570412428,91638.7508144047,80515.62208443492,116318.56529643571,87487.27763040968,77631.77703040544,34358.99892217835
[5.0-5.5),,,,,,,,330648.6624275403,357963.4606904356,311809.60054799425,236298.69475049607,221827.13056566572,162114.71208787567,129125.09238728475,105927.02424089283,104134.61408304193,73597.45423065008,59803.32974189454,53991.64973544199,43659.16923785047,49964.47727573599,41022.19063856326
[4.5-5.0),,,,,,,,283889.4398166398,364213.66085339885,190746.41013528267,164611.57310311095,160517.86421804293,105269.91303677867,106160.57141276555,105057.45200552787,61111.086746022265,73684.60243500877,49109.725899509074,31119.762477952667,39460.67266592602,26272.010789324693,29300.50732752323
[4.0-4.5),,,,,,,293699.8620452749,255869.20381004104,208038.18438618697,151225.11109397162,128586.95014649857,95386.24885582834,92110.12972565122,74107.49396707062,77875.92203808426,59025.03266346178,38275.76685959587,46069.55285596083,28712.8390474948,28467.788085630662,14582.317397699133,15758.082763205579
[3.5-4.0),,,,,,348166.85569511214,284254.68746622547,201853.42882124727,148452.4581551421,102415.232080031,63879.33990371016,70725.56397836699,76566.83331204652,64405.09898626708,60043.28454594255,37101.13277860816,36018.09272178542,41852.77908511258,22547.592177865816,14999.284344853344,19534.33478924624,16168.42710188748
[3.0-3.5),,,,,,230421.92697683087,213022.5143370123,138327.26493069658,112450.46478725823,86649.86579370945,53059.900119236554,55419.64082890233,35933.125610396964,35055.439760258494,28804.87177989643,23320.302699689648,27148.647106815304,27717.052306135352,14022.07656787196,11544.959352702199,14604.856466258008,7983.138762754073
[2.5-3.0),,,,,,172036.92580944058,143335.49905059588,108962.481071849,89562.55408491974,64105.95421847757,51298.025026427604,33309.719727594216,36010.38997951348,25620.09148165716,23929.48494370866,16273.80807656098,17137.580419087393,9994.176248751008,9354.353773412813,7684.407424362295,6879.612424745764,6932.2048530308075
[2.0-2.5),,,,,147766.68906836427,114719.0934642101,96638.81149880096,81005.91998024819,74450.43785027029,47123.91153108595,40596.48824415662,22836.913201464562,20349.588207669185,16182.14264028168,11397.089413737867,8693.571905418012,8305.189960481313,6695.855484302372,5347.916732683297,6263.982633139876,4292.720474343545,2928.224588182736
[1.5-2.0),,,,99785.2351451327,97004.42315495269,92837.15263319199,51834.92804386128,48003.260159141915,47547.974098468105,22707.445866273738,16640.6522540525,15749.143693535854,11275.822082190534,8498.227462083629,7224.210631095646,5214.322023632781,3306.8537910595264,2917.511390526776,2634.42848176147,2601.5701584218687,1642.5442991519092,1356.4817182768986
[1.0-1.5),,,60227.36527440429,53662.05602362382,49875.148128115325,42770.825672444385,35759.09459129344,20404.65082458162,23088.708726695746,11632.860541661134,9671.15064114272,7372.556578350499,9549.181515761746,4565.963475031299,2963.1695412107365,2684.4409960851544,2202.3692228474574,1490.4742315449473,1163.6854135910125,858.8600395087541,849.5679213555817,645.0545073441208
[0.5-1.0),,12278.248788976669,20556.168718750385,19840.11377496672,19769.714885723246,16090.628546967091,13597.0280120102,7249.984852890372,5582.447163622349,4303.875127032526,2664.884174893342,2497.2069604440176,1846.5888679741531,1590.1751748190582,1057.0066400469827,892.7983193379188,725.925144906991,477.0346823680429,526.2979583710519,280.74303302770437,306.15443584953357,185.4090033423475
[0.0-0.5),250.65230358787093,1563.6033526328113,2295.1633882543265,3202.1047878505105,2094.796543331385,2741.1500141272354,1446.7299081240794,1238.5215068501075,874.243864877445,709.0948567794919,428.8936615251529,403.2135191717478,219.5296517384502,192.6761671355229,164.4243614612402,121.01112362109126,87.21091021005859,60.475457536301626,42.81495751123096,35.615411993336856,28.42655307175391,29.548449496793427
