"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Peak To Average []",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,15.082169647819965,25.79368881441675,24.113136097425645,20.099915972382835,13.331485191568866,26.993430966744654,18.18452286162636,20.152651826754425,21.254627857174473,24.14268270908138,13.045194175895473,23.55896221682231
[8.0-8.5),,,,,,,,,,18.568738178821835,14.555926122215672,20.96117083761835,15.15437760977955,17.056036152920004,14.993855446934594,18.31046595309579,17.3481687564541,32.4854509002096,22.069089651869984,26.373006275802634,14.796955309310619,26.52440086096577
[7.5-8.0),,,,,,,,,,22.168594697361982,15.119590674454697,15.800219553634854,17.90054435325567,19.880397722806105,30.074540292247256,21.44291265807557,16.933622775639403,19.85686172297103,23.432370092485236,28.11195435939992,25.943975062443823,20.883987897443962
[7.0-7.5),,,,,,,,,,18.36291299546257,18.144849299728925,13.548466311013337,19.796209364697482,25.762462654872216,23.572366218724518,16.32842389674646,22.621000291334145,22.3381571139013,19.39470183504301,24.10953249944124,22.45876753221367,24.873570878819425
[6.5-7.0),,,,,,,,,,16.805983773825705,22.704964123586695,14.519516290176375,14.320332762294287,20.950595497862274,15.679667846289089,18.90398943797195,15.26150532230459,20.529575499447265,18.171120275996454,30.570506047581738,14.03367446095736,21.07774652825948
[6.0-6.5),,,,,,,,,12.145852550191105,17.009642880793525,18.605986606834456,17.249273520383596,17.343015721962413,18.146432387684396,27.572312856664265,16.685223607724147,24.60655523342492,16.993685711167902,37.67153062936938,23.139100343886643,19.27222783771727,23.03742783894174
[5.5-6.0),,,,,,,,,12.098466008161562,15.192986279551912,27.25565280745659,15.474656586210507,17.794797495557926,18.47103935563174,22.72053121167606,22.85576548333228,18.432266586751663,18.12558135237397,30.71694889055703,24.623597678810953,27.891950247986728,14.531079233936719
[5.0-5.5),,,,,,,,11.558442133153685,16.109110892943132,17.419540656947067,16.787532965569362,20.221312594140553,17.60268761222806,17.546505328586044,17.300544739435736,21.37617003643594,18.54410550039471,17.299766718387605,19.222882499938677,17.820728989432993,22.544703664155556,26.28352066885619
[4.5-5.0),,,,,,,,12.062420745249765,20.699247201463756,14.219447673295514,14.888865230004447,17.872626115168995,14.852063024535058,18.392548453670443,21.516076556081195,16.02726012201947,22.488702974643417,18.828698775646213,14.577306242880764,21.3452379267645,17.727320410081305,19.722682242459673
[4.0-4.5),,,,,,,12.01923800046577,13.78840553790758,14.054937577950474,13.886514639194944,14.567367017925747,13.501601674152397,16.712514078298604,16.699392955356892,20.551647156113386,20.237972312592838,15.786794265024179,23.610957187615227,15.944154098242032,20.060943666671886,13.03807245374805,15.164090636466222
[3.5-4.0),,,,,,14.364814684025507,15.087975674058471,13.970495250769783,14.08394712360206,11.79132197871621,9.410356983762284,13.370369953341335,18.472976208313643,18.65969464493762,22.748222172434453,16.707195145083812,20.034904613660018,29.07236291292684,17.805110528638888,15.421284845045248,21.327030533503315,23.89928174759
[3.0-3.5),,,,,,12.339980116212997,14.55965214248933,12.663010803715702,13.753775281607647,13.903278253900973,11.100184093409295,15.20241713641938,11.998193455239488,14.659383897776031,15.241322514568546,14.879794024371591,20.882895944707695,27.60074948182403,17.647089376922608,16.511953872857017,26.034797300865797,16.300542949576997
[2.5-3.0),,,,,,12.710569465510622,13.951903545208195,13.819392074995763,14.749880932373916,14.725160002152414,15.104432759971797,12.611324523236277,17.638321497258396,15.5884320640936,19.084672491177635,15.83156977788404,20.361495626066183,15.478331870756842,16.59687571467486,15.346431232114707,18.374408835700407,21.764769259679422
[2.0-2.5),,,,,12.565727084445795,12.352398055132195,13.750290808325753,15.7348413354721,18.859581805487476,15.405048248474996,18.13437396133282,13.53984393009488,15.926109816297531,15.802156763183838,14.330562720709315,13.571187656692311,15.923603949322947,16.80570712101792,15.87565455837043,21.829252826425446,17.606187248474097,15.095559277318046
[1.5-2.0),,,,12.304169532244387,13.103301374861593,15.980120842754829,12.167689977886445,14.918805458771311,19.402689804758804,12.759801695127326,12.735738818879195,16.0979399457356,14.70667525334051,14.304326955094297,15.290260942131969,14.033603739390813,11.532784052291042,12.29970551062263,13.741694071935758,16.756719114515064,13.16927898065929,12.836195453656382
[1.0-1.5),,,15.938696091560837,12.465447339912771,12.794965870263075,13.518288298788477,15.447517817671597,12.06338579685987,18.721731897668942,12.902394919581837,14.530436972441475,14.621920595836897,24.441406929192617,15.546122775962646,13.223081629840529,14.988286902545905,15.498223953010854,13.15650949009394,12.83411751769904,11.932395258387755,14.022579063605988,13.257713563157209
[0.5-1.0),,13.675700763197488,14.736936177615336,12.403993355011297,13.102624276837037,13.44471022851551,15.346086815538351,10.969110265817358,12.055032171348879,12.38068896164224,10.791182175201119,13.448487808443396,13.128661146139214,14.932286714844235,13.022297346941343,13.91707214429737,14.46204420542559,12.129331597704018,16.782157743587234,11.240403058596433,15.082837803345265,11.174489419709708
[0.0-0.5),14.194141917830795,14.908660530060011,14.257619971810568,16.952955965530663,11.295784214129277,17.853655631436848,12.446318442371608,15.254183275204381,14.766064169363629,16.833618837899717,14.549584470123301,18.628800293153915,13.274865910823218,15.476886212591053,17.251611915891306,16.49244081032158,15.13987721357785,13.38976086681044,11.934928750106813,12.65416748236825,12.543966462092788,16.14143997840779
