"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.09624822490431478,0.07497593658347407,0.05466404780281822,0.046824053054372865,0.03933143406930008,0.03222739878215088,0.022151803684939412,0.019726441051418957,0.016357690724018995
[8.0-8.5),,,,,,,,,,0.13474652037351847,0.1001243324194223,0.07735575637986243,0.05687801410116386,0.04776994487607891,0.036132115551082644,0.028069415759271698,0.022267968442235372,0.020090777607904446,0.015440839287285173
[7.5-8.0),,,,,,,,,,0.1259352494971301,0.09635144816818028,0.07621179720342573,0.057422427421444745,0.04280656512430383,0.034453572753211495,0.028240118516357552,0.022578634617346792,0.01882819198189867,0.013542810218013063
[7.0-7.5),,,,,,,,,,0.1268401870426177,0.09145599613806638,0.07216913595344802,0.05555721262397662,0.04207021197473151,0.03310810121496757,0.026274899749489607,0.021505824885158467,0.018228219896245818,0.012723834582980634
[6.5-7.0),,,,,,,,,,0.12477025597831594,0.09493867124589027,0.07048124842876226,0.05521250782941133,0.04018384610272677,0.034619634235429006,0.025378926203955206,0.021110098296782655,0.016417306631158063,0.012879737355698796
[6.0-6.5),,,,,,,,,0.17314215669748198,0.11951594422168457,0.09310284030004265,0.06997297126665317,0.051105967175831275,0.04173134520840418,0.03322936777662013,0.02568164257357693,0.018721398022222023,0.015522167703953245,0.012654552327507493
[5.5-6.0),,,,,,,,,0.17138951993006676,0.12858450621763232,0.09052320126146836,0.06592718739003553,0.04983679416432406,0.038517954774494746,0.030118766001637865,0.02404407477755748,0.017185282473440554,0.014524820893599378,0.011747099752824492
[5.0-5.5),,,,,,,,0.24420802439681658,0.16972855369131776,0.12370147380620758,0.08881534204944498,0.06368053368899457,0.04950180874552918,0.03682675048039067,0.0286633327108233,0.02142361036446127,0.01645622599443001,0.013558910030273156,0.010451650145074893
[4.5-5.0),,,,,,,,0.24543619851179765,0.16418022676376953,0.11324710877494973,0.08522042632808513,0.06368948918646664,0.0465400117506855,0.03528548675621653,0.02792382199588221,0.020484225755684305,0.016596521157888424,0.012497359144530474,0.00970436585308493
[4.0-4.5),,,,,,,0.3607594197279349,0.24173368883986027,0.17252127696967606,0.1148400815935772,0.08499045000814605,0.0625810148227839,0.04520473991845003,0.03388797175056083,0.027069298674616438,0.019572100179037502,0.015340659774157295,0.011678331811463096,0.01022567952130933
[3.5-4.0),,,,,,0.5303242681219112,0.35725873549348863,0.24175355186959724,0.15779995037413858,0.11764682633807438,0.08395062636024789,0.060185301750215615,0.043665406396731374,0.03385440438950614,0.024218806774932704,0.019141110942027015,0.01461042483000463,0.011067249519132419,0.009236094034850127
[3.0-3.5),,,,,,0.5439503510686159,0.36938267134157265,0.24334092834209617,0.16295924315823418,0.11238921929229169,0.07870488342274098,0.05522100706884775,0.04200574007340781,0.031227338632848545,0.023087391572211225,0.017985254734201383,0.014066391248345717,0.010278215318301578,0.007715568144563239
[2.5-3.0),,,,,,0.5506909206856748,0.36226271888991285,0.2453204356810802,0.169035903089086,0.1096512673195548,0.07810215058279006,0.055881090430990175,0.03999460480989552,0.029976080563968808,0.02139348561087515,0.01647577582799263,0.01271939310226994,0.0092302981498845,0.007643943095869512
[2.0-2.5),,,,,0.8446780124475435,0.5644637165450624,0.37020594868819356,0.23927670766032044,0.16416348079160423,0.11509433010546827,0.07690472415249357,0.05330631843119255,0.03739186355069688,0.02790079745578437,0.020270477184774552,0.0153377413606523,0.011774300451362579,0.008508294466498662,0.006824696525138314
[1.5-2.0),,,,1.1769428183422517,0.8790265980121624,0.5836900558499605,0.37094284553256474,0.24721319951966428,0.168461386155682,0.11068504904465097,0.07419971871822385,0.05111290065604125,0.03708974451837238,0.026757579161566986,0.01990662809893411,0.01470613652027286,0.0107003179616661,0.008373364885519922,0.006420449350279116
[1.0-1.5),,,1.3819203117527532,1.224494660894628,0.9071776602157021,0.6230494873166094,0.3950722406633202,0.2547129314446894,0.16616516672320025,0.109909912341178,0.07408181301648524,0.05163137008403928,0.03704385265844069,0.025927002362094678,0.018505554097408863,0.013894019062535711,0.010393937907398886,0.007838302679416712,0.005951753516848732
[0.5-1.0),,1.2768923933059835,1.4170148299095509,1.2637977811115793,0.9754093129953597,0.6546598024301601,0.42004183492733965,0.27647396452626105,0.17331658019904558,0.11771532851915,0.07635174058032741,0.05281758489458857,0.03704447755926128,0.026113080980995282,0.01861940842893118,0.013823849918306156,0.010198389049012305,0.007558729895172044,0.005718165802450157
[0.0-0.5),0.3767222544457341,1.3424494355710856,1.4717990113226784,1.3431594455930673,1.0789783985033639,0.7558615812819796,0.49594699856374136,0.30566495223892975,0.19943171083443123,0.1283770894957194,0.08202593239144765,0.05541025685153851,0.039199385168499905,0.027474284104051817,0.01967681326809063,0.0142300489326673,0.010533201585466175,0.007812402167602481,0.005886959576086666
