"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.019249644980862957,0.014995187316694813,0.010932809560563644,0.009364810610874573,0.007866286813860016,0.006445479756430177,0.0044303607369878826,0.003945288210283791,0.003271538144803799
[8.0-8.5),,,,,,,,,,0.026949304074703695,0.020024866483884463,0.015471151275972487,0.011375602820232773,0.009553988975215782,0.007226423110216529,0.00561388315185434,0.004453593688447074,0.004018155521580889,0.0030881678574570344
[7.5-8.0),,,,,,,,,,0.025187049899426016,0.019270289633636056,0.015242359440685145,0.011484485484288948,0.008561313024860765,0.006890714550642299,0.00564802370327151,0.0045157269234693586,0.0037656383963797346,0.0027085620436026123
[7.0-7.5),,,,,,,,,,0.02536803740852354,0.018291199227613276,0.014433827190689604,0.011111442524795324,0.008414042394946301,0.006621620242993514,0.0052549799498979215,0.004301164977031694,0.0036456439792491636,0.0025447669165961266
[6.5-7.0),,,,,,,,,,0.02495405119566319,0.018987734249178056,0.014096249685752451,0.011042501565882266,0.008036769220545354,0.006923926847085802,0.005075785240791041,0.004222019659356532,0.0032834613262316126,0.002575947471139759
[6.0-6.5),,,,,,,,,0.0346284313394964,0.02390318884433691,0.01862056806000853,0.013994594253330633,0.010221193435166255,0.008346269041680836,0.006645873555324026,0.0051363285147153865,0.0037442796044444043,0.003104433540790649,0.002530910465501499
[5.5-6.0),,,,,,,,,0.03427790398601335,0.02571690124352646,0.018104640252293674,0.013185437478007106,0.009967358832864813,0.007703590954898949,0.006023753200327573,0.004808814955511495,0.0034370564946881108,0.0029049641787198756,0.0023494199505648982
[5.0-5.5),,,,,,,,0.048841604879363315,0.03394571073826355,0.024740294761241514,0.017763068409888998,0.012736106737798914,0.009900361749105836,0.007365350096078134,0.0057326665421646595,0.004284722072892253,0.003291245198886002,0.002711782006054631,0.0020903300290149784
[4.5-5.0),,,,,,,,0.04908723970235953,0.032836045352753904,0.022649421754989945,0.017044085265617025,0.012737897837293326,0.009308002350137099,0.007057097351243306,0.005584764399176443,0.004096845151136862,0.003319304231577685,0.002499471828906095,0.001940873170616986
[4.0-4.5),,,,,,,0.07215188394558698,0.048346737767972055,0.034504255393935215,0.02296801631871544,0.016998090001629208,0.01251620296455678,0.009040947983690007,0.0067775943501121655,0.005413859734923287,0.0039144200358075,0.003068131954831459,0.002335666362292619,0.0020451359042618663
[3.5-4.0),,,,,,0.10606485362438224,0.07145174709869773,0.04835071037391945,0.03155999007482771,0.023529365267614878,0.016790125272049577,0.012037060350043123,0.008733081279346275,0.006770880877901228,0.00484376135498654,0.0038282221884054033,0.0029220849660009257,0.002213449903826484,0.0018472188069700252
[3.0-3.5),,,,,,0.10879007021372318,0.07387653426831453,0.04866818566841923,0.03259184863164683,0.022477843858458336,0.015740976684548196,0.01104420141376955,0.008401148014681562,0.006245467726569709,0.004617478314442245,0.0035970509468402764,0.0028132782496691432,0.0020556430636603155,0.0015431136289126477
[2.5-3.0),,,,,,0.11013818413713496,0.07245254377798258,0.04906408713621604,0.0338071806178172,0.02193025346391096,0.015620430116558011,0.011176218086198035,0.007998920961979104,0.005995216112793762,0.00427869712217503,0.0032951551655985263,0.002543878620453988,0.0018460596299769,0.0015287886191739026
[2.0-2.5),,,,,0.1689356024895087,0.11289274330901249,0.07404118973763871,0.04785534153206409,0.03283269615832085,0.023018866021093654,0.015380944830498714,0.01066126368623851,0.007478372710139377,0.005580159491156874,0.00405409543695491,0.00306754827213046,0.002354860090272516,0.0017016588932997326,0.0013649393050276628
[1.5-2.0),,,,0.23538856366845032,0.17580531960243248,0.11673801116999209,0.07418856910651295,0.049442639903932856,0.0336922772311364,0.022137009808930193,0.01483994374364477,0.01022258013120825,0.007417948903674475,0.005351515832313397,0.003981325619786822,0.0029412273040545717,0.00214006359233322,0.0016746729771039846,0.0012840898700558234
[1.0-1.5),,,0.27638406235055063,0.2448989321789256,0.18143553204314042,0.12460989746332186,0.07901444813266405,0.050942586288937886,0.033233033344640055,0.0219819824682356,0.014816362603297047,0.010326274016807857,0.007408770531688138,0.005185400472418935,0.0037011108194817724,0.002778803812507142,0.002078787581479777,0.0015676605358833425,0.0011903507033697463
[0.5-1.0),,0.25537847866119673,0.28340296598191017,0.25275955622231583,0.19508186259907195,0.130931960486032,0.08400836698546793,0.05529479290525221,0.03466331603980912,0.023543065703829996,0.015270348116065483,0.010563516978917714,0.007408895511852256,0.005222616196199056,0.003723881685786236,0.0027647699836612313,0.002039677809802461,0.0015117459790344088,0.0011436331604900314
[0.0-0.5),0.07534445088914682,0.2684898871142171,0.2943598022645357,0.26863188911861346,0.21579567970067276,0.1511723162563959,0.09918939971274827,0.06113299044778595,0.039886342166886246,0.025675417899143883,0.016405186478289528,0.011082051370307702,0.00783987703369998,0.0054948568208103635,0.003935362653618126,0.00284600978653346,0.002106640317093235,0.0015624804335204962,0.0011773919152173332
