"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Energy Period [s]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[8.0-8.5),,,,,,,,,,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[7.5-8.0),,,,,,,,,,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[7.0-7.5),,,,,,,,,,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[6.5-7.0),,,,,,,,,,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[6.0-6.5),,,,,,,,,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[5.5-6.0),,,,,,,,,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[5.0-5.5),,,,,,,,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[4.5-5.0),,,,,,,,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[4.0-4.5),,,,,,,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[3.5-4.0),,,,,,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[3.0-3.5),,,,,,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[2.5-3.0),,,,,,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[2.0-2.5),,,,,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[1.5-2.0),,,,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[1.0-1.5),,,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[0.5-1.0),,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
[0.0-0.5),1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
