"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,85.02428276156803,156.14332315046033,120.77651165908642,168.73416400601303,102.98593282128347,208.526804902123,99.48586701332533,114.40004297576552,207.38387780200142
[8.0-8.5),,,,,,,,,,116.45129259828755,91.01138221507527,74.96999381987806,90.10806489102504,120.09934957081262,104.57383303815786,90.36994474404642,90.53742526026528,166.72142661631364,127.18002200229647
[7.5-8.0),,,,,,,,,,133.39733568419987,78.67574387788552,72.18275763913176,113.10995484041035,116.25031138756779,157.3853516114306,123.95254899962383,137.4557993136086,143.55345941303787,84.32222533912959
[7.0-7.5),,,,,,,,,,55.74429890981901,86.80863044962358,74.67303581375465,64.81046263945954,78.26554170486054,131.53484922749635,70.86046973507189,135.50526929696383,161.0578074372219,105.81381437926939
[6.5-7.0),,,,,,,,,,24.670330000197183,18.742310321384394,15.154177734197157,15.71833548248801,97.94848017637649,18.115042439596102,69.25980767326726,87.68893536443662,16.660995749811843,21.484028088477473
[6.0-6.5),,,,,,,,,22.707793187332584,18.33151368999316,16.463513157060834,23.07989413632518,17.486241700642267,16.191697277202245,147.9406466719423,59.983529158978975,13.065724232636184,11.333394538823645,125.30435315742733
[5.5-6.0),,,,,,,,,17.78551256809066,17.49722928724544,26.53977110885163,15.139291558199782,17.112977444192136,23.910427014276653,21.724646998864177,14.52520142319329,13.546107425294386,12.657102848855276,12.592763230942957
[5.0-5.5),,,,,,,,21.71542192662516,15.246910585346178,15.404135171433174,17.9282478581952,17.989072925508964,15.498483240342646,12.800288948619452,13.508721455908622,17.374434216170417,14.159834031167636,14.038840919075765,15.050340753639729
[4.5-5.0),,,,,,,,12.216025958677129,18.599477214057778,19.589954910365275,15.621920831453952,13.239469400699686,13.630818066328812,14.19174603734373,15.531577361351045,12.131551316547393,10.843611719603846,10.7342940014451,22.597043058841574
[4.0-4.5),,,,,,,16.32030969998409,15.531615574215015,14.161819929904459,17.650139209781315,18.91474678204154,13.128118732766735,14.07758771450554,13.162184577831848,17.080077473165943,13.813543474313114,11.03489371409573,13.339001569052094,13.893061895340473
[3.5-4.0),,,,,,21.27595442705683,20.309435386217146,13.282852929782527,12.583496576908981,15.378169578735806,12.16028226294209,11.802140434193966,13.206206625778234,14.55227911156439,10.362063377957465,10.009906613100226,11.675619563333365,13.011994326732928,12.814584881111022
[3.0-3.5),,,,,,14.143542014333754,13.767837557327686,14.388814155073948,11.772994139333093,12.309065938641298,10.493594517999846,10.589932150426323,8.420913853959561,10.55689838615343,11.730508084464438,10.21002374015067,8.491470711858188,9.9663704367359,10.452466819719724
[2.5-3.0),,,,,,16.599501168792386,15.005615208236625,13.615874746275168,12.647936822250552,11.54491350344692,11.384512386332913,9.641803222326436,10.563124587190641,14.330331886091898,11.937054512062167,11.569581842801629,10.763585771713883,9.907793768929627,10.534419894669583
[2.0-2.5),,,,,12.451315319354935,11.376943803296227,13.690095551655437,16.062282623953912,12.93192912059114,11.70114715300209,16.152091079041845,10.072922942740586,9.733996357907793,9.476224629458585,9.595908849674133,10.576090573217423,12.409887813531157,11.985764142664761,12.763352907544732
[1.5-2.0),,,,15.773045993548015,17.782818721556367,14.113395129569264,12.49057241335625,14.574003924614495,18.893896297422806,9.534405904328729,9.012634877666175,9.113262136189547,10.579393273391752,9.318473891411225,14.461146196484874,9.10108032662845,8.66833384850682,11.766131322837289,11.129288543143563
[1.0-1.5),,,12.576082888521894,12.39500959176019,17.186801186681084,19.381907040367107,13.50743214088464,12.835400990785173,12.696869690615012,12.376125738919411,12.471467481751777,8.558402014203242,12.542957586824144,9.225496166464717,10.60820720737596,10.26143640656303,11.027744111122265,12.545139935418387,8.834796589368139
[0.5-1.0),,17.343619297844167,16.365726963313648,19.962224191834977,16.408311846750525,17.901063887611027,16.85642929323775,10.972273854072673,14.046490684109527,10.17077173039404,10.940474757204083,15.148216196208104,8.840260445869221,14.008971432461763,12.273153715760492,12.468394633297514,9.226648369881353,9.59916488577616,8.236649413480494
[0.0-0.5),16.18569263870727,14.258487850052385,15.910884941846636,12.582338991612282,14.369611622838724,14.374623245864672,14.44968302881201,14.306790382244797,13.583461469388018,13.98414991891134,12.034487245826144,12.933697993409806,15.43837080950573,12.7767602734185,13.384354838996282,11.985500651502615,11.899260905441146,13.073294600122436,9.49563221040141
