"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Minimum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-45.507103612155866,-39.45913044170367,-64.29907415147099,-70.62052070793622,-102.27002232587077,-108.42251556328172,-58.24484475914563,-83.21949921532763,-114.5109130430117
[8.0-8.5),,,,,,,,,,-71.21512809569555,-52.08271593359732,-39.49007896081285,-26.893016480932683,-45.73585729330963,-64.49330653119603,-39.42011116047416,-51.87271403402278,-51.86663338820106,-33.02058301183136
[7.5-8.0),,,,,,,,,,-39.217171029013336,-27.040012458830404,-20.657014023611662,-14.381421579767547,-8.038082982545307,-20.518758706421714,-45.59516649562084,-45.621095279993966,-70.68020181262868,-20.503211009262724
[7.0-7.5),,,,,,,,,,-14.490462723595012,-8.921287472183364,-8.167189959919892,-8.056639979201083,-14.339457774158369,-20.512021253989918,-14.228170406902064,-39.34587710161263,-32.965027353080224,-14.122489542894847
[6.5-7.0),,,,,,,,,,-1.9446157734837457,-1.8508787935915543,-1.827372873130258,-1.8253510123212058,-7.997006780528328,-1.6725480578971956,-7.95181408608127,-7.858716382831723,-1.5966194496075916,-7.913642889777734
[6.0-6.5),,,,,,,,,-2.076259322638436,-1.9532205989919655,-1.908954676993519,-1.8993166950081795,-1.7583625346643152,-1.7491321613431765,-7.901370774142582,-7.866295436629751,-1.5995288603474844,-1.518659895705234,-7.819129681970532
[5.5-6.0),,,,,,,,,-2.01873000695095,-1.8596513437246298,-1.8815342101849901,-1.7077933902803744,-1.7238187894891792,-1.8746490140573837,-1.6896030240842403,-1.5950574667239505,-1.586707224427351,-1.5110836245179555,-1.557966703972936
[5.0-5.5),,,,,,,,-2.016004365755772,-1.8692398535929209,-1.943391048724696,-1.8450355162377932,-1.7465203318282942,-1.6996446286803906,-1.5956416013914394,-1.6227676928700638,-1.581268316531968,-1.5812289402680972,-1.5204794668147696,-1.5517505397436242
[4.5-5.0),,,,,,,,-1.8801818247614228,-1.9074313616617604,-1.7949027473014303,-1.7725402890579705,-1.6819061224577054,-1.684211481534712,-1.6286379483108537,-1.6344974556772283,-1.5270815607600834,-1.4963281727142073,-1.4876140026626679,-1.5640344215195303
[4.0-4.5),,,,,,,-1.9724638435712696,-1.8153778092723625,-1.7918505163241285,-1.833915355290146,-1.8439237436486435,-1.6483146654096659,-1.6490204175845868,-1.5669575061217418,-1.6214629521695059,-1.5578588627944747,-1.484495035633538,-1.4435428825191676,-1.4586103759105322
[3.5-4.0),,,,,,-1.9568518693512233,-1.897595664080774,-1.7919402979709342,-1.7664867130713389,-1.742958456669191,-1.6249457413717687,-1.533024406642721,-1.6204963086581852,-1.5616774770291086,-1.4695924597809051,-1.454960566961039,-1.437966011638552,-1.4232156205793705,-1.4332643276293624
[3.0-3.5),,,,,,-1.7665222028638519,-1.7971951184658643,-1.7635258102121394,-1.6494781492101493,-1.6614042186371911,-1.5943156055116512,-1.5312557383253316,-1.4605404134864597,-1.4874139190112723,-1.4119685005625877,-1.4067707257543764,-1.3356531464390011,-1.3376013430248497,-1.3497583724266549
[2.5-3.0),,,,,,-1.688582082521544,-1.760082325165537,-1.6709862246163258,-1.6359072677693614,-1.567082710931813,-1.57685842353082,-1.4661387277910498,-1.4652163140629166,-1.4878728426035477,-1.418853651540928,-1.3356488575702266,-1.3233657898955027,-1.2249550693731,-1.2919477734288656
[2.0-2.5),,,,,-1.0479835191388882,-1.318211251168651,-1.567581294511083,-1.6266729309192398,-1.609703343638402,-1.4965359821207052,-1.5869226929559548,-1.365330807391426,-1.3190852420286239,-1.3397348706973857,-1.2881686002936852,-1.216298536469547,-1.2526588949789796,-1.2051124167035905,-1.3196239665719178
[1.5-2.0),,,,-0.5035957123044925,-0.8731952036112032,-1.1284612680062724,-1.2618045651348084,-1.3858306869450543,-1.5767446945596237,-1.4154367232645892,-1.3629423206248994,-1.2700270721551865,-1.2984686105724383,-1.261230640088753,-1.3131841722702742,-1.032827901664696,-1.0647429980310374,-1.1429603167873086,-1.0770035787586203
[1.0-1.5),,,-0.20857336090922649,-0.3334081355638402,-0.6201580871730086,-0.9165991562501618,-0.9827129111117269,-1.0655549420039063,-1.14544660361943,-1.0903462407499327,-1.1378764694651324,-1.113692780178318,-1.1858950190975313,-1.0070443224242034,-0.9587198701304084,-0.9580287323939166,-0.9451634208445043,-0.8212581998917792,-0.7788957390104883
[0.5-1.0),,-0.064717067680419,-0.13312551891431354,-0.22736984301754393,-0.41949036392197075,-0.49928337245647375,-0.6120470492362312,-0.6771933723899003,-0.8257775371095057,-0.7653507727355459,-0.7746576334565349,-0.9302002074275333,-0.7237320223221372,-0.7745432425464672,-0.6944403330201336,-0.6623169260088901,-0.5958557047871142,-0.546093766112584,-0.5483402467328818
[0.0-0.5),-0.010038275712889464,-0.022680398144503948,-0.042789667410757175,-0.06902137785150697,-0.1078929719928036,-0.14109461610177995,-0.19730410130317852,-0.2351078677577009,-0.26910996159937123,-0.2735629864846992,-0.304076977627097,-0.2614219749965031,-0.25185316898508475,-0.25926194562100663,-0.285509816576712,-0.2407322055380332,-0.22561519638906274,-0.24083847036758196,-0.20247591121238873
