"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,34238680.61912503,57248439.52541192,40470643.00919374,49915413.98147402,28161378.83312174,54119466.767070174,21787212.678043947,24709895.743020013,42123730.27390589
[8.0-8.5),,,,,,,,,,52248392.80498707,34940688.412659325,25527514.62542546,27599575.705501422,31959604.496783957,25074051.199100543,20669155.900491633,18716791.20044848,33104553.9530537,21343229.847264368
[7.5-8.0),,,,,,,,,,55824385.33205537,27934405.397044044,23549140.9301381,32424657.710039515,27782558.313118394,34918247.069057696,26968153.043961093,26801830.776227873,28137595.147683922,12566162.748177722
[7.0-7.5),,,,,,,,,,21694800.610641047,28835936.413923442,22202148.399299715,17216845.27902153,17806153.131677434,27397535.38782958,13788443.034984607,24461193.358546905,26707506.549810216,14535800.202037012
[6.5-7.0),,,,,,,,,,8750004.675101437,5581195.995870285,4123270.272934076,3782471.3502614964,20395551.44123012,3310086.8959756196,12195072.766054362,13977383.524210203,2413613.8451436185,2683890.600051134
[6.0-6.5),,,,,,,,,8867415.047991468,6131628.9942110935,4647109.616375499,5828021.455937816,3949355.6907510455,3292908.8341640723,25500085.261027012,9659724.926468248,1851730.7336162634,1547087.8804616095,14431958.931641273
[5.5-6.0),,,,,,,,,6569973.432165738,5545466.752778922,6646463.60519908,3573545.0307173515,3553021.0088869636,4289335.318401248,3479566.8521375475,2170070.1021556593,1782702.7434816565,1531923.7583426104,1347313.6333129206
[5.0-5.5),,,,,,,,8226971.83718229,4924493.367597306,4163909.8017184963,4261575.259793347,4031540.9214587715,2842108.5711722816,2046125.4898674772,1989333.9400993972,2263887.5775072156,1669609.6691628727,1585872.1456973667,1434915.6536874936
[4.5-5.0),,,,,,,,4165461.3733461285,5443040.239039925,4861769.0868839985,3233563.8419547896,2663261.3710345365,2298932.033510935,2083418.8751355214,2038375.197715938,1410489.1754542408,1180361.263477007,1034412.1884283441,1887906.051658229
[4.0-4.5),,,,,,,5198871.440055727,4478626.186971663,3541133.5447806055,3908976.216000429,3518696.5199137456,2230330.5165052996,2180723.0028284644,1749595.8642909331,1949920.3076713225,1466955.761637361,1035531.7601425634,1117630.2959568547,1050905.7085107977
[3.5-4.0),,,,,,5490425.844780116,5544375.864499304,3187521.783814427,2694700.6423510374,2960296.58496188,2005315.0562438082,1712568.1800736014,1704090.1116986892,1690776.785743385,1023740.526044696,934874.13739584,918459.8629664498,956892.2607956285,824848.1868955336
[3.0-3.5),,,,,,2750982.120808102,3030602.7015581555,2841106.827550024,2125812.561538895,1964533.7677414208,1446598.369623521,1337350.4236281822,916044.3908014066,987422.7097851727,968324.6806849102,809443.5572632075,584998.8312439899,614203.7729421433,558196.1052542557
[2.5-3.0),,,,,,2249247.3380995602,2435866.076624762,2194939.3694955804,1849614.3553852902,1401262.527162523,1293917.1215385983,938676.2805565662,972389.311806434,1116368.7310609308,798197.7505612848,725525.0649177388,581911.257247024,473663.55758581817,460632.50002295733
[2.0-2.5),,,,,857089.4278740956,1008599.4837648057,1449837.0774050402,1763620.368246749,1342928.3863667697,1150431.573336394,1364382.2189016507,765018.2290383469,643664.8730696033,524016.6832690765,495284.97304051206,470491.94642989634,512264.41772946034,434627.4947053985,430529.81255817146
[1.5-2.0),,,,737861.0785608749,709788.7894196638,740078.0380455799,784499.0706268641,1000494.2870121603,1378712.6799383524,604607.3217450249,526079.1484482343,453013.5090376162,505955.1537086714,371159.09959388815,527694.3102516778,284976.35604267224,257243.64044055948,297905.38878445915,255453.16292865758
[1.0-1.5),,,250524.32798120237,295937.85173756984,345458.17323775945,499454.97023243125,419155.9419129931,471539.0247889022,458675.0814417197,415691.8349874296,406268.7779751059,263592.4231007669,358925.51571660576,224184.56168626578,233433.387112336,199457.41419565547,184818.881632515,190181.59026315252,118379.67877713857
[0.5-1.0),,72293.05898851748,116822.9736567825,170207.57500843596,118551.45291889308,163961.3560773305,186898.98741983215,133959.47470130087,193109.57817568863,138096.84250920778,144180.2536133873,190052.9195458625,100604.18247736512,142469.89149997005,104730.72143269712,102559.05441294739,66246.83916170849,59010.33847792599,47126.00112432632
[0.0-0.5),2508.6161334546755,6646.185443780332,12748.338856098526,12078.498764889298,11719.87476012989,14231.209113075312,17103.60453216912,19624.21829435865,22764.689682439413,22326.19396113407,19163.626522161263,17877.804512246552,20979.897008148026,15594.424887639152,17052.943130786993,11257.838352669547,10550.995589017297,9135.233223965832,6813.59722998849
