"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Wave Break Calculation [binary]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333,1.4583333333333333
[8.0-8.5),,,,,,,,,,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375
[7.5-8.0),,,,,,,,,,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667,1.2916666666666667
[7.0-7.5),,,,,,,,,,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333,1.2083333333333333
[6.5-7.0),,,,,,,,,,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
[6.0-6.5),,,,,,,,,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667
[5.5-6.0),,,,,,,,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
[5.0-5.5),,,,,,,,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
[4.5-5.0),,,,,,,,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
[4.0-4.5),,,,,,,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
[3.5-4.0),,,,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
[3.0-3.5),,,,,,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
[2.5-3.0),,,,,,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333
[2.0-2.5),,,,,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
[1.5-2.0),,,,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667
[1.0-1.5),,,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334
[0.5-1.0),,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
[0.0-0.5),0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
