"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2208838.3249117984,2371123.9558653357,2101244.1115655554,2271388.885954291,2132982.9336199057,2524344.414603657,1914062.1680282024,2226336.613166521,2194593.700413827,2267772.515262941,1844937.546765358,1769221.5292463205
[8.0-8.5),,,,,,,,,,2222080.996236221,2334920.2266526637,2133746.623319835,1779694.5246093746,2013036.8249187344,2106621.676500615,1890601.5202571084,1683490.7432614367,2412691.5541752256,2073702.7611903264,2301441.1188760325,1926520.5087099725,2120254.400408201
[7.5-8.0),,,,,,,,,,2110032.0363413496,2122202.65546301,1870577.083174157,1980474.9486761172,2274437.1967033353,1951273.403049028,2201978.3249969264,1748235.775337968,2437535.8392238277,1832002.935889957,2298920.350649538,1804223.998507951,1727030.0855294538
[7.0-7.5),,,,,,,,,,1761910.7483987515,2074118.5953457153,2024456.6719303944,1548383.9308795603,1849916.8071445585,1882302.6200447024,1840174.0469974144,1821076.4015945366,2033250.1520586417,1718462.4957394553,1954821.187078476,1931452.635464118,1740040.2128862396
[6.5-7.0),,,,,,,,,,2369679.0204923907,2235922.684598746,1808183.9694738514,1750401.499364642,1655197.5429643285,1632481.303175791,1588543.3323939212,1626308.045106781,1968370.5572156804,1665135.943438298,2075426.6349407726,1661693.1885434175,1755269.395758548
[6.0-6.5),,,,,,,,,1675504.4927691473,1682800.8032273399,1909145.5818215252,1598603.5884138583,1542711.5421188262,1994364.8721714816,1764072.1833583221,1630449.9224203725,1322441.1775338328,1678545.096021784,1769141.494015602,1523460.648936649,1547345.8605256302,1426237.8124962854
[5.5-6.0),,,,,,,,,1862006.441331041,1819043.1020364189,2273939.082688588,1376542.3269991404,1570101.5655898333,1583281.5021009452,1532376.285994794,1587341.8826499267,1385694.8803227588,1448819.104240878,1706171.0463974737,1733034.7718008535,1547156.7951660745,1539522.022437378
[5.0-5.5),,,,,,,,1401640.730360892,1656428.0785043119,1535233.8520744494,1643146.846791077,1298496.6220498194,1485919.5683794217,1479886.106259843,1369428.7117811656,1382723.1455952397,1109229.9448794392,1430791.8399476064,1463097.2258753853,1399400.3150329944,1475768.5668021748,1270154.78363316
[4.5-5.0),,,,,,,,1353610.6745129938,1269403.9342463124,1464609.0541995193,1426079.7520762053,1340673.9719541438,1234792.2554882597,1134035.5281653504,1321870.3950621155,1218008.4673476159,1302131.929235329,1259790.5413264257,1438300.7289510348,1288094.2494968907,1130438.0631352407,1326162.4911993041
[4.0-4.5),,,,,,,1204521.117667381,1267419.29513841,1187935.4199176652,1285986.5407853238,1491137.743463093,1229659.1008147325,1233081.135786,1171691.6120569825,1215349.0382487073,1218812.819560508,1145595.7840945625,1266220.8496662858,1253846.1626929839,1370092.0847367218,1131479.1635558847,1119108.9966899867
