"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Power Ratio []",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,14.860987463106868,24.216930957562596,21.27590404193949,20.653396255618507,19.294294794241395,27.295002190907553,22.59022098607319,21.08837936412483,17.67978244558001,18.278006852403188,15.654690574988663,15.481543955390174
[8.0-8.5),,,,,,,,,,19.077696006198774,17.88268788562898,20.130228026491867,15.847236681586558,17.146781364496903,22.448219937137683,17.878066083472557,17.826679062731273,27.515766720507045,19.621657831037616,24.796362052614825,20.270161749019532,23.27292245663795
[7.5-8.0),,,,,,,,,,20.75903724312316,16.977999423827622,17.348375666566483,20.57608079684795,26.710863142146444,21.728008031143858,28.02667518499672,20.792175507265206,31.015416433190346,17.37636105731099,27.641176884232625,20.93874611655977,17.72751902831141
[7.0-7.5),,,,,,,,,,15.4433388935264,18.090682983227,24.361730135661624,14.257561745314552,19.814617474632964,22.329009166985582,21.643475528676763,27.146394697266466,24.904989959963203,17.743983822859615,24.076364043245093,26.98000557409531,21.065325109120497
[6.5-7.0),,,,,,,,,,33.139145833991776,23.9022837146182,20.824574399092246,20.674422843995085,16.952114213817193,17.917064807939568,16.75802571849682,21.9762021557184,28.25178195504607,18.931782405683457,26.371615737360315,19.568501553632913,19.776039733653302
[6.0-6.5),,,,,,,,,18.19340779440006,17.98059484009965,19.095485084481258,17.638366104729585,18.003478834831235,26.84060023639214,25.23908765808446,20.508625140182236,17.1978164918071,23.14007731157555,22.80316797480927,16.829651372266547,21.03639616651623,18.026512871926627
[5.5-6.0),,,,,,,,,26.542370429628896,22.6463784075858,32.0199632177445,15.342633176812779,21.609021772842105,20.505840519720696,22.066032328653204,23.720727452200098,22.78335061599152,19.027851063395094,24.9098172181236,23.956036690224607,28.46268753256924,22.88890962177714
[5.0-5.5),,,,,,,,16.060128273209376,25.022415148106383,19.933092716408478,18.407127882480268,15.891466672025476,23.073083912753674,21.426195278021748,19.81385295238789,21.84673886118095,17.1795443568584,21.880922242674302,21.159119963518634,20.02862761659837,27.281539357021543,20.701341391663796
[4.5-5.0),,,,,,,,17.95840787467078,16.92627865636934,22.254524583644645,16.89856940048245,19.179084337958404,18.187589830732367,13.438367584290537,21.473060283107177,19.488798460182238,27.928621423121395,19.981459731055416,24.575437667335056,20.81225842860842,21.515500346566917,24.032566435514113
[4.0-4.5),,,,,,,18.888613878802364,19.946714643571614,17.27592777926687,19.2632796722036,22.56781161242162,19.57775873152027,21.292766615550313,17.548161443068235,21.60295178847043,22.58109303356352,24.69582485601451,24.685834144899907,21.89609721318656,27.447071117213632,24.956134462970656,19.677916124254267
[3.5-4.0),,,,,,24.122025684249596,24.625021437280253,21.003989339812026,14.58770057651026,17.0174192754332,12.939276346883762,19.542644433258992,27.47675702258629,18.42894910090153,24.71541804517257,25.596738528348514,19.94223170875178,20.95638086234816,17.594561760368844,16.201757946557116,29.23964485372531,23.611166253140638
[3.0-3.5),,,,,,19.90638281966298,17.174889954548487,15.592243779688905,18.25756160889943,16.516467322600608,15.755898101804506,26.547760035360618,18.879629852845486,21.229899862033896,20.28756450251661,17.374985865011382,27.694171529112076,16.61696339893969,17.925463152505824,21.89861711845647,26.299312257616116,22.819071229886966
[2.5-3.0),,,,,,19.945622638095852,18.724917979411828,20.36720765079088,22.498088212251798,19.819234836077904,15.000670193139783,15.904113898007113,20.710438243450163,21.68949315764609,14.930514944538192,19.182990557988767,23.64142026510926,24.389577692024208,26.933767649256037,18.443773714246024,15.270332879519392,24.089370239835446
[2.0-2.5),,,,,18.98467808588704,20.35543647540394,18.037307083840254,17.701405933039858,26.339507898365234,21.83686775856569,25.063419520757545,19.094890104104607,17.046047062479946,27.930673423061485,15.827620915707287,22.978157587626246,31.527909401512286,23.89709765000789,32.144419973219335,16.221171167822543,24.562815258291153,14.622865772246316
[1.5-2.0),,,,27.542782550196726,25.628620441024296,19.837740518099448,17.12535747830481,25.089078477141225,17.700943691164785,20.299300439334182,19.74501539718001,18.466708721685325,18.99678245080307,18.96473495641157,21.451746470262428,23.453430451526195,15.683723084021851,16.633468155424175,21.867531367478158,20.04191451935673,18.213484870658665,24.521559104642733
[1.0-1.5),,,24.98603038760879,21.41813172692494,24.10447232576535,26.064421173785586,20.605281475095378,20.58990466816995,18.814958799598887,23.919651109027424,19.168748376007507,17.883778502704068,22.096015961877942,15.942858434204188,17.210018805528303,21.31310752665925,18.874777835440057,18.782810816411075,12.664433550419838,17.712304152204222,20.804113696457303,19.1459933075145
[0.5-1.0),,30.0290598414073,22.353453916370963,23.110901636916736,20.634730484699308,21.582619539238795,18.977878049316043,17.501370113667786,24.277421100186466,16.699519035493225,18.618320077689166,28.190838077635885,20.34756407003804,20.503159678616502,19.83601358953132,17.68533797766395,15.510265502912397,14.490338431022261,15.374451144692973,13.47359839650784,20.873329799597936,21.767770449826262
[0.0-0.5),5.426606193530385,40.24900986739034,31.396720588632984,19.275030916707966,21.75648398229847,16.48425386997963,16.8684510993701,18.156784478278755,19.049047075367977,16.21196467100016,15.59298540942831,15.470590311502782,18.395968782094144,22.76301701833446,17.528745554640498,13.064739672944183,17.75235064257924,17.072410209246453,19.87807257493263,15.080867095217291,20.388462422415472,20.974620883302254
