"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,2266238.379161912,3616441.5192374666,2784802.229916172,2669757.4693914736,2485343.9762755064,3328194.745558565,2296723.9966673376,2311158.643004317,1993614.8765878594,2030090.3753719556,1626548.7966973425,1344739.3411940115
[8.0-8.5),,,,,,,,,,3365516.6287360913,2560110.3392569325,2906358.3184150727,1967502.266116788,2101581.1467987923,2456760.93345005,1832169.6587059486,1742721.1498277455,2725650.4852082217,1777067.999064902,2123301.6636856217,1779738.1709934257,1941975.5283796203
[7.5-8.0),,,,,,,,,,3056147.1050340976,2091057.841284092,2180833.5065341988,2459460.600822537,2711967.994444637,2083613.7509068642,2534529.3279635375,1890612.7121247437,2764573.5198809905,1355857.5926938779,2094703.0375927025,1542350.1085993769,1274730.805998216
[7.0-7.5),,,,,,,,,,2049209.1018643703,1974901.129299381,2597802.654086472,1446619.5246819856,1740201.2417206406,1915698.7944948904,1718566.6018294888,2070444.0365288672,1883748.2009680246,1201040.09597451,1503682.8883004163,1776291.261513577,1278536.3684518158
[6.5-7.0),,,,,,,,,,3902320.609570755,2319170.6595771955,2022079.1467918819,1890077.4411741195,1364187.7856545437,1397083.2739523437,1243968.3079259747,1609240.4294746607,1765828.5884345474,1106654.5537547113,1696415.028635835,1287023.870605785,1303637.7311268884
[6.0-6.5),,,,,,,,,2181632.650914846,1867378.8568999644,1664378.3184071872,1534172.5901399318,1430082.1751877475,2040812.8947401936,1683139.571643943,1327242.2418903708,1015837.848442591,1259684.9530721223,1278439.6893753123,874299.2104901469,1120338.3710994464,829861.0489344718
[5.5-6.0),,,,,,,,,2771490.623944847,2195099.309216249,2415534.4840873913,1115857.456508059,1485399.288714944,1230792.0240022752,1236761.1587101098,1250036.5917188714,1134736.7320495315,916956.0930478576,1175850.3158258304,1150291.5316538184,1116905.0623915293,989875.0848524671
[5.0-5.5),,,,,,,,1476584.4154122612,2129945.639232768,1517378.2406466417,1195464.5381611043,985176.4083297928,1318292.4138970727,1067852.6584720514,964130.8283053483,924900.6389115516,686805.7479981517,889613.4477174719,842104.8600210402,724796.0239474877,1000020.2424339616,649340.4011752981
[4.5-5.0),,,,,,,,1370270.8360258637,1194699.525389682,1375697.9985457733,875485.434699158,1054976.0219613805,880130.916364033,597073.2671203362,888958.834638843,694722.9236583032,985869.4290674448,671486.9909405939,806349.9736482467,605064.2112497692,554266.938212419,709236.6144451486
[4.0-4.5),,,,,,,1167568.2619384448,1183479.309209678,1025022.3509377717,1027245.004011152,970066.469331434,861721.4726392874,873243.447051665,634841.0179495369,734161.3943320118,697970.4873000633,739823.0250203755,677397.1415980471,595013.2405226375,696238.8570868004,559137.4099674011,486322.5603844861
[3.5-4.0),,,,,,1201202.8090976365,1237661.2471659281,951147.9923375479,642968.2648448886,728269.0166065155,457266.8499672119,671008.798321492,867401.9602377157,548767.1495771096,632069.7021352681,647940.4148639572,470140.4794837495,440099.34590200876,382468.41724575945,302478.03711436223,597704.292224889,397665.0641379209
[3.0-3.5),,,,,,743995.6721699048,653112.2148313487,550481.2334860761,598265.9343655258,501939.3626451674,413606.0237680059,686026.3253371532,463285.7566795644,466107.99415613216,412631.74518493924,333293.08217933,519773.9033463607,267057.5586172759,251656.66436320991,316491.4711422848,367371.43486644235,341153.1174072446
[2.5-3.0),,,,,,530971.5863036133,513920.91945387097,531593.8929869633,580757.4288671109,441176.8327727182,301685.66196725855,297443.49223331234,377761.64051482594,353156.6167462473,216861.25513830085,259381.0589739215,313538.2353661523,279343.7620753807,313525.0556702417,228128.49883153877,152795.55872911954,249502.19272743512
[2.0-2.5),,,,,338977.9772266169,373119.04451731825,334955.34187914437,307413.07125716435,436894.96701073524,354399.9864073696,343802.6439847903,253750.2190394269,202207.7866474701,295228.71298746206,160755.9495457916,213913.99803840244,270762.38815463346,188940.5570724082,258969.68923492054,123396.4133312279,178699.00401358708,102830.58002234426
[1.5-2.0),,,,273564.97511399206,276838.06198231067,227055.23850628678,191224.30003671575,267579.6773727678,189907.19568382367,193014.23470160147,165563.37099272653,137186.5204437154,140935.54708789053,128208.58501959628,138514.8261634452,136389.204373565,89492.88265582953,84524.63919393007,104159.56729673492,94540.20206153282,79910.7755495179,103267.2698046596
[1.0-1.5),,,96141.47086679755,109012.61939842213,135826.17923729218,152351.50586050088,117636.89896691857,118405.94085387915,95941.00908189583,111791.35954011432,80332.442678924,73787.24560021044,88265.73631415477,55450.13965200107,56418.37399074916,69207.40209527746,55673.25139450528,51124.92387052277,31302.422743837575,41271.03485853923,52690.906661101515,43019.472933542434
[0.5-1.0),,20561.274262006515,31189.64467624282,43490.036230232305,43203.21437935503,47307.05966585081,41217.80523837342,36533.90388907142,48452.16559945249,30209.459677549356,28042.386550386043,43296.79499943436,29725.91180421509,25724.136779922577,23476.644204836768,21524.99870321381,17797.826794880533,14582.156092241248,14680.505245820857,12214.395320374986,18590.73436660517,19494.648902108504
[0.0-0.5),242.43045311732186,3401.207217664743,5481.123080415622,4610.317754621362,5960.133193079441,4541.215463903626,4731.457137366564,4931.950012333502,5376.4387790147575,4094.3456355141952,3219.388243173964,3000.0757562535537,3514.6256965424323,3990.1167986543273,3341.6174188404425,2190.279852860677,2874.6060369350325,2627.9895256937198,2819.8881420298603,2107.422370058588,2744.020485344828,2937.718659520747
