"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.096484838611688,4.51198258554233,3.9997476760629866,3.6431675206812524,3.454513984790364,3.3571140754491644,3.6381442856840334,3.5232783068943525,3.64162382786573,3.793871283973804,2.870767304672987,2.9394767021050447
[8.0-8.5),,,,,,,,,,4.657409127992717,3.796563538323873,4.620902111644619,4.1905759515627405,3.4691620906361944,3.0904721003407203,3.5135590915071355,3.5467436695791807,3.1627777415545326,3.3486563974301937,2.6256586822413217,2.860494857351412,2.834035302404432
[7.5-8.0),,,,,,,,,,4.499459398109867,4.622873239909417,3.917502067558025,3.9388871286697613,3.821850976542834,3.400796095607621,3.241481945396255,3.3374122214561917,3.1051217214838673,3.2439316980851447,2.77585489211501,3.258371264779211,2.7145431138017737
[7.0-7.5),,,,,,,,,,4.249725650825255,3.547708128262454,3.2439475422890447,3.6530692475414104,3.443663878513193,2.8605097056686475,2.8123712392837006,3.3534857055750082,2.858488734682611,2.7566274836038986,2.890402056098599,2.727620857248157,2.6205900322927276
[6.5-7.0),,,,,,,,,,3.8695430304144565,4.003526433763499,3.8295806416455704,3.1349360863380333,2.7566253745205134,2.7589525563825963,3.167768310285262,2.752764193932777,3.0873573711027182,2.833034459968957,2.747618982943927,2.505321337180809,2.5204631072214054
[6.0-6.5),,,,,,,,,4.535976436648618,3.8397052963867213,3.2235568825269216,3.654359664325546,3.325286583976597,2.793709104200776,2.905365505301879,2.828971726542859,2.343682405368635,2.3998209993235005,2.872906910961366,2.438679632693772,2.508200382143797,1.9808551613192955
[5.5-6.0),,,,,,,,,3.6679329091018253,3.476336493925001,3.942691337662995,3.035086426516245,3.1916708869093853,3.0466062040611317,2.691126316438936,2.6178536671330552,2.1553243423575226,2.565154110575746,2.201714933922367,2.834764955893847,2.180787354333115,1.8595129908122818
[5.0-5.5),,,,,,,,3.633149638231451,3.65394729161182,3.070460348455876,3.2978602560625387,3.2730238366479156,2.8919191653418443,2.5323254926985372,2.5986106846564434,2.516860159645293,2.524143625461303,2.542445635405938,2.094319820961386,1.811886859689078,2.1097374809194123,2.0469152594680646
[4.5-5.0),,,,,,,,3.150977424995745,4.400443552650523,2.776847857680625,2.5465567147966834,2.7722584492202005,2.634585437728874,2.329792384846467,2.1983930728009584,2.485994971545819,2.2466939645656314,2.118626399937698,1.7364197427093095,1.8907674867398032,1.7770067938076481,1.7397727079323604
[4.0-4.5),,,,,,,3.2827814771394515,3.3920119044951615,2.919137860188893,3.0122471422215145,2.6444202373284504,2.7582826007584518,2.782377730689026,2.527344017713258,2.172470352673422,2.369796575856332,2.0471083386077535,1.9522405640878493,2.0340715051699103,1.5447405174103626,1.4024635617925392,1.6723468697820083
[3.5-4.0),,,,,,2.9256797374905146,2.9702854475840565,2.7023525769236008,2.6166477683785763,2.638165311384107,2.252358525137087,2.2897674589843993,2.1219610640802373,2.211379769843229,2.004491689055859,2.0447731375636407,1.7104732672811518,1.8487697776222665,1.8503903318062578,1.3440988435974386,1.3742243864924628,1.4489650565645342
[3.0-3.5),,,,,,2.4242737893880566,2.616813607660773,2.425272190618172,2.3447587137220625,2.0170873611390037,1.8711913783268759,1.9481301482623403,1.9501583937628444,1.8925972360719905,1.6989609218212003,1.7884608483461595,1.564965086108973,1.6113709270110375,1.30926436944538,1.4631947843820985,1.612495679750533,1.0855686775209743
[2.5-3.0),,,,,,2.2392969243002643,2.3170434879900017,2.3575708588557918,2.3758765338002914,1.9262023952193026,1.7827928506626451,1.9336442025556986,1.7588730616205603,1.8844368452111664,1.8034552749754567,1.5417229733437499,1.2674982677095963,1.2875592047327282,1.3584601431853212,1.3125958104025437,1.1521452942020989,1.0243301985276312
[2.0-2.5),,,,,1.6558526036111212,1.6812445279874704,1.7821109818740333,1.7847763657906999,2.242243829354528,1.8053293133143822,2.006309862264973,1.5143008786632344,1.5302058777677496,1.4948725189866894,1.3527674006313835,1.228988140083158,1.4111935255802646,1.005247307674764,1.2429084715533352,1.1351409614247372,1.0897930068800925,0.9346086864594726
[1.5-2.0),,,,1.3900652432789282,1.6770715809532117,1.3036111255704566,1.3446202582389857,1.3718554173495627,1.78944987775383,1.498691617662472,1.1951364175915684,1.2081863317319774,1.12870462233703,1.3057771170434473,1.3216833557741077,0.9169026072857958,0.9997366416676218,0.9071842892056228,0.9075359054408157,0.9947128950463383,0.7220113092288338,0.7705716246243103
