"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.3440156910762155,8.225352001492208,7.381163087003602,8.5914911665627,7.801427097527917,9.732691862793567,6.452418839868748,8.10022702388487,7.452368798610384,8.248236028845403,7.338468359398268,5.575892122727113
[8.0-8.5),,,,,,,,,,7.6598622687929065,7.352362901553783,8.677974932290123,6.112895391829398,6.729830329351658,7.46619501172879,6.811309583064376,6.148190126516653,6.79860077325244,6.328380645795989,6.5673890395063905,7.354644693633362,7.497904175693565
[7.5-8.0),,,,,,,,,,6.238850082377219,6.156544142282401,6.650602535781675,6.745589707279078,6.741975333247406,6.2258659095737645,7.244402535230821,6.925735215124619,8.192785575607925,7.083611539748698,8.334412283796784,6.686141116725666,5.634438454033827
[7.0-7.5),,,,,,,,,,6.073712489352289,5.6017974865511855,7.074891543821302,6.725843052432834,5.712949411644863,6.6661962932544805,5.9751081207998595,6.9734916320914655,6.922988276924219,5.911846387699876,6.165044758957498,7.254946448970516,6.192501897511204
[6.5-7.0),,,,,,,,,,8.234517876107308,6.287947208214828,5.868315710677504,6.031624402645863,6.241194692369146,6.261999019116654,6.16404403882055,5.21451539027561,6.109452612700648,5.217666255861855,5.929131763065948,5.8131814111984275,5.619222180594773
[6.0-6.5),,,,,,,,,5.384785285815772,5.4921774577015965,5.200951960710933,5.344884687347422,5.789434597029817,6.5893215590654615,6.385623215913751,5.914889095521055,4.851177911333464,5.329157411259098,6.055896391969278,5.215618310756123,5.762183259992512,4.64245267469547
[5.5-6.0),,,,,,,,,6.4556701730163395,5.73187731537582,6.08373236957455,4.646168491525955,4.947663078127261,4.8813079469285485,5.440791025239186,5.95203419367833,4.848278514255728,4.402508189745881,5.7553206128773455,5.051181180633366,5.365804513054632,5.063869387956535
[5.0-5.5),,,,,,,,4.403868018895872,4.773260579044063,4.360151172501666,4.860980901779017,4.4356749929845245,4.888911659859661,4.150353722601459,4.783847635583168,4.715892478326222,3.9896682474330647,4.865605834250432,4.00926622281172,4.096552273579648,4.5702085210945596,4.022078543867876
[4.5-5.0),,,,,,,,4.337160882405342,4.526204075030135,4.881264030564426,4.368757874298415,4.133415811990436,4.349221475777353,3.7413920590230916,4.073273028238517,4.072548549194538,4.4633502211995,4.3163846741542935,4.177934666728673,4.449429872182231,4.382719784994255,4.616405069511079
[4.0-4.5),,,,,,,3.5974081354200753,3.7862314372640546,3.5206644151034507,3.600246531781853,3.752962656610689,3.583590256879044,3.6577637142601915,3.915572123473157,3.732902627510554,4.138806089000223,3.6016887934677992,3.75992677448365,3.7119599246589483,3.9812334046506015,4.01136444817401,3.341572906344129
