"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.5551333123966,7.285929498094768,6.90328275221035,6.926273176523727,6.859712965191889,8.18396350285598,7.320896286279934,7.258568206056723,6.423169491269614
[8.0-8.5),,,,,,,,,,6.4968612437472215,6.160114344424083,6.71536104527183,5.952252329912707,6.258170921229028,7.289806566678776,6.406573996783957,6.599483467975659,8.219683286707713,6.827523903801714
[7.5-8.0),,,,,,,,,,6.713362223488517,5.983573721411375,6.165919043242,6.847032751568942,7.678084789543222,7.0275370931057575,8.101063406373344,7.279307040210572,8.885708441016853,6.572849754069575
[7.0-7.5),,,,,,,,,,5.7735188474805685,6.129640320123218,7.39065678584549,5.6819996519808,6.670562850392988,7.195981625106602,7.063615070192386,8.189002464024744,7.707689784901017,6.470524377507608
[6.5-7.0),,,,,,,,,,8.398788323748589,7.107388416073687,6.803413388414502,6.816684000813527,6.125121160386432,6.539034166202246,6.2793411798583225,7.360162055755942,8.152600648367596,6.686014391497272
[6.0-6.5),,,,,,,,,6.273961423861153,6.16823829119887,6.348204331558834,6.225349346109635,6.361454258218453,7.768218212953715,7.708966619067442,6.949751286177991,6.4479877696611805,7.4059505610278755,7.413056161377258
[5.5-6.0),,,,,,,,,7.604644161122745,6.937376298871978,8.275320661840965,5.713907623493579,6.950262372583169,6.692076203017178,7.084168937065798,7.415643523340078,7.393678659678395,6.765220144248722,7.797874532242561
[5.0-5.5),,,,,,,,5.870412049143267,7.355342551708662,6.576786476057484,6.177916765065235,5.841152945335365,7.1712718901749435,6.80769752736114,6.697295762302687,7.041717653458084,6.362320159393068,7.16845594511143,7.093791689713577
[4.5-5.0),,,,,,,,6.248841325782226,6.02709180471423,6.793659175048976,5.893714923972795,6.414012934450385,6.322779634744928,5.364854034152013,6.903122594075605,6.694547309507208,8.122391928694647,6.88870178832705,7.657595461184402
[4.0-4.5),,,,,,,6.420451100686617,6.579224956060963,6.148175866855438,6.410895730203245,6.823876832590754,6.499313933545274,6.790938406669212,6.17796397078333,7.003403206731772,7.086000462427571,7.893027666206387,7.644383405162417,7.322645338045193
[3.5-4.0),,,,,,7.4401204427495395,7.414158991006882,6.734884843084653,5.643577478919832,6.023701544379194,5.085692306731959,6.471581077060398,7.724994699660605,6.2854784312757,7.375616564701127,7.636721423297433,6.9528710754569065,6.975972603684594,6.429524526833752
[3.0-3.5),,,,,,6.603893276317259,6.094212104321648,5.808372886661793,6.299747988046258,5.884588497360417,5.639269490005036,7.547788800629322,6.450892942552349,6.75677210317013,6.643164898549919,6.211216193352437,8.155443791453873,6.122177603948922,6.440398359725015
[2.5-3.0),,,,,,6.7161800091819455,6.4127595270537,6.7112654299583046,7.044743289608805,6.555404828257249,5.5240897117334615,5.915098541024604,6.689608980242662,6.832646647158275,5.7287797844929775,6.534648199252742,7.509640020309364,7.534306377582487,7.812312983222661
[2.0-2.5),,,,,6.688949680859667,6.699878752679353,6.387612734501742,6.211285148699742,7.575026481570403,6.870553760623391,7.1992483571110615,6.439366369467011,6.063989947332913,7.67069723217149,5.85973771881901,7.239142096486177,8.592893784850975,7.390095169399308,8.647772459367296
[1.5-2.0),,,,8.303648069448435,7.7631832495641255,6.672553454342518,6.109322651446456,7.4875623943290055,6.179304438884585,6.546927922042686,6.388763171228944,6.31501757390241,6.415100544030135,6.406703820674629,6.87904812799889,7.3236290992252755,5.9563780196763885,6.112268209317727,6.962677407689255
[1.0-1.5),,,8.464090086175517,7.339360401790542,7.5025331685242325,7.648490464429831,6.702311390312774,6.688117342156294,6.412690521218281,7.180375410115948,6.267816301919531,6.156738351486656,6.979637193967426,5.817229601676491,6.174200788693769,6.876136645199618,6.722855474741526,6.5622777746342775,5.282528602395356
[0.5-1.0),,9.889529953395424,8.06748316071633,7.53550417586615,7.0187174515664905,7.010188543573359,6.436250316424591,6.153876920759587,7.2408804817497145,5.952726414364372,6.161267778723307,7.796096614568529,6.715342831818602,6.602009446772958,6.54610239485606,6.274158225485701,6.010868243205906,5.615274282485247,5.830226308984576
[0.0-0.5),3.329048244436651,11.246155546516515,9.215819322449049,6.901154072009737,6.99538366891179,6.005645691444125,5.9731544778978005,6.261937188561303,6.437087141132119,5.857293327371825,5.667600451659598,5.736094791711053,6.366270917168335,6.945697554013899,6.229714431435563,5.315851719836907,6.3960682289344195,6.0691709566096295,6.631919768572361
