"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Delta [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.557476057875778,8.56006223886584,9.027068382373177,8.768347935265915,8.510504991812976,9.427811996890927,8.971009781353445,9.199620110200497,8.635223828816832
[8.0-8.5),,,,,,,,,,8.306661371556583,7.223670212760453,8.651253116245446,7.745437425783895,7.7430151644652,7.621077689848436,8.188598804200568,9.36357351173664,8.990165378287175,7.805663563589506
[7.5-8.0),,,,,,,,,,7.9480070778267855,7.400098383533648,7.764586611328326,7.781886780868854,7.648530604279098,7.904309261268684,8.664193028245023,8.369717533455487,8.528383358120513,7.559748140471239
[7.0-7.5),,,,,,,,,,7.466330956016882,6.519409386339765,6.962874621152968,7.9527324338516765,6.825193363815107,7.6516317630612685,6.61018540790827,8.442795607695906,9.2090727144334,6.632947985012133
[6.5-7.0),,,,,,,,,,6.82376530955069,6.623626421119667,7.32756482347289,7.3057778396948585,6.807694719024602,7.074704655089988,7.217790018969822,8.112210083147978,6.896449077245958,6.478497707209177
[6.0-6.5),,,,,,,,,7.369620578527776,6.875488015980521,5.584583010209327,7.287600697437756,6.619160539786629,5.65182215324887,5.991181242614124,6.32231276374886,6.3451458876185525,5.94645823016314,6.600401210639714
[5.5-6.0),,,,,,,,,7.2146953426641725,5.980597393411349,6.740355115906489,5.612315662714293,6.131105485294797,6.283886141759987,6.197195033777124,5.2472568384948115,5.433067718544793,5.707806495691778,6.810726613989736
[5.0-5.5),,,,,,,,5.860004312522582,6.411640874598449,5.787943729471105,5.15782165047958,6.0088414107491674,5.8160136095498185,5.067489098851719,5.124839082733347,5.080973794013224,5.375821558498541,5.167104941757135,5.3946882125237385
[4.5-5.0),,,,,,,,4.881557129082809,6.751745852803076,4.877571186879512,3.943560047290659,5.002829824345195,4.97647151508429,4.376054164270936,4.560432759721444,4.7957596341512545,5.054429228228378,5.130661622989675,4.850660966702631
[4.0-4.5),,,,,,,4.7921638347181235,5.352022044737917,4.619143018179011,4.790322874839127,4.672871624929924,5.006686963679355,5.093703124729396,4.822013259038489,5.120894438773926,4.668425902225453,4.881821173974305,4.5121127823784075,4.444948194285821
[3.5-4.0),,,,,,4.090231015036607,4.291524827105872,4.122617007519826,4.144045981455157,4.639507538381735,3.7537334724887543,4.08192453074868,4.263337673824961,3.8753821126133907,3.967611178589013,4.183661654127774,4.2798386244210755,3.9104835336507673,4.293066531853685
[3.0-3.5),,,,,,3.352912645665312,3.702759786633088,3.6471853164789287,3.913203998972663,3.2307652762664723,3.194221460608709,3.5471544252019216,3.8808744612082346,3.408503285315731,3.2568407460610875,3.4072683297932205,3.983170592062229,3.1291409190601716,3.0501297894434805
[2.5-3.0),,,,,,3.1003431320368144,3.212939746627587,3.6247687266725412,3.495833533953264,3.361750009967744,2.9497305794491044,3.2296966384610997,3.246670810460583,3.325182912903729,3.0165036980290783,3.15929847162292,3.360940900197958,2.756467277273372,2.9086620214954397
[2.0-2.5),,,,,2.1497584253115294,2.363793043939625,2.5897321234439543,2.423084631791243,3.498039442422238,2.7766343727321265,3.0755463604130764,2.657407421667861,2.412693729301447,2.4395006915424555,2.307704829433293,2.3433236077589847,2.673441781805046,2.4108909372259575,2.9890764363046327
[1.5-2.0),,,,1.7456960693261339,2.0796051858906157,1.8018266470215898,1.9211161236943541,2.1052288799943852,2.610321438799861,2.3067877651981576,2.084401536695092,2.0308543220264323,2.054489116947707,2.148611546369888,2.233012050522871,2.0130381246826734,1.9766438641610375,1.8285949647480149,1.816254950010595
[1.0-1.5),,,1.124573527351576,1.2453707858472418,1.3981971037023742,1.522880921073194,1.6124333291370323,1.6475583044268478,1.5437098251477506,1.5243226921736044,1.4469793448615855,1.407333440163795,1.7837267796895757,1.3296305372656687,1.3607440403045334,1.426970182898055,1.5606208458896655,1.4379741898622012,1.348470952481588
[0.5-1.0),,0.5040862436939533,0.6841300320349077,0.6982068235829557,0.8725647464999773,0.9712082552730484,0.9725350230144969,0.9762640611442657,1.1016790767357814,0.8750181554895928,0.8751831343387296,1.188741314087369,0.8952108004022363,0.8784119251572242,0.8916392365403668,0.827733340733287,1.0246228552229293,0.7998059126500746,0.7968827299797927
[0.0-0.5),0.0760424130687666,0.26360698180826425,0.30921239700073416,0.3135236253318781,0.3470047909150443,0.36060396336337863,0.35531141761178947,0.3209192159470367,0.3933920977665945,0.33906857449991695,0.33127813281674834,0.3033726499737958,0.31984628075994126,0.2876786037010637,0.3717073788567809,0.32400154211631504,0.38497204945890706,0.35078808771491427,0.30977534953125596
