"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,833507.9143528193,709387.9458383762,613403.7195924113,529056.873188319,515175.8094378836,467894.4210541815,390099.1347091784,367975.3788163146,326242.1368512917,231526.1813981341,212452.25291722897,213286.4368952373
[8.0-8.5),,,,,,,,,,913839.8429205864,782148.2281539618,658663.3783731343,588129.2105793931,474345.431873683,469761.6215709452,427475.4487966675,364548.19018156204,345678.3008308758,290116.8890478175,207229.81895338063,190209.64561947528,194266.7399298553
[7.5-8.0),,,,,,,,,,835972.4410558857,720476.7557208544,630042.3689303403,560239.7573143687,435854.90715938935,450277.4082438376,392038.671874999,351168.2173902423,319701.69677064003,259424.7938975719,198277.35788603136,170447.72557675285,183721.91053348072
[7.0-7.5),,,,,,,,,,784840.5533315766,685926.0480052665,565949.0962259315,516818.3128331499,401573.73782313976,404296.53483139677,362238.64444591274,328006.57319458196,293475.13013656635,242610.52947725216,166037.72058206648,165274.86340644176,160720.51642167737
[6.5-7.0),,,,,,,,,,709131.7008052663,603304.3478140116,523207.3897506083,474000.8352617991,377911.49770089117,364305.8958082709,330492.72418146,301307.4690142177,260395.54211389538,224878.24165536228,166906.30314137143,145708.99139944257,160850.79298402736
[6.0-6.5),,,,,,,,,564984.378221113,673320.5630834004,568347.4838593075,486521.28185137344,427390.36026730714,371010.3920181008,338966.55330692383,302541.2122398164,265700.98928106803,246365.1000571241,199545.63512912006,145518.16701947263,142111.80192394453,142279.55729717118
[5.5-6.0),,,,,,,,,533646.2428678971,619034.813137302,507510.90472696524,442405.2926950172,394453.3463334336,319991.42811977933,315018.7870571022,280008.38090287487,241423.95220377154,214801.27065478315,186795.77826854563,134259.98859425055,126063.49959464873,130694.42665068175
[5.0-5.5),,,,,,,,532877.145857187,469753.462990321,512751.8444801615,451913.8305595156,407934.7314338743,339853.9063200818,285279.4918464836,281961.76542798226,233971.9445142737,215664.3681558719,200967.53658276817,169834.23573908946,125609.62451188521,117636.75703428854,116539.40317544795
[4.5-5.0),,,,,,,,474485.2018861203,416998.69816992956,454948.131847071,387342.1479453688,367281.5204627908,303687.6270485196,262078.21705747067,249985.0651167101,209653.35055328783,196463.49971631507,168366.05908492292,146530.9767999648,112062.68351995658,101458.06954712694,103149.27996741365
[4.0-4.5),,,,,,,449982.1353545276,393699.1237801618,361372.0401321983,390178.9375897861,340401.01983520464,302564.1399928509,277299.18954595254,232390.75125980284,212807.12679083642,191216.11928237343,165714.64280147868,144962.3866562146,133001.69083460665,99953.43146956475,87305.31418253915,89340.18009086135
[3.5-4.0),,,,,,329822.4884815931,371113.39683077595,322983.6446251332,301538.74845635693,335028.6978546117,291950.01729901857,246330.12760750024,226084.65467311823,201753.16602868144,173913.4190240411,162557.03672755096,137390.5372017027,125124.74752479375,111072.04764721857,87187.07583709234,79551.57932053058,71802.91024954118
[3.0-3.5),,,,,,242602.42536018905,275227.0994168422,257240.2261190755,245989.03553064354,256871.2061370742,228125.11534359975,206240.26080721227,183683.58625081863,157568.59379741357,141631.79306492413,134654.3212574791,117498.86378872691,101985.86362313155,89933.44724123753,72502.82450478441,64827.81635949466,63106.88364247734
[2.5-3.0),,,,,,171067.55275602834,197223.45524460508,204839.73247572972,201944.56416742853,183167.68138760433,184569.27312475911,151713.83844062645,147584.5329785311,128547.68599710734,110756.12301575622,101989.04621543815,89253.87985334446,77426.63488616417,73660.64932266671,60756.401042857164,53716.539473184566,50253.33746577448
[2.0-2.5),,,,,72497.16573414498,114976.25050809661,126310.39906448858,131868.80209169467,134903.4530364441,141733.06293635487,125656.44395287271,114356.72565402814,99002.40374027468,85561.2823202535,81009.23558138138,70185.73680295885,64475.26614151913,55727.17047919823,55085.1527067542,48687.24619000443,41619.93547434072,39507.648911200566
[1.5-2.0),,,,32731.208165650613,42449.95270819393,70189.322129772,74702.8640345741,80281.34935220705,92438.95583178547,85283.04038915326,80439.88404275947,69207.65761353006,68599.53605117164,60254.142660256475,54645.06512189748,46981.700750723416,44231.46271662083,38567.80039477598,36298.253309732565,31880.294063143978,28715.111848945577,25343.49491799171
[1.0-1.5),,,11883.033253969917,16676.771339230716,21506.151638124655,35329.5570783778,37423.37397397241,40468.26166790667,43248.59100414375,41712.32795806182,41330.7814438535,40546.512544908896,38560.589835076935,35178.84431934612,29616.094968561945,27640.720343807956,23987.89407230219,22402.050904781176,20380.832643811755,18494.77375743176,17993.751337689715,15296.407113713802
[0.5-1.0),,3838.8854510876713,4261.832520496817,5944.935757103648,7764.242128523733,12780.989838312964,13600.524815204768,13228.675462336869,15929.036943825196,16162.320373504948,15663.267999521111,15419.810773668236,14183.321230273714,13911.253367098758,10611.852214137763,10996.403131347035,9608.66111903621,8469.494767853297,8417.81992587688,8087.640527654422,7160.992873498228,6479.0023889346385
[0.0-0.5),139.70582885223786,431.32259400861795,477.1752773837532,668.6545826537608,878.6947224753571,1391.6534641221613,1463.9281132261915,1472.2864983715658,1887.3948867563684,1835.9824970510695,1803.5875922011585,1619.562441802005,1602.3187939924885,1577.719071965077,1454.690833065408,1162.1866777957248,1124.7880068549973,932.5528194809738,1021.9646849654316,1080.0728444897627,946.6435420509407,770.3714487487342
