"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.4578109648571684,1.4347219033774004,1.430166938130385,1.4472051427681623,1.3782040682353542,1.362700500454573,1.2599071921038851,1.2621108074078797,1.340544677565538
[8.0-8.5),,,,,,,,,,1.4618559364528585,1.471268707174401,1.4335681603853863,1.3897902901919588,1.4517002708951194,1.338243631270413,1.3134286063254677,1.275508104222661,1.2660944638156044,1.262526133784654
[7.5-8.0),,,,,,,,,,1.4602328607830755,1.4828875314835852,1.4230415722196397,1.389810007253092,1.4497897469238263,1.314431998159617,1.3202961281529633,1.2673413639866276,1.2992349976064113,1.3011959442230583
[7.0-7.5),,,,,,,,,,1.4203594995216688,1.426237225375276,1.424976176342944,1.410721960722473,1.4358446714346338,1.3208444494955836,1.3121743800574905,1.3354672084408667,1.177368375957792,1.3075484565235995
[6.5-7.0),,,,,,,,,,1.429094197595217,1.4562593269829414,1.3932098456750428,1.4090356174942449,1.3989414727256357,1.3185888247934334,1.294028435690173,1.3072046575956182,1.2893718780378318,1.2902268172651512
[6.0-6.5),,,,,,,,,1.6910356210228612,1.425255857217919,1.4182758930458823,1.3878329970618866,1.3394586209521273,1.3957512521765016,1.2960029378779991,1.2870438122809729,1.2714802855447547,1.2780127414657825,1.344269324513278
[5.5-6.0),,,,,,,,,1.6254266263430404,1.4148857267743622,1.4216249242603163,1.345566028530885,1.3219758784002444,1.408383502129093,1.289458456068909,1.2429946500036722,1.2719787678352523,1.255120177822163,1.2821243209213555
[5.0-5.5),,,,,,,,1.6923848684232043,1.640807682467656,1.3939960490394605,1.3453386071467766,1.3256912421018507,1.3520799225110984,1.3459917519191176,1.2496819812933924,1.2490914527847083,1.2181772537899673,1.2063002457064573,1.2376639854676983
[4.5-5.0),,,,,,,,1.6087896104550004,1.630031383717259,1.3773048859300505,1.3176386024716091,1.2705285566672078,1.2664554811286188,1.3093000102326902,1.2276554952158152,1.1910232949092907,1.229012558670604,1.176510886698577,1.1811605667588316
[4.0-4.5),,,,,,,1.4461557302000154,1.6636309012353239,1.5609326743973413,1.2959043398317684,1.2863871977901071,1.283434238210297,1.2356563855818532,1.2521216199711225,1.1930738068796314,1.1616211904054892,1.1528192307478597,1.1879002367901539,1.184749293716002
[3.5-4.0),,,,,,1.2802856036355024,1.4897013611368508,1.5511252606683186,1.5216380926481465,1.2494437085667576,1.225683880871923,1.2190800213957442,1.2203130040983345,1.2635375900320724,1.1414055595541484,1.1216087599197901,1.1414139588741334,1.1813455961558008,1.0993556703107183
[3.0-3.5),,,,,,1.1025483054249325,1.3327478306308116,1.4647915904089444,1.5356343666430132,1.21246805782254,1.146205512013807,1.2343841488301932,1.1358676121285085,1.2199620860479683,1.1313491752680613,1.0461244416960325,1.116768540948153,1.0000651223933221,1.0611696711283432
[2.5-3.0),,,,,,0.9843820310013727,1.2173284394326356,1.5085482655384115,1.4460781804325602,1.2039379067292544,1.1087116382890085,1.0719335362447555,1.1336715227378165,1.178458490902796,1.0102019927569175,1.0077632438290967,1.0514403409022246,0.968923840735107,1.060376454273434
[2.0-2.5),,,,,0.7039909490226192,0.7805074535187765,1.0626861977664506,1.271186314856391,1.3942010434940273,1.1344706983370356,1.1401364720050853,1.024351654158764,0.9949829315154785,1.1286611173909569,0.9202736850191436,0.9594480831826993,1.035998749398797,0.8450746708787732,0.9624229214674304
[1.5-2.0),,,,0.4767056923778477,0.6287704215631194,0.6822640194208663,0.77925933145974,1.2197008382754673,1.166566894796743,0.9298797095760566,0.9047733969591664,0.9006802346578994,0.8997974827953151,0.9737074845586673,0.8623468882448855,0.8515292467189564,0.7451218623336221,0.7695261576121329,0.8676125385035182
[1.0-1.5),,,0.20817955013467151,0.2781175512033579,0.41513921372495544,0.5152221149330691,0.6804362989973495,0.8621278188769963,1.025284169095056,0.6736191016040103,0.7284401735141268,0.7114479436723978,0.7551527760866281,0.7559667922868023,0.637394018222941,0.6908611701785833,0.6653083781784056,0.5767161375805175,0.5787419016001676
[0.5-1.0),,0.06257229632135107,0.13904873811859142,0.21039313496005008,0.27451514341368316,0.2972660735100734,0.4392263756604389,0.5438004337666549,0.7483855409017445,0.38675880966888504,0.46773991165506784,0.5630016594524293,0.45851908527479507,0.5693650815756685,0.443119843452516,0.4162637494256065,0.42576968559972694,0.36921586350474783,0.44448765772446647
[0.0-0.5),0.008046183591228214,0.021291892645113376,0.0377201070777048,0.06705281147304865,0.08403859035331153,0.09586885907020554,0.13931394768052086,0.21738475519945796,0.23711429950345453,0.16053450012245907,0.14805591210269825,0.15455615991209715,0.17126571566552934,0.19036822570990028,0.1585979220842077,0.141996625665381,0.15192529034876454,0.16484564124073378,0.16148360839195416
