"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.16900841723974314,0.1323691206645639,0.10719197044320487,0.09159725346305657,0.06868583224884638,0.05826683268947482,0.04865514780683196,0.04120311953732829,0.04000514828188398,0.03290718076874347,0.02930115055101745,0.024724654592014287
[8.0-8.5),,,,,,,,,,0.2531923056889214,0.17777572725169916,0.14057994092879603,0.11426064093883252,0.09257587665393027,0.07155319019090615,0.06139807911519477,0.05041305082671737,0.043090548305344,0.04074031257316322,0.03448004776356548,0.030407736208026618,0.02556913702078801
[7.5-8.0),,,,,,,,,,0.26422175984877483,0.187831313362004,0.15279610503659785,0.12464962037430452,0.09828745941594724,0.0807730400847075,0.06412508499673882,0.05515901003339541,0.047000580842056654,0.04209998981138484,0.036494051763890895,0.03130442230575138,0.027819994920776418
[7.0-7.5),,,,,,,,,,0.2846251005033633,0.20724496558774871,0.15671428089464257,0.13273653680536235,0.10327512608731429,0.08152295175758707,0.06890843263143524,0.05853428627367652,0.050124420760630096,0.04471679101788161,0.03669098476185635,0.03423445782004925,0.028047500376815058
[6.5-7.0),,,,,,,,,,0.2971312745836542,0.2088621538943321,0.1690904409905154,0.1414437953886348,0.11252882396732639,0.08513471277335964,0.07277549680043383,0.06247988968757277,0.052065454742525975,0.048775553213000505,0.042641541039054806,0.035043958904920465,0.03200341177701723
[6.0-6.5),,,,,,,,,0.4431268327053618,0.33190797684095713,0.2333744820120195,0.18262062789400108,0.14900209434937645,0.12948996809836122,0.09252773293829623,0.07929339437835142,0.06593993146102096,0.05729597459164891,0.05044960528842126,0.04317851771035611,0.03973724708099353,0.03400147857758461
[5.5-6.0),,,,,,,,,0.4827581889681793,0.35737299944736817,0.24779196110218346,0.2009520977150255,0.16629923449577225,0.13217413006003448,0.10564750900140371,0.08559546410845728,0.07306404831185195,0.06004127758244895,0.056435877270085213,0.04627712148081427,0.041965674944949106,0.037017341685413624
[5.0-5.5),,,,,,,,0.5587237617965368,0.47925341792282355,0.35790719448124136,0.2666986716072481,0.2244667037922362,0.17241969383336442,0.14365192747548494,0.11561114754717668,0.09067891726055141,0.07928137803514408,0.06814712747322235,0.06242542683914664,0.05249461003488502,0.046967853362518075,0.04007395063720782
[4.5-5.0),,,,,,,,0.5732675177495853,0.49174686289038494,0.38915150757641287,0.2840601245896459,0.2492506897354455,0.190280349258245,0.16122081196863505,0.12640016201971618,0.10023113581514861,0.08961100443371542,0.07234775767152887,0.06618379933945542,0.057664237012341545,0.04956080237896604,0.04315118448976346
[4.0-4.5),,,,,,,0.6359225536398396,0.5587964661998212,0.5190570967148236,0.41562607360455,0.31421506745609484,0.2576249962934938,0.2208834837399856,0.17964105576784972,0.13726969218666218,0.11539170748920623,0.09564041060252132,0.07954050713391744,0.07488263306864944,0.06372405941483675,0.052764777572983756,0.046514989968936854
[3.5-4.0),,,,,,0.7368675497239741,0.6765418629397679,0.5518516164951602,0.507867832916227,0.4622797330819963,0.35426307589281597,0.2750168734078493,0.2328826679954017,0.20078764588065118,0.14904359280512397,0.1298726828438053,0.10208112037802917,0.09128507316902114,0.08168763682492027,0.07090314360067035,0.06187676647444972,0.04896197148205717
