"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Maximum [radians]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1.6172039996574092,1.59439910968568,1.5938057265134329,1.5614759058566616,1.5608200008420683,1.5099875131433715,1.521936642503353,1.4557647622819583,1.437439078072318,1.3416798551915075,1.4093873545664306,1.1991329225855116
[8.0-8.5),,,,,,,,,,1.6068052916797957,1.6527067616183455,1.5957454534777624,1.5455605100962393,1.537424689714437,1.5374864940438793,1.5289710198396123,1.4763030477428494,1.4849224994975907,1.35555620803999,1.4416884907209708,1.3905862045990094,1.4206028173822691
[7.5-8.0),,,,,,,,,,1.6186687841365528,1.686598540590345,1.621643499709865,1.567771229397566,1.533225141673922,1.5180068958874648,1.5343647772064153,1.4540630059213775,1.4514104485003416,1.39789988602889,1.4541146835874708,1.4095389939724698,1.388373249438044
[7.0-7.5),,,,,,,,,,1.5234672985588162,1.5700789534651782,1.5654385354260776,1.591340415588248,1.5214529586936625,1.5465565113214879,1.4592999277308305,1.4955314396807535,1.4512618867849023,1.4448748033303598,1.408458216014041,1.3556277554844942,1.357839527709417
[6.5-7.0),,,,,,,,,,1.5381914893720987,1.6019769209433385,1.5538129094610131,1.5359487343201104,1.497357882177094,1.496896109039428,1.4651158985149573,1.4654537413943804,1.464222676338348,1.3918408338704704,1.4381902708376537,1.3556065098447605,1.3949979630359453
[6.0-6.5),,,,,,,,,1.3477565734559214,1.5341463464973817,1.5637119555742502,1.5652465658910895,1.4856573519802796,1.4773593208726388,1.5077805943629883,1.4568117777376286,1.4260894943412301,1.4298287825767144,1.4207646303990593,1.3461132190317115,1.3831930115811248,1.3540595174102987
[5.5-6.0),,,,,,,,,1.367898418690069,1.499869062015182,1.5650194085790987,1.4667795758130793,1.4520331240352438,1.4843966092822303,1.441099567488943,1.4152993033057344,1.4233603700094848,1.3873854648303463,1.3819162941106593,1.3314837915211135,1.3907665420295572,1.3201044133041748
[5.0-5.5),,,,,,,,1.1598618520348654,1.329405744331829,1.5090131119212133,1.5112928578088471,1.5157836653822803,1.452073913523849,1.4442921667728765,1.4494487867293087,1.409308075812157,1.3773118910882258,1.3562639961534768,1.3049081565106102,1.3508540808552454,1.2987230228505433,1.22900916356289
[4.5-5.0),,,,,,,,1.1322982269382749,1.305133628185721,1.4808172682588214,1.4740096722285825,1.4756475807124676,1.4080563493115674,1.3953675294790724,1.3999291822569473,1.3534464180289456,1.373193921073477,1.3553543896211826,1.2795553887358337,1.2844159938084414,1.2236538049114578,1.2491308371682117
[4.0-4.5),,,,,,,0.9838521398605933,1.1043767092267536,1.191014086683067,1.3907678236977734,1.4751253979102938,1.4348748456464804,1.404244990103041,1.3243819383902355,1.3885148722133982,1.3440356595677663,1.3380513775488123,1.3048025970784003,1.271987256577933,1.2519242723612234,1.1617404850706985,1.1875142142312025
[3.5-4.0),,,,,,0.7717489049259704,1.0072193277230321,0.9683108069327665,1.1596115796639705,1.325149505918128,1.3885192910000554,1.3487079840814709,1.308679158784525,1.341749490051022,1.2728170160332788,1.3038572232722199,1.279364267885163,1.3157254427849778,1.1996844131988242,1.1377785508597664,1.160889280923205,1.1764063540004368
[3.0-3.5),,,,,,0.6092385542215867,0.766693273239657,0.9805039867010005,1.0804362063949158,1.3116547051948513,1.2834697026740542,1.3382335680977457,1.2860884989051051,1.30338777075136,1.300149029555921,1.2551413642365026,1.2513470708720076,1.2242011960300974,1.1574885523306424,1.1137552541969247,1.1422832194962436,1.0979498657017381
[2.5-3.0),,,,,,0.5518727737233073,0.6718899467683294,0.8613436793340138,1.1005222925100957,1.3141698052486228,1.3073905967148616,1.2628879612211148,1.2492153203426144,1.2809577692537029,1.2122473833405405,1.2162778182330085,1.1968850340839383,1.1467893519804073,1.1420602563674151,1.1217559006226112,1.044357374948557,1.065689023540079
[2.0-2.5),,,,,0.3441884738618682,0.4191227538093082,0.5609602705875174,0.6619879093818803,0.9904368655607909,1.2226739770201154,1.319738071504262,1.212061804482222,1.1597872836284848,1.2160138213348157,1.1411087005369835,1.157242998871829,1.211692639749345,1.0733933763269816,1.058362708890213,0.9404205395711627,1.0095126446358815,0.9345820076872754
[1.5-2.0),,,,0.2300825838198015,0.2976023447244086,0.353685703959114,0.41120621715629274,0.5704142274724379,0.6590990854619129,1.019523924552478,1.0821380291170024,1.0644716831432628,1.0655139906265936,1.0814096700105602,1.1111958141991574,1.0471234425223415,0.9480186350245822,1.0503957903394525,0.9465005086391649,0.9046820149408755,0.8695633290353236,0.9042439846074627
[1.0-1.5),,,0.10041407183556206,0.13844058186715152,0.2162895659387385,0.2817433531897464,0.35866790995641173,0.4256292848981667,0.5229700697176711,0.7180648271450332,0.8918142122111974,0.8333272316541266,0.9496108689241365,0.8254412430844008,0.8624026690926425,0.860796203726737,0.8546152637622746,0.8422418213438468,0.6932407816456722,0.6863083413780497,0.7173110974375229,0.7061847382899176
[0.5-1.0),,0.03578096072056248,0.06590732160087773,0.09604773075352196,0.12911742962246062,0.15919361481265892,0.23942754493281498,0.24872817281707618,0.3695378108851873,0.42229104260258965,0.6123177590019474,0.7266064693416011,0.6141427872285913,0.6534922807399147,0.6429958044482251,0.619938350341877,0.5961518237321091,0.5537780196881672,0.5428492997715936,0.570564658163813,0.4619540549194869,0.4803140220625352
