"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Maximum [W]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,77641234.78328934,17906490.63604468,13222785.572604835,10924174.250798395,8247750.925465703,78944228.99769948,8459211.334638586,34144974.068776056,44998493.75149297,7397303.784104544,4684207.328046427,20483799.30171867
[8.0-8.5),,,,,,,,,,24343665.216881063,17434990.07716378,16715937.190955007,14876665.356505226,10580795.663364368,8061793.680110534,7260756.861645351,5505092.06667043,50184103.19191052,15543123.484591873,4271274.389131769,3846720.0143749053,41553577.67370626
[7.5-8.0),,,,,,,,,,23359249.22189321,19235695.13662181,24399227.990463592,11360964.970400294,11928457.782093538,57800148.18287223,6994038.966337875,26921736.797906984,35750594.02130469,5038540.631761331,3902055.551247771,4571401.65609181,4401968.300779477
[7.0-7.5),,,,,,,,,,21534580.290097687,14277785.465810353,10106119.306152442,9764451.756653653,12786787.684261383,5761034.347983039,6247740.918530157,6255219.803216325,16964190.34648203,4800278.8405247405,3899065.1270573335,4067162.2794253635,4159601.2343227
[6.5-7.0),,,,,,,,,,20041100.9654966,13143515.455508595,8770269.401685728,9276865.845002102,6897205.924645404,6134799.12664602,6896304.979952141,4063714.7683024458,5099535.979987099,5450961.528083861,3216541.961389635,3623061.077225399,2523062.1804644777
[6.0-6.5),,,,,,,,,19857224.778057836,13645858.292123573,11121412.595626302,10230434.326571595,8178336.62370753,5288335.421120282,5957861.516895597,4656203.210714359,3427967.664806909,3070178.8576706406,5307335.363308435,4149204.947377487,2930964.7605826333,2329716.1390025755
[5.5-6.0),,,,,,,,,13226067.570514383,12274842.332022691,16307687.656440662,9199069.672792643,7281375.65715538,6695687.732891228,6825629.570586693,4292118.654801811,3175457.0330753596,2660287.346326914,2716024.73681464,4002506.0221093344,2304743.3120804843,1834929.7107968829
[5.0-5.5),,,,,,,,11999845.10591381,12538314.404963564,9485915.299074598,9447836.42819117,9689638.681800278,5759288.2146956725,6233653.536687165,4096560.2305763066,3969401.057150848,3384288.4927907507,2857369.020591215,3464095.2413480463,2051105.489663464,2636687.007302736,1991453.8812648342
[4.5-5.0),,,,,,,,9652025.037437316,14467257.660372661,12656245.691749027,6967195.699034692,6257912.462995088,4208047.630370885,4112545.720328726,3045079.647769358,3188726.103863386,2337667.2753422586,2457116.688759881,3390249.9642716087,2077278.3333651242,1718757.955771696,2113461.941443906
[4.0-4.5),,,,,,,7498519.1355487155,8781361.708878065,8145087.020816398,6729862.3736348795,5585596.392685815,5412933.719123539,4990404.633131574,4113348.237604106,3140222.882211754,2572751.8009951166,2382558.7654591217,1892059.0185857934,2630106.9147786135,1410892.6249407567,1079340.10116076,1233586.7154291738
[3.5-4.0),,,,,,6702391.338312866,8258491.072450885,5545622.293480841,5068504.760169457,5376523.252223296,4222360.320383471,3458213.6720596994,2966423.9259398677,3170226.1609942815,2261038.2035061195,1668979.7855608407,1616391.5773669225,1625528.8059778684,1842796.551617848,1022941.5499006318,925392.6420113437,1277268.625485321
[3.0-3.5),,,,,,4515071.993518742,4276717.7557481,5016901.957478663,4186532.8877782742,3596385.3067848966,2998676.865529722,3448236.637760973,2088396.229661546,2084217.354159153,1397705.8384405663,1922740.245720881,1338226.5629788116,1183316.3965002026,1153778.12145139,1089198.6288468887,1251685.5873897464,670170.6811642817
[2.5-3.0),,,,,,3227747.7151028505,3193897.0454476555,4031152.6974879457,3581080.149317298,3335678.1464434164,2561893.969158137,2087788.3874274564,1723829.2649881188,2406617.1780814626,1589197.356739586,1475772.5767055913,1217775.4961368153,952102.9754337302,1037039.6711239439,848806.9568238913,712629.240672892,565415.3307047978
[2.0-2.5),,,,,1752270.6052575936,2200594.200292071,2274009.820419042,2455756.2137142946,3095846.0274819923,2540044.0798110524,2607059.7124819285,1413327.1211193819,1270091.6879544714,1314410.5224599135,1042634.3504233033,980749.2669460329,960866.3132007277,668000.1354963309,995605.8446595806,586088.4276217155,563145.8474981396,483130.52246234496
[1.5-2.0),,,,1157228.5731716051,1543489.9648018472,1264022.3975244192,1258935.013466997,1702247.5235546597,2109807.8071145094,1428953.2574156174,1060651.9992525666,1031325.0962150854,1007619.8616347837,912127.1308086275,1069099.93727795,604304.9616447358,552318.011708852,659158.4701562021,530155.4705983339,412938.8418804356,437359.53043313854,353001.0621592795
[1.0-1.5),,,332565.447805201,483849.9633922721,752955.0761670807,892150.6229594174,758495.5353401861,758622.698780055,832358.2259228509,630770.3838557805,564050.2466252666,610395.3129161309,783696.8407855093,498548.6160401709,438847.5896067692,428026.3975099245,351171.9566685733,403308.7387932572,266895.19863608346,247022.3759602567,264177.10106337396,233283.71834764158
[0.5-1.0),,81245.20376740381,157034.50637515477,274493.8170359085,272420.1406948767,315152.53983561357,347487.0075485373,210642.7387699309,308796.8319138043,222853.4903446075,258115.96904942414,364447.4869430289,206004.85286145617,294254.26352806145,214012.9174895186,206614.501689911,154751.44636317808,134561.82235716286,112871.36335036576,121669.43251434546,110733.8901743134,116958.47304953709
[0.0-0.5),2524.726986459686,8358.978075369949,15987.989289637386,20181.42674181119,29297.295965727164,29889.454108985352,29855.36329440515,30960.898354376277,33118.67953820082,30705.394729900065,33008.25607413557,30899.88883782359,29559.943806105606,25643.28522675799,27541.088510404334,30033.50399662547,21673.673741329763,23695.293588499295,15859.466541455176,23584.8328708302,19788.9189985768,15610.823239553787
