"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Force Average [N·m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,1375688.7197595064,1262792.8316858152,1188995.9425413464,1132262.78287148,949175.5892109254,890097.2616209706,848500.9404835275,790952.2320304704,859170.865142462,800636.0088777625,773789.9890250565,728380.277120665
[8.0-8.5),,,,,,,,,,1682812.3583183507,1328201.5934333636,1231280.9278438953,1152244.247919637,1073252.280600215,915114.3867245269,874995.5880064266,814460.8154400284,768824.9168034063,828236.436348259,785191.2312509888,751456.1235372241,686578.4210690809
[7.5-8.0),,,,,,,,,,1617302.4007719061,1283092.2871366444,1206371.4014218855,1140376.5917128026,1049640.343762991,922640.7574585447,843394.704603327,802048.8879305014,754638.2741974756,794219.9915449703,750649.65600512,714958.7169691601,692815.9525457863
[7.0-7.5),,,,,,,,,,1573595.9886931563,1269124.638259761,1146687.347545487,1101115.3450245792,1002543.7301763706,870741.9639157002,824084.8739593631,775608.3633395056,738918.9339418693,765694.5516090937,709801.1853984988,700012.1632367265,643994.3978035103
[6.5-7.0),,,,,,,,,,1505165.9837822278,1181708.0092908137,1105888.0555575208,1053195.1394489517,976603.4528006959,823888.6887680318,788794.4949175941,748948.6037356033,700481.7112418443,747253.8112182398,713044.8162831219,657412.0682273648,644795.4158799715
[6.0-6.5),,,,,,,,,1999845.9318680877,1467746.0757253617,1165337.0775029708,1078308.0781672497,1014744.3719014839,982625.0264329255,797252.8793688784,762248.5404822007,713958.1282640905,685693.4253681672,703874.712571876,665251.3644324349,652746.9361760062,621209.9269330356
[5.5-6.0),,,,,,,,,1923505.5120518487,1413620.300209936,1096894.975420234,1034565.6089109804,990802.1845057462,913370.789594616,786825.2004208261,728017.8997333375,694464.729711187,645907.2459012051,684867.8608920082,632828.5189768982,621835.5676373506,598267.7013464946
[5.0-5.5),,,,,,,,2054612.4451941836,1756808.7549452288,1281804.6997746849,1040335.5073263918,1001248.1530985347,909968.4514716647,868587.0895336681,753034.5161886318,689790.6223592779,657581.6396306669,627680.7081277765,663604.560737932,626860.6038176658,602146.7859739307,567626.7465933748
[4.5-5.0),,,,,,,,1879617.8935273003,1616165.3535713668,1209278.265702055,970393.4125343678,957204.2899905104,868006.2028572661,831982.9234989642,711136.7890916347,651699.3908307721,641207.2278062629,591587.0575379282,619425.1572315401,589094.3038026924,559036.9230605908,531351.5215062542
[4.0-4.5),,,,,,,1829135.8046002537,1660910.3980909556,1467778.0668573221,1115236.6901037472,913883.2041873543,870778.7907354002,840357.3550245768,786561.2307928893,663192.9563320027,628208.6256012447,590483.1272409481,548843.6505122848,587535.8537729139,559787.7532843222,516334.8855760711,497076.181022433
[3.5-4.0),,,,,,1817692.455246206,1646014.4459698054,1463616.9519021169,1286675.031855646,1039707.1657376034,861511.025614394,789523.0704351693,757583.2134573922,733892.2723018347,612841.8022274252,589431.0234331256,534429.1545379604,520494.8785074481,543145.0212025114,521956.4651999637,496102.9147475339,446965.40944839176
[3.0-3.5),,,,,,1607120.5401139816,1438538.777596439,1281480.2000099253,1116116.5584999563,903179.3945662687,766556.6340838356,733545.0722169947,694743.3094775474,647931.6435778898,560611.2215127217,548408.4921352372,508240.5985547348,478372.91952907434,492258.29640215024,469167.77741629945,445348.89462180506,421334.2275313392
[2.5-3.0),,,,,,1338452.5964361792,1235829.148317096,1124995.9907179915,990215.4172337368,743788.7652326582,694478.0124443409,620570.2023399079,627360.3039020572,583581.5381798897,501993.76013370004,484860.7968020169,454093.4361067208,421015.50984646386,445618.1470462533,430855.2656733462,404072.39112870453,377487.0954650582
[2.0-2.5),,,,,1148495.9449975123,1116899.9695607072,977880.2625221408,898475.5574040931,799162.6124726229,658617.6385895659,562248.9088606633,549326.2096949922,515229.4730770311,475832.2817967547,437604.8159604964,400477.07880628994,395682.81711134803,372326.28045585996,393648.1698744505,386771.07288802904,355108.9760697883,337907.3341121694
[1.5-2.0),,,,889234.4485428898,882624.9294666429,867916.4606564087,777167.9173254811,707550.0702760783,640752.5498672102,505322.0894709005,450370.8754072297,423175.8986144153,433644.3965080287,397652.59714676527,366322.2917868211,338771.5570298264,340750.60326720343,312230.40136209637,324359.49063692556,305471.1205122098,288708.06634363986,265563.6115055969
[1.0-1.5),,,519032.41658918466,636413.4224375131,635053.9109637132,620815.9444042711,547991.6512095334,517956.5702436803,440568.6204333644,345557.9348548712,325897.37479430315,332201.384057407,327700.774991011,308689.4655481072,278582.39341331983,271252.5552261702,253253.67918104335,242526.45492214154,245138.78122195887,228898.56318627825,227117.09781346048,209816.87515789617
[0.5-1.0),,191592.75944669594,309474.7110130973,382649.1457652507,379907.14897153736,371535.4305656468,337343.84956382954,303691.57393078826,272333.67218461505,215203.30180048785,195217.00991410133,203938.79875916446,198694.41643108704,191935.30236871756,170358.05244111977,174713.39598407107,166682.76801624068,160201.14608621778,161540.23447115478,148503.28745803697,139471.47520719463,135527.35552068506
[0.0-0.5),32949.30284975739,64333.84936860911,105001.91951151696,125920.0272812482,128635.03023636997,123625.25731843273,110266.61502085874,101624.73261972363,93839.88312141357,71796.63033806335,65646.53815117413,64006.344336364804,66657.26192023401,64646.57463417746,64972.6439830416,58427.64738695895,57696.42624661578,53117.18381141653,56776.9427694717,53723.557052399825,49906.94391657853,47144.954498808416
