"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Maximum [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,5.234767305911821,2.5139486612787425,2.1602929190768254,1.9635658664904756,1.828573981992862,5.657244661602459,1.8518666260098637,3.7205587019840465,3.985200286567332,1.6158010707609376,1.2857875583442455,2.6887871288251888
[8.0-8.5),,,,,,,,,,2.612532621101944,2.4806301436504428,2.4289385620027777,2.291416106446884,1.9324591766510149,1.8078425637150892,1.7156777316982967,1.4939190343129733,4.5105328620267455,2.3421802425687663,1.2278064211954829,1.1651892067069782,3.8296172903724806
[7.5-8.0),,,,,,,,,,2.5591643580953845,2.605584170920002,2.934534414848176,2.002436601367,2.0518391562429636,4.840711983434857,1.683870898427017,3.30366729874137,3.8070308723060142,1.3335323236684986,1.173539976699123,1.2702109583138697,1.2464493053724026
[7.0-7.5),,,,,,,,,,2.457179845191673,2.244820349092054,1.8886147403495421,1.8564151180659036,2.1243784711211045,1.5282520948451304,1.5914986459135485,1.5924509161110225,2.6224748740054715,1.3016205519895856,1.1730902067100633,1.1981106125050338,1.2116495175133628
[6.5-7.0),,,,,,,,,,2.370443053671609,2.1538077462546568,1.7593718198820179,1.8094717310018578,1.560226898051774,1.577048105486531,1.672064387575076,1.2835310409552183,1.437838464969595,1.3870359673122516,1.0654811608000732,1.1308083122354244,0.9436591197469457
[6.0-6.5),,,,,,,,,1.8556533575746947,1.956001425672003,1.9812128723373381,1.9001951286710712,1.6989619623593208,1.3661886125646328,1.5541393964526873,1.3739177378175176,1.178862426607815,1.115646496190021,1.3686406347358082,1.210134403917596,1.0170831582490543,0.9067815365026384
[5.5-6.0),,,,,,,,,1.5144430425047135,1.8551400429810636,2.3990945098055345,1.8018686058507,1.6030899197364827,1.53726507334497,1.6634744131518289,1.3191088292093385,1.1346133464054449,1.038506076117291,0.9790796524974763,1.1885491930390946,0.9019084299575021,0.8047498063805223
[5.0-5.5),,,,,,,,1.256553615099745,1.4745420218736185,1.6308287525982883,1.8260696876262614,1.8492897220093747,1.4257243626058596,1.4832777935870312,1.2887077485001976,1.268549031291611,1.171327814247012,1.0762866003930496,1.105722320425678,0.8508346399783597,0.9646737346596217,0.8383710847473986
[4.5-5.0),,,,,,,,1.1269442286110023,1.5839106681530057,1.883740985510052,1.5681231605706634,1.486161157795292,1.2186850623960939,1.2047766286004653,1.1110768421201505,1.1369814417410404,0.9735003592516429,0.9980623163585964,1.0938733066125124,0.8562459102587,0.7788584306395134,0.8636710855638423
[4.0-4.5),,,,,,,0.9022887202645934,1.0749150339052547,1.1884623830730707,1.3736365243466429,1.40406088262739,1.3821892761068502,1.3271470462167076,1.2048941722048514,1.1283010815497727,1.0212773799952255,0.9828032367738506,0.8758144515139763,0.9634692671514713,0.7056642990262914,0.6172062581629923,0.6598359997924191
