"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Maximum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,7.128310772872967,8.037815750905176,7.167616867791049,8.69547709350469,7.781209733545841,9.836059213595075,6.604535061314722,8.059222382579085,7.530355247081344,8.277755967400742,7.416216772573362,5.5571447644279885
[8.0-8.5),,,,,,,,,,7.71859100719599,7.675242557759233,8.581172607284845,6.051015141532685,6.976083739694756,7.451780793258589,6.742511643074742,6.1390461848480875,6.780401802699866,6.366433357974597,6.591163428982233,7.393737748849389,7.5914561815013375
[7.5-8.0),,,,,,,,,,6.4227933334824545,6.0848579005900385,6.928209460260077,6.593586528090904,6.969660536435335,6.2574960436332505,7.238260508675642,6.987282223238571,8.30117772845768,7.14827157766284,8.313639835064246,6.6879069267850895,5.7423365305447716
[7.0-7.5),,,,,,,,,,6.230370414328673,5.404104468730835,7.0870527324441825,6.744580726322741,5.694603807325385,6.626088406322712,6.011183570140356,6.965060133269399,6.965221730856862,5.947272074487808,6.155221962908168,7.250261776373421,6.158196169375347
[6.5-7.0),,,,,,,,,,8.348615697341046,6.128473989662428,5.9791602325288675,6.159644293674325,6.299732035661281,6.196595473920809,5.9962115408812755,5.218127180093093,6.099340791690637,5.237474839753667,5.960356376937465,5.817509581220829,5.658993534695995
[6.0-6.5),,,,,,,,,5.7184066225520915,5.274841037636785,5.240248690482316,5.310196589705242,5.655434357411961,6.661551194627748,6.303026181935923,5.919241151700485,4.8392398242288746,5.395429392603294,6.0034493084665,5.193229000205348,5.7798605220068415,4.668439841023168
[5.5-6.0),,,,,,,,,6.0716818998761175,5.827147419450369,5.917031334849775,4.788569053297177,5.047009403714641,5.108378926100858,5.443023038369371,5.880472290511095,4.861555232356306,4.4507196513678275,5.751953299754376,5.023175621220157,5.387044833538973,5.110887939267348
[5.0-5.5),,,,,,,,4.467705429733804,4.472022728470146,4.325299746233274,4.911691997691321,4.360066356478512,4.942885767898027,4.239076327904058,4.792560043778294,4.58311829483618,3.974222604073001,4.85983771454705,4.005352145563575,4.135847770168201,4.565582828738386,4.093803612884414
[4.5-5.0),,,,,,,,4.139086566576194,4.359380431626965,4.540203061734519,4.395723369193603,4.243159034241545,4.287187794444414,3.7155461839205324,4.076012509238484,4.099317295050085,4.397780153578026,4.3396586610835595,4.1123127567979045,4.413538225587044,4.402648365065397,4.619297119679674
[4.0-4.5),,,,,,,3.4961900430899218,3.624735771049701,3.680794586372517,3.60608149920754,3.868677180785043,3.598275728142787,3.7058974432919776,3.822007861115628,3.7602448134690585,4.154702392686618,3.598087533909697,3.7847371635268177,3.692909076052451,4.001967545883283,4.058870074328153,3.3621604851166347
[3.5-4.0),,,,,,3.8531941575343454,4.044093390190575,2.9543723063810123,2.9653881254389725,3.668243330226343,3.303823296851848,3.293365118069333,4.345701540962972,3.3050746861968636,3.4298432234962037,3.6623918392957457,3.1763155847419213,3.289914159727302,3.3591137953707944,3.093438984908936,4.22401211515651,2.8870949911399064
