"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Wave Elevation Minimum [m]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-7.2667303266776075,-7.51523145760368,-7.494205363600667,-8.450114343055743,-7.579962043007292,-9.804359051841717,-6.6076178134958905,-8.022215982761436,-8.714978564094201,-8.255626320521982,-6.775541675992489,-7.745107798105201
[8.0-8.5),,,,,,,,,,-7.564554943613388,-6.942050542680747,-6.396829165782334,-7.203247892011403,-7.270067516976939,-6.94022455963843,-6.846880743363303,-6.873669496335027,-7.86275436603292,-7.645549681405777,-6.707563379307236,-6.198366988530536,-8.05703036004497
[7.5-8.0),,,,,,,,,,-8.127223886205382,-6.446091171513192,-6.2848097525429685,-6.019199140986613,-5.988334110055786,-6.840101165151037,-7.318508203397079,-7.629278974139522,-7.817984573769014,-6.837107291302717,-6.9300743974287675,-6.154648115069101,-6.773230536086854
[7.0-7.5),,,,,,,,,,-6.285245358525812,-6.645192137638719,-6.002567914289013,-6.6971826704356685,-5.70224748555455,-6.764697163722324,-6.024671374003505,-6.9074871974661445,-7.402969318082465,-6.438160555079375,-5.32141942153582,-6.607821400682642,-6.291303216578957
[6.5-7.0),,,,,,,,,,-6.186112530011248,-6.197033071579486,-5.7424544378296565,-5.7474020206702665,-6.274097283554875,-5.440267370649049,-5.771136041265672,-5.922158913159291,-5.2362564702051175,-5.623369305446302,-5.078806435485692,-5.598404377712329,-6.60888469372606
[6.0-6.5),,,,,,,,,-5.8789815341946445,-5.57042617883044,-5.961641056124241,-6.195096530356795,-6.035352564576473,-5.141782602232587,-7.253717524840588,-5.581244638823333,-4.541289114651377,-5.184536932575826,-6.506651624183779,-5.18627126415645,-5.920915489540066,-4.471753318612574
[5.5-6.0),,,,,,,,,-6.15268064068225,-5.586381857016028,-6.329210790810944,-5.221468882468083,-4.922558873853418,-5.404469932789938,-5.062297479925993,-4.996056848039392,-4.57922175531602,-5.282724456570551,-5.388517907962497,-5.97360509975507,-5.0798467673757886,-4.935309630294141
[5.0-5.5),,,,,,,,-5.143297062202289,-5.146503701935591,-4.904697185875911,-6.13537624748598,-5.053377785710539,-4.7233964668244806,-4.3188302666272955,-3.9113491528435085,-4.5095015750759355,-4.32691375189362,-4.5461590704021715,-3.9706573495833712,-3.8042898603081996,-4.856097585300456,-4.402841368446038
[4.5-5.0),,,,,,,,-3.9999070735119293,-5.57981848934905,-3.7870365984391507,-4.23204131017545,-4.489231188200346,-4.31109418648223,-3.9893939242035383,-4.191021531880091,-4.003105838103407,-3.432894609349755,-3.989130410854152,-3.765034678724462,-3.480483080546053,-3.680029222984108,-5.00439192454934
[4.0-4.5),,,,,,,-4.322985969659392,-4.288787815348365,-4.098985083886842,-3.843474781989863,-3.7292413319829403,-3.8601516755427254,-4.043057216219299,-3.508017527085248,-4.5179942808821885,-3.7565401790729673,-3.589579611021934,-3.8936354735400327,-3.734341926198924,-3.7986463592047754,-3.6533102874989813,-3.2283741245479556
