"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,53175169.11304064,13538019.893187355,11800996.03904898,9743849.362705741,8771545.059579963,57782156.81800749,8600282.980475772,25257342.469103467,29892223.591587245
[8.0-8.5),,,,,,,,,,16796713.22830864,13987531.587991256,13220954.35046204,12203156.61890944,9561228.602267303,7816503.397932254,7935495.569945383,6802715.5111527685,35613419.70775853,11792904.324961917
[7.5-8.0),,,,,,,,,,14437074.560017845,15072732.864610659,19016167.9829422,9957755.99862044,10050683.748998556,45436429.730546,7796633.621836337,21633921.27886425,25683726.32362497,6042559.540554881
[7.0-7.5),,,,,,,,,,14870488.002648048,12052872.670953976,9371365.26342567,9641515.563866548,11483284.211723696,7153207.868702152,6432649.973987264,7392790.999069082,13774852.48795065,5252442.773347616
[6.5-7.0),,,,,,,,,,14456172.125722378,11413770.582200538,8673380.561181989,8570844.237675713,6795688.192654604,6894184.268768121,7301060.660973878,5275334.6490057325,6022323.040026712,5980562.550364824
[6.0-6.5),,,,,,,,,9892523.085250776,9871648.224321473,8864828.319152953,9629432.130012259,8367074.719729736,6542567.685091294,7155664.278990969,5473914.281469362,4487154.90171884,4812206.630208035,5895929.833417065
[5.5-6.0),,,,,,,,,6722039.21847414,8237559.467249807,12442920.506859686,8617860.572219249,6630417.982348329,6933390.155204393,7252670.799594846,5407122.937243392,4840169.1580775175,3985794.7901718467,4279914.4364109505
[5.0-5.5),,,,,,,,4622860.8452381445,6187626.703599016,6756662.77421736,8596119.858673517,8332480.625188312,5561674.223969795,6317749.444273486,4674454.257156356,5081168.039200174,3726197.9330353187,4364257.398553755,3870083.86543449
[4.5-5.0),,,,,,,,3732080.9590672934,7664286.995934581,8708888.221093355,6582009.048606152,5522110.781228986,4616157.002552407,4013695.3413851364,4103675.3663604115,4283896.66761271,4075996.8085075263,3519681.9858778105,4355058.244872535
[4.0-4.5),,,,,,,3146080.579962695,4206592.479574468,4218265.880095968,4922566.9163597375,5351088.271597892,5252646.308774544,4906727.932797837,4449003.190812789,4538155.460094736,3680485.585489922,3392700.115161699,3371207.7095942637,3292037.5146071697
[3.5-4.0),,,,,,2937477.356311392,3355237.5315313833,2414918.7891528024,3166980.067860882,4236520.758567575,4083897.080197973,3951979.5369843454,3924161.5746865897,3493458.8850793103,3360005.1717463415,3219815.858889764,2914024.3411211725,3361885.8766464866,2648552.665172008
[3.0-3.5),,,,,,2243345.2866281243,2127552.9596292777,2432524.368356676,2587301.1347031486,3172173.373184821,3284331.4195887945,3826758.829982023,2920139.862761519,3066624.336229264,2998184.121816574,2798567.6636679024,2703285.451304123,2328711.4302637978,2331726.198017706
[2.5-3.0),,,,,,1881737.231303691,1860420.165595861,2046307.2236690107,2520449.8034578487,3237394.4378155363,2822306.9200536283,2846336.9567362755,2784141.2900683773,2828053.498671095,2527561.303955384,2335277.0584892016,2357841.7227957644,1841966.9570924283,2124945.615161911
[2.0-2.5),,,,,1399884.3639553252,1521500.0382719603,1386673.7868392158,1370443.2190668962,2054318.2035827055,2709104.4584476566,3064333.322861662,2297211.330979109,2095842.1588057184,2521028.9725412116,2019948.6298018629,2074418.7059850027,2419832.739298037,1687908.9118796175,1839397.4727645363
[1.5-2.0),,,,1218413.0023336024,1326318.345157473,1163654.846620797,1067895.000512938,1130055.5387634202,1300108.4219741349,1550436.14692196,1686586.0043324328,1631308.4933604123,1681844.7008725293,1776976.9516891465,1793848.9981993546,1576478.1914853873,1256886.9567353672,1438985.859898092,1312373.6908242367
[1.0-1.5),,,611490.1703034105,765269.0646511974,923762.5759890832,961613.2160773637,829281.2847751153,795235.1648598604,713882.4021765074,791116.1692996926,959625.4563182928,940352.7518181779,1179675.9277094721,913284.4349792614,960312.6920980461,1014067.7348027937,1003285.0021967723,899619.0829179833,660901.2578313444
[0.5-1.0),,213968.80621380225,412025.19528269826,580005.0006194543,559841.4435789888,566383.1385117511,537195.6021304295,410874.6203805979,456634.55639401014,364302.32355866383,462866.40156885015,705915.6795567367,541953.9685815237,592625.1144345059,551936.4569109014,535177.1180577129,511447.27465507726,452477.3452764595,445307.86313080956
[0.0-0.5),38007.328952951764,70788.21739410039,123481.36379611377,160208.7957542159,172578.5706494885,166580.45944235145,154090.99900627427,154441.52548829713,135849.27948805192,127160.5090196722,131300.73991038272,143211.86156626663,152934.3988121947,139885.27324471745,164589.4062913973,163576.6810147994,159378.49005159654,170033.2573410042,141464.3827789632
