"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,42159017.22729644,18986630.640138518,16022850.978957428,13364100.238319108,11999687.005960956,66588122.658282794,12006871.013519173,9610143.20386862,10507743.962596381,10061279.331650037,6590941.960163217,6858222.229331108
[8.0-8.5),,,,,,,,,,18395866.909671076,17253745.789183,19290609.17962029,17177390.488568712,12164545.49043449,9624690.374881515,10143949.058251884,9694255.202130865,9687622.892179547,10699170.991189845,7554400.50664602,6743175.462303861,7560667.915269991
[7.5-8.0),,,,,,,,,,17224565.90850097,16391101.478550043,16028718.669852035,13295283.82169445,13923338.1415927,11407556.203315357,9643264.042328916,9826198.776766963,36289042.06493562,8301998.003694065,7956470.720501111,7363881.727014298,6990872.810307991
[7.0-7.5),,,,,,,,,,14999258.073663192,14194282.924844025,12401413.401819222,12814070.869515568,15180755.695742022,9436952.99881889,8513081.572608668,10120367.42174407,6902413.538347149,6949348.389237984,6995405.389016647,6919998.314321939,6519335.43658781
[6.5-7.0),,,,,,,,,,17322558.831228912,14393076.48564197,13269818.959419455,13372551.904567875,9998271.33810791,9274742.010335062,9837759.236886421,6835380.282400452,7749434.499380035,7784296.766499715,7218155.565608329,5562515.277744066,5843005.083387949
[6.0-6.5),,,,,,,,,11017481.974562142,10879892.191104714,10520865.239637641,13364563.550379936,11911502.387378212,8928177.501498846,9897447.21915806,7087502.161480199,5849149.8845122885,6066584.883656123,7968944.467511178,6266899.1526484825,5839652.347040229,5061362.022442655
[5.5-6.0),,,,,,,,,8814625.549451403,9899921.196443338,13841079.347985473,11860632.027651718,8675939.659265455,10466374.774932098,9045725.056646576,6972236.561530746,6402140.912897639,5436250.582501006,5737403.370100547,6571160.932824436,5821910.663363066,4695799.18143888
[5.0-5.5),,,,,,,,4860259.194746915,6407620.361723684,6095700.992461128,10376452.47944283,9735867.71656042,7831145.079774786,8858224.520181134,6048543.739419762,6691056.986970693,5057451.550362127,5889893.263028007,5091439.494792543,4825218.986651822,4614016.887960974,4645554.654286632
[4.5-5.0),,,,,,,,4280452.985899173,8660554.001346577,9013888.134041063,8220319.784471007,6906624.080645316,6403315.343570886,5377439.817044473,5518966.731870795,5717457.245568923,5370744.490806874,4610562.547747981,5768648.372799472,3733567.685231976,3510244.299238411,4169652.1061528795
[4.0-4.5),,,,,,,3705743.3551200023,4450310.511859467,4160818.6051739147,5476095.8775651995,6625824.202874213,6671543.833113473,6729188.793443574,6126093.280657826,5583952.110041794,4799347.591339359,4414632.076669663,4315237.295735603,4242067.627098188,4246943.167497737,3511413.685324205,3229010.610653749
[3.5-4.0),,,,,,3569957.911502171,4055182.8642412643,2908702.938228541,3325846.772940724,4693748.925901588,5018500.511367317,5698025.2203226425,5465917.844922721,4750902.496617153,4644191.953089345,4486737.140834858,3894196.3383364636,4381789.785513854,3543861.8582933457,2899520.931350323,3535869.1834140397,3178193.447507909
[3.0-3.5),,,,,,2828688.0805514795,2631667.439092635,2829385.5424602777,2977064.442939979,3083668.0742227007,3986242.093639972,5167345.327437919,4140494.0099518304,3995013.466830367,4051543.7913312456,3505237.722169401,3561726.2320206626,2889610.4005064643,3137746.1682237084,2597825.5806629434,3181406.0399788218,2656258.6222758694
[2.5-3.0),,,,,,2389154.481997826,2327505.0536236702,2443269.9432943095,2772054.366773408,3214563.75782014,3354467.1842243397,3725119.1841132836,3910182.1657689423,3833927.3991107554,3238844.0190968625,3027886.1165220523,3130434.924790717,2363772.0071291444,2982362.8587572565,2612962.2481656987,2270171.1510421736,2251269.1482588607
[2.0-2.5),,,,,1762713.9997951416,1939818.496389244,1779086.6553932438,1740301.2083970779,2248417.3513299907,2701517.970837988,3448114.2347950866,2775122.2397157745,2769181.395405957,3454161.677286261,2572768.4011633922,2464500.4944587573,3228995.752439191,2197316.877777736,2418279.1571069066,1732116.013269121,2018261.6334927827,1656943.8022358983
[1.5-2.0),,,,1461462.75087274,1675593.9020208777,1499254.1132617902,1387809.4803976496,1437718.3898233164,1569860.8574899756,1527520.6318220817,1797298.3888414635,2058075.549492707,2370506.0068813898,2437632.802010305,2349420.613553371,2037549.6941598807,1565596.8165869284,1698285.481819226,1785609.8932401275,1626399.918799293,1233963.3023987263,1505568.5755070087
[1.0-1.5),,,708313.0946924505,908775.4484239396,1174145.614796613,1239342.9066301743,1082804.917969232,1018064.5679346886,891869.2695357029,882635.0783411346,948699.6930545999,1167355.8688168183,1488908.2518244397,1299398.0281117305,1179313.2751878337,1310782.3465620633,1217073.993975401,1133367.2693470148,895733.307541438,847786.2060123873,932726.0345481785,889191.6263327559
[0.5-1.0),,245916.3127029376,475938.98413939687,702596.2609248522,714546.5276880495,722168.5548759245,708271.0402407399,534632.920715048,578288.3687214234,439818.67565841903,509378.6863397343,791891.8904086783,724563.0788498003,758714.3356914537,683980.2054484272,630098.0289560275,627782.6497587967,556425.4372903305,593601.7109672247,607570.1901548016,475727.0916393177,503814.03418338613
[0.0-0.5),45575.26665491213,81599.2418438591,139940.30526253863,192989.58725972252,214072.37038464527,212711.04288083158,202788.4289857937,201357.38749339932,176597.4662363428,150456.5550799416,155162.45570442465,182096.5003844804,191751.7720638403,189170.88101713787,195376.39080438783,199009.82116730744,199020.97744021955,204970.28385130593,200987.83910543955,169170.46207881832,219605.74492415183,164357.66053340834
