"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Velocity Average [radian/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-0.0014155387210474102,-0.002011418916498721,-0.0001991172293045643,-0.0002590945760112038,0.0006315354278568572,-0.0035209293555110164,-0.00017673986410210546,0.000448572462578716,-0.00020979200140348135,-0.0001374470811409572,-0.0001363553685738201,-0.0001965541817472741
[8.0-8.5),,,,,,,,,,0.0007132428456345251,-0.0006532309581152291,0.0004176476944148186,-0.00016980629997653617,-0.0005263331263773735,-0.00037627035301349317,-0.0005918037364488334,0.0003989235064646664,-0.0001042091970548582,0.0002095954600859698,-0.0001605015167817089,0.0001403254401344046,-0.0005011187933223537
[7.5-8.0),,,,,,,,,,-0.0002822969386196452,-0.00017482697928123227,-7.867671110192557e-05,-0.0004616797601123981,-0.0004065975037707053,8.69158537698396e-05,0.00039290644328886747,0.00014223284697295857,-0.0015367332411191004,0.00011743924720480435,-0.0002921976509894661,-0.00040010863876442567,-0.00032558356661361844
[7.0-7.5),,,,,,,,,,-0.0005951054391418639,1.0080205820638043e-05,-0.0004710934775544819,0.00022888381046915927,0.00018755916368039976,0.00010597380034188192,7.388302284876221e-05,-1.5658579922680683e-05,-0.0003716779092820844,0.00028382982744803683,0.00012676287375906642,0.0002498309779451558,-0.00017513259576676428
[6.5-7.0),,,,,,,,,,0.0002723832076336391,0.00013807629480378763,8.944066998235304e-05,-3.279782758559425e-05,-0.0007596217634787655,-0.00010472207961221388,0.0002304029814607602,1.9027304087514835e-05,3.4286046067100536e-05,3.983138576443175e-05,0.00038363229605075505,0.0005100505223630357,0.00024010291776675865
[6.0-6.5),,,,,,,,,-0.00025963557948586,-5.993662645546361e-05,0.00042002766921429526,0.00043877169867769005,6.082921324285577e-05,6.881067173972816e-05,2.4926240870189993e-05,0.0002355549929248528,-0.0003749741634349781,-0.00023367097219780742,0.0002564467161936605,-0.0003210952567949059,-6.048397739574023e-05,-0.0003115155280440494
[5.5-6.0),,,,,,,,,5.386185480124347e-05,0.00043392554287658173,0.00033710823781239865,-8.097093990477877e-05,-2.3128019579976166e-05,0.00016949399718878947,-0.00024197115617613822,0.0003299967919169984,3.908126790929677e-05,-0.0002198479715122496,0.0002436299977530931,-0.0003921627255223685,-0.00024643572939278546,-1.664240528668332e-05
[5.0-5.5),,,,,,,,-0.0001174959568154922,-9.037749827127456e-05,-0.0002674077137765649,-6.122266998219707e-05,-0.0002847192328273484,-4.4991365638997754e-05,-9.586242861839163e-05,-5.420221592486871e-05,-0.00021658290117158285,0.00012772419155844967,-0.0003925622061609916,-0.000271471269847263,-0.00010637523469890277,0.0003115570482972398,-0.0004109861875981883
[4.5-5.0),,,,,,,,6.122298063877326e-05,0.00010693146809804909,1.597395775049651e-05,-0.0003318986119746496,0.00034415992578158575,-0.0003046605836660766,0.0004127922463280696,7.972652484279448e-05,0.00017460119179169687,0.0002139014826296212,6.127822459263069e-06,-0.0004820143630536893,0.00012253536835806495,-0.00018860085036145386,4.5146810942364446e-05
[4.0-4.5),,,,,,,-0.00013056092483087708,-0.0002604168121268068,-3.98357545242258e-05,0.0002673406482850161,-0.0002990261428920752,-0.0003154804984284996,-0.0002782480884112851,-0.00042616918079569683,-8.123222367204287e-05,0.00023961723020156085,0.00012986817013759327,-0.00021265075361608804,7.071530555278712e-05,0.00019457833716996105,-4.5012671777441924e-05,-4.1439106593038196e-05
