"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,3.531096891780158,2.544589595622802,1.9388332491852296,1.680262837666787,1.363726241507909,1.224704112732838,0.9973319257207515,0.8391269472731375,0.7573878231274482
[8.0-8.5),,,,,,,,,,5.3569980557702515,3.7073756266667277,2.6884605967191555,2.0675905016211304,1.6852626603614993,1.4171120634232208,1.2826240254368608,1.0443449629048074,0.8965166118164395,0.7792938852763606
[7.5-8.0),,,,,,,,,,5.43218938071921,3.849672239868492,2.903972388498137,2.2672089229535572,1.7963278357640784,1.5816787025349865,1.315497334286818,1.1199481242383542,0.9528224595721262,0.8065551331474555
[7.0-7.5),,,,,,,,,,5.689650963120899,4.219070470640104,2.9679950789585083,2.41232539670297,1.855448909388028,1.5972913370085597,1.4250841004596015,1.227370490717184,1.0448853764849062,0.8709836796106044
[6.5-7.0),,,,,,,,,,5.8242979331688085,4.286004047964506,3.221916777490347,2.5646336776215133,2.0678284287641135,1.6687050045421403,1.5111552971037583,1.3120675316105492,1.0746505570974119,0.9566203442910849
[6.0-6.5),,,,,,,,,7.63369651362565,6.432491006793664,4.70942755639648,3.466424784001076,2.6777720055584515,2.3604118694286824,1.8109021814618684,1.6517346304490803,1.3683397187771142,1.1976647350075829,0.9698313073062174
[5.5-6.0),,,,,,,,,8.2144543266607,6.941975664608967,4.991928626620937,3.773064186766739,3.0036770661526435,2.3954614848285916,2.0653291240241876,1.7965114512076046,1.4943518670817169,1.2477412661117517,1.0790610772604508
[5.0-5.5),,,,,,,,8.994364595399412,7.9113228291889985,6.605740209095573,5.180301224890156,4.12115978184051,3.0808432204401943,2.6203690382394016,2.253915946901343,1.8394003656371758,1.6172270874194896,1.4122711911619013,1.2090265805201657
[4.5-5.0),,,,,,,,9.172541677538941,8.057996068684462,6.906305315244756,5.421042533813655,4.644183909571268,3.4047278568162906,2.931267277091437,2.4489706831478526,2.0333552856662385,1.8383411290288538,1.4859121539155515,1.2805378481984842
[4.0-4.5),,,,,,,10.024331726937321,8.890427961295137,8.395065677689734,7.334566649754652,5.925162667718914,4.7377533827486324,3.9613358565417416,3.2242520047839767,2.6524009392739183,2.364730856430953,1.922009416018464,1.628685722873065,1.4489007603900717
[3.5-4.0),,,,,,11.447824258888096,10.65351785345889,8.726432438123775,8.108592976596357,7.941307005383279,6.560211060042919,5.012033170997875,4.181022254338163,3.6276648747719316,2.835341428786429,2.6057252262089454,2.0567074774441294,1.8593419339576291,1.5741332320124983
[3.0-3.5),,,,,,11.419478545722596,10.485519531770324,9.101327249654606,7.987703090160821,7.650262004964547,6.601793708925215,5.5585590226266035,4.562039107496141,3.8115252331263068,3.159084719382723,2.9912322384166496,2.4505637719198092,2.0267161843930013,1.7310133554794032
[2.5-3.0),,,,,,11.407306451328628,10.741390809464022,9.724719744276047,8.877199397668374,7.426044006743417,7.545863291540236,5.680766110628685,5.158764971881125,4.386857470455157,3.529713515659963,3.2349717448635205,2.70457953232955,2.2291877474584982,2.0028925934078914
[2.0-2.5),,,,,12.474121245624218,11.590979417864945,10.468938204478134,9.313678881077047,8.510280365828843,8.506171075133516,7.43253225944931,6.519833414033166,5.1534794224528575,4.276843509393891,4.009228520592238,3.3857359725822613,2.9759554656310994,2.394154450276732,2.272417669920634
[1.5-2.0),,,,12.096303531670614,12.225286956025386,11.772984381617263,10.455479734081111,9.54110771101384,9.036248260162063,8.107028759091131,7.586635855180568,6.347660641178739,6.106838571587608,5.021273514847743,4.692369614292685,3.8663844133086007,3.523857240789094,2.9314406578179875,2.568881468215933
[1.0-1.5),,,10.161010336631357,12.137905743221749,12.26817932343495,11.659088875601553,10.414518535160948,9.864211230318245,8.509465576046896,7.537075265193671,7.364821005579693,7.36951655300474,6.955871036133666,5.881934411556064,5.107596871784355,4.689469565896441,3.9238363407282137,3.568916385141426,2.8937490841711058
[0.5-1.0),,7.398553878052169,10.090616199776795,12.04703440797458,12.383103408495982,11.813475675026199,10.728946621657823,9.356812852053533,8.86032204932984,7.915785419345662,7.50754263426783,7.603354070251949,6.967149072009113,6.372241879436987,5.335626391256616,5.516361068408641,4.652297603115932,3.9269279832942288,3.504951095971572
[0.0-0.5),3.3018953176383916,7.458118634806093,10.181045865118687,12.19829936705963,12.67953507916454,11.55245029332223,10.459477957649066,9.559039342530149,9.620691318175114,8.027553926070881,7.470110963844958,6.811736239475494,7.169210314171928,6.398408764252574,6.806409461407867,5.268767289497495,5.040577519706033,3.9981203231752853,3.962324312534565
