"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Pitch Angle Delta [radians]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,9.82308213910178,9.769293304063162,3.609615087655925,3.481811429389014,3.409650058208466,15.827899566494485,3.3156439001582294,3.257821046876501,3.2187226889245277
[8.0-8.5),,,,,,,,,,3.3855021720044842,3.504500903785835,3.5516370793649283,3.568215880656883,3.4562588342318636,3.465651034771597,3.234084135935454,3.1896126134929297,3.2925892783778083,3.187217757708324
[7.5-8.0),,,,,,,,,,3.344008936606096,3.5980522857369026,3.515533168349756,3.4973789833119655,3.489208763638511,3.4268687361549013,3.32489167058759,3.230329084417446,9.393131398362419,3.047103896853728
[7.0-7.5),,,,,,,,,,3.2356934146708514,3.39863655790609,3.4542259693987636,3.4433142118606352,3.4721685226274612,3.2906103765135697,3.1683743705743614,3.2053056576972416,3.1355455317876895,3.0677893847576287
[6.5-7.0),,,,,,,,,,3.1898831346672223,3.439697888370392,3.3550319330742187,3.4999913801720046,3.2978633888165625,3.19489995919121,3.1782187125665766,3.0930091683636016,3.1128942831974666,3.078899434620549
[6.0-6.5),,,,,,,,,2.917779986523965,3.1099486255576205,3.2530431578198113,3.4530105326903113,3.322606662948402,3.2298081350801695,3.2095343337603977,3.111149999085755,2.9968653345719147,2.940637284322696,3.073950082289678
[5.5-6.0),,,,,,,,,2.867703458233109,3.0965731713887346,3.3804981770246476,3.319759057445702,3.2121603833285803,3.288753456930923,3.192680124595431,3.0374636825949666,2.985335205701082,2.9045597434453185,2.95199823080529
[5.0-5.5),,,,,,,,2.4083378026604,2.6867988244742667,2.938492074300953,3.2024384293680805,3.3587829669659612,3.1921881235406024,3.2193569217851827,3.062459609444959,3.041703922299682,2.9223604207126828,2.8784939178392297,2.9295955535937175
[4.5-5.0),,,,,,,,2.2114809448495834,2.7530918302749154,2.9492005185005494,3.0917922802223643,3.1686110560938667,3.107930236921705,3.065190417531318,2.970014836463367,2.906944185502371,2.858091545980507,2.8281702670838165,2.8424497290139175
[4.0-4.5),,,,,,,1.7791418273237647,2.2044157940630082,2.374962691035184,2.7982896500495804,3.000633954136429,3.1357086998026595,3.1280114022821555,2.9939172309700357,2.952894200867455,2.864630333407312,2.8211234624970114,2.726163394121043,2.791204650485244
[3.5-4.0),,,,,,1.2836177114425609,1.7231883798739602,1.7964984095543086,2.2332443481205813,2.6667298171283202,2.851344260664682,2.9361843382759956,2.8794560778047864,2.9304652836794145,2.81651506717618,2.725713556366986,2.654713904239979,2.7047254919676997,2.623946246519845
[3.0-3.5),,,,,,1.0461943941623657,1.3081865584409011,1.7201945171803583,2.0450434858968856,2.364752087586751,2.6609758662536684,2.8909572685200313,2.779096579352626,2.7898499036445186,2.7066801333951185,2.6476360719482637,2.531603413587498,2.4634732765370453,2.500306284585517
[2.5-3.0),,,,,,0.9631741786137049,1.2160024284082886,1.5688324923624593,2.017141580287178,2.389414021584691,2.5500857142999234,2.709152918381328,2.6729743835208106,2.759447604772631,2.6205935030628016,2.5420651605286135,2.416262658259014,2.3250490042189895,2.4219702885025725
[2.0-2.5),,,,,0.5697938511064677,0.7037036649271236,0.9771843032965797,1.0942049873776007,1.8558917014185563,2.2566816048027407,2.645673625827735,2.4934209881659317,2.48752098473802,2.5974695733463387,2.429457150295905,2.2635094761886903,2.443251693340457,2.197253608036796,2.3747825847853186
[1.5-2.0),,,,0.3509346296062118,0.4901940775399789,0.5979083252932799,0.7152432053996098,1.0129147774751057,1.2582714240099477,1.7264333853482436,1.9557406806101887,2.161336101840829,2.36252376489316,2.3566629055326724,2.3678174234871627,2.0112746923849105,1.8807556031354666,2.028112543877138,1.943810361003224
[1.0-1.5),,,0.16095149343929616,0.22338462684502441,0.343936134219041,0.4796230163193602,0.5948160759820744,0.7137264158880972,0.9380447125885829,1.1991783054048453,1.3852428347221177,1.6975497502405077,1.9365170082512653,1.7634498412863029,1.6561743377490457,1.6661871877444119,1.64733872667875,1.6225223221430114,1.4558199419819282
[0.5-1.0),,0.057800490817822986,0.10386597108737769,0.15654006807942078,0.22499937512656834,0.27101739001264413,0.37693691971866183,0.4085702475118146,0.6181168940271186,0.6648927780073697,0.9124448115072168,1.3434606429206353,1.2427483925794602,1.2958055098595493,1.184310223788314,1.165132422206001,1.1096339330636513,1.0048657372420478,1.0534227211519702
[0.0-0.5),0.006853629171570022,0.02011762497321258,0.030912418508080786,0.04940553537842163,0.06538961589174155,0.08257381932447572,0.11507712693534383,0.14961794520478222,0.18982541020096644,0.24653160279030387,0.2964545319578248,0.3921278050623877,0.43016850777481674,0.42556580589615145,0.44295002607341905,0.43697723449249554,0.41626252637639627,0.45493321618905713,0.4376489510413183
